,T2M,Rain,Humidity
20150101,13.15,0.0,32.62
20150102,14.78,1.03,47.07
20150103,14.66,0.55,63.23
20150104,14.22,0.0,43.28
20150105,12.53,0.0,42.47
20150106,13.7,0.0,50.34
20150107,14.27,0.0,47.32
20150108,13.84,0.0,35.89
20150109,13.46,0.0,29.19
20150110,12.5,0.0,27.33
20150111,14.0,0.0,23.15
20150112,15.16,0.0,23.48
20150113,14.07,1.37,36.38
20150114,12.32,2.64,53.06
20150115,11.33,0.27,69.59
20150116,13.39,0.0,59.22
20150117,14.26,0.0,50.6
20150118,14.75,0.0,41.39
20150119,15.23,0.0,36.12
20150120,12.84,0.0,35.95
20150121,13.38,1.37,43.9
20150122,13.93,4.69,65.85
20150123,12.89,0.19,67.2
20150124,12.76,0.0,56.93
20150125,13.06,0.0,45.96
20150126,12.27,0.01,45.98
20150127,10.63,0.02,47.9
20150128,10.02,0.0,47.96
20150129,11.05,0.0,34.95
20150130,12.17,0.0,32.52
20150131,14.59,0.0,30.31
20150201,14.57,0.0,35.35
20150202,14.78,5.98,47.74
20150203,14.38,0.1,70.76
20150204,13.33,0.04,68.17
20150205,13.81,0.0,53.12
20150206,14.41,0.0,43.52
20150207,14.3,0.0,48.75
20150208,15.62,0.0,50.73
20150209,15.34,0.0,50.48
20150210,15.6,0.0,39.92
20150211,16.19,0.0,33.42
20150212,16.37,0.0,27.58
20150213,18.75,0.0,26.19
20150214,20.82,0.0,31.39
20150215,21.62,0.0,25.94
20150216,20.92,0.07,26.48
20150217,19.5,0.29,41.93
20150218,20.2,0.0,38.77
20150219,20.16,0.02,38.19
20150220,20.62,0.44,44.76
20150221,20.02,0.45,54.52
20150222,20.86,0.0,47.36
20150223,21.78,0.0,38.73
20150224,22.02,0.02,33.11
20150225,20.21,2.86,30.98
20150226,15.05,0.0,21.5
20150227,16.28,0.0,21.05
20150228,15.51,0.0,36.49
20150301,15.69,27.05,79.35
20150302,15.8,1.43,71.53
20150303,16.49,0.32,52.99
20150304,17.05,0.06,46.51
20150305,17.37,0.93,48.46
20150306,17.22,1.04,66.0
20150307,18.02,6.3,63.14
20150308,16.78,0.63,56.03
20150309,14.3,0.0,54.24
20150310,16.51,0.0,47.13
20150311,18.83,0.0,38.46
20150312,19.24,0.0,41.35
20150313,21.17,0.19,45.17
20150314,20.53,0.48,60.67
20150315,18.88,18.82,77.48
20150316,18.99,5.91,68.95
20150317,18.84,0.0,58.99
20150318,18.98,0.0,57.14
20150319,22.28,0.0,41.48
20150320,23.93,0.0,35.81
20150321,24.51,0.0,41.77
20150322,24.15,0.0,51.03
20150323,25.34,0.0,46.28
20150324,27.79,0.0,33.26
20150325,26.62,0.0,40.39
20150326,26.37,0.0,44.68
20150327,27.91,0.0,36.87
20150328,28.35,0.0,30.98
20150329,24.49,1.85,49.97
20150330,23.05,3.01,65.58
20150331,23.84,0.0,60.32
20150401,26.0,0.0,50.94
20150402,25.69,0.01,49.25
20150403,23.35,26.31,63.86
20150404,23.07,8.22,58.64
20150405,24.32,0.02,48.25
20150406,24.75,1.25,46.7
20150407,23.49,2.96,57.53
20150408,23.27,0.02,57.14
20150409,24.54,0.0,48.72
20150410,26.67,0.0,41.62
20150411,28.25,5.57,39.5
20150412,25.24,0.12,58.96
20150413,26.0,0.01,51.44
20150414,25.94,0.0,57.32
20150415,27.22,2.15,52.19
20150416,27.53,3.13,52.43
20150417,28.01,5.64,47.45
20150418,29.7,0.0,43.06
20150419,30.99,0.0,41.15
20150420,30.73,0.0,34.22
20150421,29.18,0.0,40.7
20150422,29.42,0.0,33.87
20150423,31.55,0.0,23.53
20150424,31.84,0.0,22.92
20150425,31.83,0.0,24.45
20150426,30.26,0.0,30.81
20150427,31.06,0.0,35.99
20150428,32.3,0.44,33.69
20150429,32.16,0.61,27.37
20150430,32.09,0.01,24.64
20150501,30.6,0.94,32.32
20150502,31.58,0.0,24.34
20150503,32.97,0.0,17.63
20150504,33.8,0.0,14.71
20150505,33.85,0.0,13.64
20150506,34.54,0.0,12.27
20150507,34.76,0.0,13.7
20150508,35.14,0.0,16.36
20150509,35.42,0.0,21.06
20150510,36.56,0.0,21.87
20150511,35.37,0.35,23.92
20150512,33.31,0.59,26.0
20150513,32.55,2.2,29.35
20150514,32.72,0.8,31.94
20150515,33.57,0.18,29.73
20150516,34.4,0.24,24.83
20150517,35.12,0.0,21.26
20150518,37.29,0.0,19.39
20150519,36.66,0.0,23.32
20150520,35.55,1.11,16.58
20150521,35.54,0.0,16.73
20150522,36.79,0.0,16.68
20150523,36.32,0.0,12.65
20150524,36.62,0.0,11.97
20150525,36.34,0.0,12.46
20150526,34.68,0.0,10.37
20150527,34.61,0.0,7.5
20150528,35.5,0.46,14.35
20150529,35.77,0.62,21.57
20150530,36.15,0.0,23.08
20150531,36.41,0.08,20.23
20150601,36.05,0.22,18.43
20150602,33.98,0.16,34.42
20150603,33.44,0.06,32.83
20150604,33.48,1.47,28.96
20150605,33.73,0.04,29.94
20150606,35.48,0.0,24.05
20150607,36.52,0.0,19.94
20150608,38.1,0.0,17.48
20150609,37.85,0.0,20.97
20150610,36.0,0.04,33.43
20150611,36.51,0.1,30.35
20150612,37.01,0.0,32.47
20150613,37.03,5.11,29.25
20150614,32.24,16.88,52.18
20150615,32.81,3.08,53.11
20150616,33.64,0.74,46.84
20150617,34.41,0.58,42.07
20150618,35.7,0.0,36.85
20150619,37.19,0.0,31.36
20150620,37.04,0.0,28.62
20150621,36.12,3.26,37.0
20150622,35.83,0.58,36.18
20150623,37.03,0.08,32.93
20150624,32.21,39.26,58.85
20150625,32.03,1.23,56.49
20150626,32.72,2.34,49.45
20150627,33.16,0.17,53.9
20150628,34.23,0.0,46.15
20150629,34.93,0.02,42.2
20150630,33.67,2.15,46.79
20150701,33.28,0.62,50.38
20150702,33.33,1.46,50.85
20150703,33.38,10.61,54.83
20150704,34.44,0.0,50.05
20150705,35.18,0.9,46.43
20150706,33.21,27.7,57.46
20150707,31.25,8.79,64.56
20150708,32.44,1.96,58.9
20150709,32.81,5.42,56.9
20150710,32.82,2.02,55.72
20150711,30.43,10.11,68.49
20150712,29.44,15.63,73.32
20150713,30.78,0.66,65.72
20150714,32.61,0.0,57.99
20150715,33.84,0.0,48.89
20150716,33.78,0.8,52.42
20150717,33.29,3.12,53.21
20150718,31.52,2.24,61.82
20150719,33.3,0.63,57.47
20150720,32.5,10.71,58.02
20150721,31.95,9.02,62.99
20150722,32.35,1.07,59.63
20150723,31.67,2.77,66.86
20150724,32.02,0.08,64.32
20150725,32.09,1.21,63.56
20150726,31.64,0.58,62.87
20150727,31.0,0.82,65.76
20150728,30.68,0.23,61.67
20150729,30.0,0.31,64.52
20150730,31.36,1.1,62.26
20150731,30.04,8.26,71.39
20150801,29.47,6.96,75.02
20150802,28.25,19.86,80.58
20150803,30.06,2.59,71.44
20150804,31.88,0.39,61.02
20150805,33.02,0.23,56.26
20150806,33.31,12.13,58.01
20150807,33.53,0.09,57.04
20150808,33.63,0.78,55.41
20150809,32.68,0.69,53.69
20150810,33.19,0.34,50.14
20150811,33.18,0.04,51.44
20150812,29.96,35.53,70.37
20150813,30.99,6.81,67.3
20150814,31.72,0.96,67.83
20150815,31.31,4.91,69.02
20150816,30.65,1.28,70.62
20150817,31.8,0.28,63.81
20150818,32.62,1.35,57.4
20150819,31.92,1.31,57.62
20150820,31.64,0.04,56.83
20150821,31.09,2.43,60.46
20150822,31.08,0.19,57.9
20150823,31.24,2.09,59.85
20150824,31.18,0.32,58.48
20150825,31.52,0.0,53.55
20150826,31.9,0.0,53.34
20150827,32.65,0.0,50.88
20150828,32.84,0.36,51.94
20150829,32.44,4.51,54.58
20150830,32.1,0.0,48.84
20150831,31.12,0.0,50.44
20150901,31.29,0.0,43.53
20150902,30.85,0.0,42.5
20150903,30.52,0.0,44.19
20150904,30.26,0.0,39.2
20150905,30.35,0.0,38.91
20150906,30.73,0.0,39.02
20150907,31.06,0.0,39.54
20150908,31.33,0.0,37.56
20150909,31.96,0.0,34.67
20150910,31.93,0.0,31.87
20150911,32.23,0.0,31.88
20150912,33.09,0.0,30.61
20150913,32.9,0.0,28.23
20150914,33.34,0.0,27.41
20150915,33.87,0.0,25.34
20150916,33.79,0.0,23.25
20150917,33.02,0.12,27.33
20150918,32.03,0.07,34.67
20150919,27.24,3.84,64.39
20150920,29.48,8.93,65.14
20150921,29.4,23.37,69.76
20150922,29.11,8.31,70.6
20150923,27.56,1.85,63.82
20150924,27.06,0.0,50.49
20150925,27.89,0.0,47.72
20150926,28.2,0.02,52.01
20150927,28.7,2.56,52.28
20150928,28.15,0.61,49.07
20150929,27.88,0.0,45.1
20150930,26.78,0.0,48.71
20151001,28.11,0.0,42.52
