,T2M,Rain,Humidity
20150101,20.56,1.72,55.17
20150102,20.25,1.65,68.1
20150103,20.84,1.58,77.19
20150104,19.96,0.86,72.91
20150105,15.77,0.0,66.74
20150106,13.74,0.0,67.06
20150107,14.42,0.01,60.39
20150108,15.43,0.06,60.13
20150109,14.38,0.0,61.64
20150110,12.38,0.0,59.39
20150111,12.74,0.0,57.07
20150112,13.31,0.0,53.03
20150113,14.25,0.0,55.3
20150114,15.79,0.0,54.3
20150115,16.78,0.0,52.72
20150116,16.05,0.0,54.96
20150117,14.99,0.0,55.68
20150118,14.15,0.0,60.73
20150119,13.66,0.0,55.86
20150120,13.06,0.0,54.79
20150121,13.72,0.0,52.29
20150122,15.28,0.0,48.39
20150123,17.5,0.21,54.91
20150124,17.68,0.09,64.71
20150125,16.71,0.0,55.79
20150126,16.94,0.01,58.11
20150127,18.63,1.04,62.75
20150128,18.24,0.1,63.7
20150129,16.52,1.13,66.44
20150130,14.91,0.0,53.65
20150131,13.57,0.0,51.55
20150201,14.6,0.0,47.43
20150202,16.58,0.0,45.86
20150203,18.69,0.0,43.95
20150204,19.58,0.05,47.11
20150205,16.94,0.01,52.64
20150206,16.46,0.0,49.12
20150207,16.89,0.0,46.36
20150208,19.11,0.0,49.6
20150209,18.62,0.01,57.83
20150210,18.31,0.0,46.74
20150211,17.1,0.0,43.76
20150212,18.18,0.0,42.22
20150213,18.26,0.0,45.93
20150214,18.21,0.0,42.27
20150215,20.03,0.02,38.55
20150216,20.75,0.02,45.26
20150217,22.18,0.0,46.84
20150218,23.25,0.01,45.28
20150219,23.21,1.71,44.82
20150220,21.9,0.0,47.47
20150221,23.2,0.07,42.65
20150222,22.95,0.39,45.22
20150223,23.95,0.14,39.68
20150224,24.4,0.0,40.48
20150225,24.25,0.0,43.38
20150226,24.37,0.34,41.34
20150227,24.67,0.1,44.93
20150228,25.93,0.03,38.23
20150301,25.12,4.07,42.62
20150302,21.66,10.71,63.68
20150303,20.85,2.54,63.41
20150304,21.74,0.0,48.13
20150305,20.03,0.0,38.33
20150306,20.25,0.0,42.72
20150307,21.35,0.0,44.54
20150308,22.53,0.0,39.38
20150309,24.56,0.0,35.7
20150310,24.78,0.0,34.4
20150311,21.93,0.0,36.46
20150312,22.94,0.0,33.82
20150313,24.12,0.0,35.62
20150314,25.78,0.03,40.84
20150315,26.14,0.09,44.75
20150316,25.14,0.76,47.26
20150317,26.1,0.04,43.68
20150318,25.45,0.01,36.66
20150319,24.09,0.0,37.26
20150320,24.9,0.0,38.8
20150321,25.9,0.0,35.99
20150322,26.87,0.0,35.58
20150323,27.07,5.13,41.22
20150324,28.47,0.58,37.93
20150325,30.14,0.08,35.21
20150326,29.87,1.77,40.15
20150327,28.08,9.76,54.81
20150328,28.81,0.46,53.01
20150329,29.74,0.05,43.13
20150330,26.68,16.36,59.06
20150331,25.72,0.04,61.26
20150401,28.23,0.21,42.92
20150402,29.32,0.81,39.04
20150403,29.92,0.26,39.13
20150404,29.63,1.23,39.91
20150405,28.4,1.2,41.6
20150406,29.09,0.5,40.57
20150407,30.02,0.15,37.11
20150408,29.41,0.06,37.52
20150409,28.31,0.0,32.38
20150410,28.69,0.0,32.93
