,T2M,Rain,Humidity
20150101,25.91,2.6,85.27
20150102,25.15,0.0,82.29
20150103,24.99,0.0,80.31
20150104,25.45,0.0,82.58
20150105,25.13,0.0,82.11
20150106,24.98,0.0,80.55
20150107,24.39,0.0,80.22
20150108,24.66,0.0,80.64
20150109,24.57,0.0,81.16
20150110,23.86,0.0,74.97
20150111,22.77,0.0,75.73
20150112,22.85,0.0,72.9
20150113,22.86,0.0,75.75
20150114,23.3,0.0,74.71
20150115,23.21,0.0,73.74
20150116,24.45,0.08,79.82
20150117,24.96,0.06,79.72
20150118,24.63,0.02,77.01
20150119,24.06,0.07,74.11
20150120,23.83,0.0,75.59
20150121,23.66,0.0,75.43
20150122,24.39,0.01,77.67
20150123,25.64,1.0,77.64
20150124,25.57,0.19,77.17
20150125,25.41,0.02,70.5
20150126,24.89,0.0,73.78
20150127,25.13,0.0,74.71
20150128,25.73,0.0,74.13
20150129,26.07,0.0,72.56
20150130,26.19,0.0,70.2
20150131,25.71,0.0,67.45
20150201,25.49,0.0,71.34
20150202,25.21,0.0,69.41
20150203,25.58,0.02,69.08
20150204,24.32,2.92,77.55
20150205,25.49,1.04,73.21
20150206,25.46,0.0,72.01
20150207,25.86,0.0,69.79
20150208,25.96,0.0,66.85
20150209,26.06,0.01,68.97
20150210,25.79,0.05,70.92
20150211,26.43,0.01,72.92
20150212,27.18,0.0,70.55
20150213,27.4,0.0,69.64
20150214,27.02,0.0,66.63
20150215,26.45,0.0,65.46
20150216,26.25,0.0,63.86
20150217,25.99,0.0,62.42
20150218,25.92,0.0,60.7
20150219,26.29,0.0,58.81
20150220,26.07,0.0,62.57
20150221,26.45,0.0,65.05
20150222,26.4,0.0,63.16
20150223,26.53,0.0,62.63
20150224,27.05,0.1,66.32
20150225,28.01,0.06,66.71
20150226,28.35,4.44,68.51
20150227,28.52,1.93,68.75
20150228,28.66,0.31,67.55
20150301,28.88,0.0,65.61
20150302,29.29,0.0,65.85
20150303,29.47,0.01,60.56
20150304,29.62,0.02,58.28
20150305,29.34,0.01,65.14
20150306,29.89,0.08,62.85
20150307,29.58,0.32,61.1
20150308,28.73,0.0,63.75
20150309,28.98,0.01,63.14
20150310,28.41,0.0,58.99
20150311,28.11,0.0,62.02
20150312,29.02,0.0,62.96
20150313,29.05,0.06,62.73
20150314,28.6,3.12,65.77
20150315,28.64,1.66,69.94
20150316,28.91,2.34,67.2
20150317,28.29,1.06,62.65
20150318,27.91,0.0,58.44
20150319,28.42,0.0,54.09
20150320,28.71,0.0,62.26
20150321,29.05,0.0,60.02
20150322,29.58,0.0,59.21
20150323,30.15,0.0,57.9
20150324,30.07,0.0,61.4
20150325,29.85,0.0,57.07
20150326,30.09,0.01,58.81
20150327,30.17,0.16,59.16
20150328,29.98,0.74,64.02
20150329,30.51,0.28,61.14
20150330,30.68,0.02,59.02
20150331,30.27,0.33,62.7
20150401,30.15,7.04,65.55
20150402,29.92,2.77,68.16
20150403,31.49,0.05,60.98
20150404,31.97,0.05,60.41
20150405,31.28,0.0,63.12
20150406,30.94,0.0,62.84
20150407,30.04,0.0,66.9
20150408,29.65,0.43,62.69
20150409,29.57,0.29,65.2
20150410,30.34,0.1,64.75
20150411,30.95,0.41,61.91
20150412,29.49,4.93,68.27
20150413,28.6,6.77,67.82
20150414,28.77,3.34,65.18
20150415,27.84,25.76,77.26
20150416,27.83,18.81,78.94
20150417,28.65,15.59,72.43
20150418,28.73,8.16,73.01
20150419,29.74,0.58,69.36
20150420,29.29,4.79,71.25
20150421,28.35,6.05,76.34
20150422,27.64,1.36,80.84
20150423,29.54,0.48,70.78
20150424,29.36,4.34,72.82
20150425,27.99,6.19,71.63
20150426,29.12,1.09,65.28
20150427,29.09,0.78,70.17
20150428,29.78,0.08,67.55
20150429,30.29,0.03,65.23
20150430,30.7,0.03,66.69
20150501,30.1,0.0,69.97
20150502,30.29,0.0,68.01
20150503,30.27,0.0,69.6
20150504,29.95,0.75,71.77
20150505,29.53,3.54,69.72
20150506,28.86,4.2,74.22
20150507,28.51,4.36,76.45
20150508,30.03,6.87,68.04
20150509,29.34,8.53,75.98
20150510,29.48,1.68,70.15
20150511,28.31,25.49,70.37
20150512,28.23,22.53,68.82
20150513,26.69,22.07,81.44
20150514,27.74,23.31,79.92
20150515,27.91,18.11,84.31
20150516,27.54,10.69,88.97
20150517,27.3,4.91,88.81
20150518,28.06,1.43,83.78
20150519,28.0,0.05,85.45
20150520,28.33,0.0,81.73
20150521,28.98,0.0,79.05
20150522,28.6,0.0,80.62
20150523,28.29,0.01,80.76
20150524,28.95,0.0,74.59
20150525,29.11,0.0,76.79
20150526,29.55,0.0,74.4
20150527,29.11,4.81,75.58
20150528,28.31,6.3,72.11
20150529,29.32,0.14,74.23
20150530,28.72,6.08,79.97
20150531,28.23,1.76,79.7
20150601,28.65,0.06,75.21
20150602,28.45,12.33,77.68
20150603,28.91,1.8,77.66
20150604,28.5,0.67,79.78
20150605,27.37,15.95,86.54
20150606,28.86,0.71,76.08
20150607,28.95,0.02,77.09
20150608,28.64,0.38,74.95
20150609,28.76,0.1,73.2
20150610,28.36,2.08,78.9
20150611,28.9,2.69,75.91
20150612,28.38,0.0,75.97
20150613,28.44,6.54,75.1
20150614,28.74,0.18,70.7
20150615,28.94,0.25,66.51
20150616,27.67,0.42,67.96
20150617,27.56,0.07,69.53
20150618,28.41,1.12,69.77
20150619,28.81,0.12,67.88
20150620,29.54,0.04,66.97
20150621,29.32,0.11,67.9
20150622,29.85,0.01,67.81
20150623,28.84,0.69,74.63
20150624,29.7,0.1,70.13
20150625,29.22,0.02,73.46
20150626,28.49,0.04,63.6
20150627,29.13,0.95,62.06
20150628,29.9,0.52,67.33
20150629,28.73,0.85,70.31
20150630,29.83,5.54,60.62
20150701,28.8,6.89,74.81
