,T2M,Rain,Humidity
20150101,16.15,0.0,67.61
20150102,16.37,0.0,74.05
20150103,16.18,0.89,81.35
20150104,15.16,4.85,86.42
20150105,12.74,0.66,89.65
20150106,13.52,0.0,83.13
20150107,13.48,0.0,82.98
20150108,13.49,0.01,80.91
20150109,13.75,0.02,76.28
20150110,12.97,0.0,70.14
20150111,12.28,0.0,77.87
20150112,12.55,0.0,81.9
20150113,13.88,0.0,74.63
20150114,13.32,0.0,75.8
20150115,13.44,0.0,74.53
20150116,14.25,0.0,68.12
20150117,13.71,0.02,72.2
20150118,13.38,0.01,74.58
20150119,12.95,0.0,72.11
20150120,12.95,0.0,75.9
20150121,13.69,0.0,70.43
20150122,13.93,0.0,78.39
20150123,13.61,0.0,84.16
20150124,12.72,0.0,81.33
20150125,13.98,0.0,77.48
20150126,13.84,0.0,76.55
20150127,13.36,0.0,75.76
20150128,13.45,0.0,79.82
20150129,13.5,0.22,74.62
20150130,11.64,0.42,80.97
20150131,10.57,0.0,72.24
20150201,11.57,0.0,68.03
20150202,13.2,0.0,66.7
20150203,14.68,0.0,64.39
20150204,14.27,0.0,69.53
20150205,14.25,0.0,67.05
20150206,13.47,0.0,66.48
20150207,13.86,0.0,69.13
20150208,13.66,0.0,72.99
20150209,13.84,0.0,73.09
20150210,14.32,0.0,72.43
20150211,14.82,0.0,68.28
20150212,13.97,0.04,70.41
20150213,13.23,0.11,71.38
20150214,13.52,0.04,68.77
20150215,13.38,0.0,75.29
20150216,15.72,0.0,65.66
20150217,15.67,0.06,70.43
20150218,16.54,0.51,65.74
20150219,15.23,0.54,80.44
20150220,15.14,0.18,81.31
20150221,15.47,0.87,80.44
20150222,16.55,0.06,75.37
20150223,17.05,0.0,72.41
20150224,17.61,0.0,73.95
20150225,17.83,0.33,76.74
20150226,17.8,1.86,81.11
20150227,18.03,2.74,78.36
20150228,18.03,0.0,72.61
20150301,19.18,0.0,69.64
20150302,18.84,0.07,72.97
20150303,17.73,0.02,71.29
20150304,16.51,0.95,70.34
20150305,14.54,0.08,69.39
20150306,14.94,0.61,58.98
20150307,15.86,0.05,65.29
20150308,16.51,0.0,67.32
20150309,17.98,0.0,63.2
20150310,17.8,0.0,57.27
20150311,18.13,0.0,55.28
20150312,19.13,0.0,58.16
20150313,18.92,0.0,61.25
20150314,18.25,0.0,61.13
20150315,18.69,0.0,63.83
20150316,19.62,0.0,59.82
20150317,18.78,0.0,63.03
20150318,18.45,0.05,63.62
20150319,17.44,0.01,55.59
20150320,18.78,0.0,48.75
20150321,20.15,0.0,52.46
20150322,20.99,0.0,53.68
20150323,21.77,0.01,55.31
20150324,19.54,0.01,69.18
20150325,20.6,0.01,60.55
20150326,21.39,0.01,61.5
20150327,20.95,7.89,64.9
20150328,18.99,0.68,78.72
20150329,21.32,0.01,70.18
20150330,21.5,0.9,71.46
20150331,19.43,0.61,77.53
20150401,20.06,6.01,74.58
20150402,20.59,17.49,76.39
20150403,20.52,3.81,71.23
20150404,20.22,8.99,74.88
20150405,19.14,8.69,81.67
20150406,18.93,1.43,76.62
20150407,20.04,0.05,66.69
20150408,21.0,0.73,74.15
20150409,21.25,1.58,68.86
20150410,20.34,0.11,61.1
20150411,21.04,0.02,58.62
20150412,20.95,0.11,66.82
20150413,20.94,0.02,66.95
20150414,22.24,5.94,66.32
20150415,22.13,0.82,68.05
20150416,22.96,0.05,65.42
20150417,22.17,20.83,68.24
20150418,20.49,14.39,80.58
20150419,21.25,0.88,78.83
20150420,21.81,1.27,74.16
20150421,19.43,31.0,87.65
20150422,17.91,3.64,85.15
20150423,21.96,10.85,84.66
20150424,18.52,5.85,89.26
20150425,19.28,9.08,78.34
20150426,19.3,0.29,76.37
20150427,19.77,0.07,79.26
20150428,19.8,3.2,80.9
20150429,20.05,5.41,82.52
20150430,20.91,0.53,71.55
20150501,21.78,1.18,76.54
20150502,22.28,5.82,82.52
20150503,23.04,3.89,81.43
20150504,22.75,9.42,78.87
20150505,22.71,3.43,75.63
20150506,22.98,3.04,77.61
20150507,21.05,6.95,79.75
20150508,21.55,2.85,75.82
20150509,23.07,0.19,71.63
20150510,23.93,2.35,74.2
20150511,23.11,6.92,81.59
20150512,21.91,2.24,82.77
20150513,23.03,3.66,82.17
20150514,24.11,23.12,84.1
20150515,24.45,10.05,82.78
20150516,22.51,4.46,89.89
20150517,21.82,16.74,87.97
20150518,22.23,23.41,83.2
20150519,23.64,0.45,80.31
