,T2M,Rain,Humidity
20150101,18.1,0.0,66.44
20150102,21.86,1.11,63.72
20150103,21.21,0.83,72.99
20150104,19.24,6.32,84.9
20150105,16.24,0.11,77.34
20150106,16.04,0.0,65.33
20150107,16.23,0.0,63.0
20150108,16.82,0.0,63.32
20150109,16.65,0.0,64.96
20150110,15.7,0.0,56.41
20150111,15.48,0.0,63.88
20150112,16.51,0.0,71.71
20150113,17.48,0.0,69.93
20150114,19.02,0.0,62.91
20150115,19.68,0.0,61.66
20150116,19.16,0.0,60.38
20150117,18.62,3.31,62.45
20150118,15.96,0.81,61.82
20150119,16.57,0.0,54.4
20150120,16.25,0.0,57.58
20150121,17.11,0.0,66.18
20150122,19.06,0.0,61.32
20150123,18.38,0.0,57.17
20150124,17.19,0.0,62.07
20150125,17.54,0.0,57.05
20150126,18.14,0.0,46.12
20150127,18.12,0.0,56.28
20150128,18.17,0.0,69.24
20150129,18.41,0.0,63.19
20150130,16.31,0.56,69.63
20150131,14.97,0.0,46.52
20150201,15.69,0.0,51.11
20150202,17.19,0.0,57.23
20150203,19.38,0.0,57.32
20150204,19.18,0.0,52.1
20150205,19.25,0.0,45.84
20150206,17.59,0.0,42.49
20150207,17.93,0.0,42.3
20150208,19.17,0.0,45.06
20150209,18.54,0.0,55.35
20150210,18.59,0.0,56.66
20150211,19.2,0.0,40.93
20150212,18.34,0.0,40.48
20150213,18.16,0.0,50.38
20150214,18.32,0.32,50.39
20150215,20.55,0.14,45.64
20150216,20.85,0.0,51.46
20150217,21.59,0.12,53.49
20150218,21.43,2.85,54.61
20150219,19.2,12.34,74.36
20150220,20.37,0.11,68.74
20150221,21.13,2.94,64.52
20150222,21.58,0.21,62.6
20150223,22.02,0.0,62.92
20150224,23.15,0.31,56.73
20150225,23.02,0.0,59.77
20150226,22.3,1.72,65.83
20150227,22.68,2.27,65.32
20150228,23.0,0.0,61.29
20150301,24.55,0.0,63.23
20150302,24.73,0.25,61.4
20150303,22.7,0.05,54.71
20150304,20.95,4.76,60.6
20150305,19.92,0.02,52.52
20150306,19.32,0.0,43.9
20150307,20.23,0.0,45.1
20150308,22.31,0.0,41.7
20150309,24.33,0.0,34.44
20150310,23.04,0.0,36.51
20150311,22.17,0.0,34.94
20150312,22.46,0.0,34.8
20150313,22.99,0.0,36.05
20150314,23.92,0.0,44.8
20150315,24.63,0.0,44.5
20150316,24.77,0.0,48.32
20150317,24.01,0.0,51.23
20150318,24.17,0.0,48.76
20150319,23.54,0.0,38.96
20150320,24.06,0.0,30.55
20150321,24.96,0.0,35.65
20150322,26.22,0.0,33.25
20150323,27.46,0.0,36.29
20150324,26.83,0.0,43.56
20150325,27.53,0.0,47.24
20150326,26.21,0.24,53.12
20150327,24.59,8.91,63.59
20150328,24.66,1.57,66.37
20150329,25.14,0.09,67.8
20150330,25.77,4.96,62.87
20150331,24.74,1.49,66.46
20150401,25.48,5.79,60.25
20150402,24.8,21.26,73.87
20150403,25.69,5.91,70.8
20150404,26.42,14.01,68.76
20150405,24.45,24.98,81.27
20150406,24.3,1.42,71.82
20150407,25.65,0.52,63.84
20150408,25.49,2.33,68.63
20150409,26.04,0.59,63.37
20150410,25.72,0.01,55.99
20150411,25.38,4.16,65.89
20150412,25.44,3.49,71.4
20150413,24.28,0.85,76.95
20150414,26.9,0.0,58.75
20150415,26.43,0.0,56.38
20150416,26.18,0.0,61.08
20150417,26.58,0.4,58.4
20150418,24.66,32.8,74.81
20150419,25.39,28.36,78.15
20150420,25.4,26.65,80.08
20150421,25.76,20.12,82.59
20150422,26.19,19.23,83.83
20150423,26.14,12.22,82.91
20150424,24.21,18.37,86.4
20150425,24.4,12.64,77.92
20150426,23.08,0.14,81.13
20150427,23.56,0.55,78.94
20150428,24.03,4.89,77.23
20150429,24.24,10.36,81.98
20150430,25.59,2.77,73.79
20150501,25.41,8.4,79.29
20150502,25.48,11.16,84.67
20150503,26.1,2.04,80.35
20150504,26.82,3.0,75.96
20150505,26.18,5.05,78.84
20150506,26.29,2.97,80.03
20150507,26.39,10.7,80.41
20150508,24.79,5.86,85.73
20150509,25.81,0.17,78.42
20150510,25.99,26.49,86.78
20150511,25.4,10.96,90.21
20150512,25.47,2.74,88.02
20150513,26.26,4.42,82.56
20150514,26.99,19.55,82.63
20150515,27.28,12.23,83.33
20150516,25.1,8.16,88.58
20150517,25.41,7.42,85.15
20150518,26.02,1.4,79.97
20150519,26.96,0.17,79.89
20150520,27.73,4.29,77.08
20150521,27.69,7.77,78.69
20150522,27.89,7.26,80.99
20150523,28.05,10.6,80.9
20150524,27.5,23.72,85.57
20150525,27.1,17.85,84.71
20150526,26.74,19.75,84.96
20150527,26.47,27.8,87.61
20150528,26.88,20.59,87.48
20150529,27.25,9.86,86.67
20150530,27.4,19.89,87.52
20150531,27.09,13.07,87.61
20150601,26.79,8.62,89.52
20150602,26.76,4.98,87.82
20150603,26.91,10.16,87.69
20150604,27.32,0.91,84.8
20150605,27.69,0.1,81.02
20150606,27.06,1.7,86.07
20150607,27.5,3.88,85.99
20150608,27.77,5.23,86.0
20150609,27.88,17.97,86.98
20150610,26.83,67.31,91.66
20150611,26.67,68.03,92.12
20150612,26.22,49.7,94.1
20150613,25.78,22.45,92.27
20150614,25.57,8.18,91.15
20150615,26.22,20.35,88.72
20150616,26.27,21.68,89.18
20150617,26.7,13.2,87.57
20150618,26.1,11.86,86.63
20150619,27.76,1.77,80.24
20150620,27.61,4.87,85.39
20150621,27.59,3.65,85.87
20150622,27.19,12.42,88.15
20150623,27.21,20.62,89.77
20150624,27.05,17.14,92.66
20150625,27.31,25.1,90.21
20150626,27.88,29.28,90.35
20150627,26.53,9.7,90.02
20150628,26.03,7.19,90.08
20150629,26.69,9.6,87.87
20150630,26.96,4.66,86.7
20150701,27.54,0.33,85.36
20150702,27.58,4.84,85.86
20150703,27.13,4.03,89.33
20150704,27.53,4.57,89.43
20150705,26.3,7.67,94.76
20150706,27.36,4.04,90.17
20150707,27.61,23.17,87.84
20150708,28.11,5.99,85.28
20150709,26.13,6.68,90.55
20150710,26.65,13.29,86.86
20150711,26.86,6.06,87.42
20150712,27.48,3.12,86.33
20150713,28.05,7.98,86.6
20150714,27.81,23.86,91.18
20150715,26.86,57.78,94.64
20150716,27.37,23.76,87.77
20150717,26.96,3.57,86.17
20150718,27.19,9.9,86.39
20150719,26.54,19.35,89.35
20150720,25.53,31.02,92.07
20150721,27.0,19.02,86.74
20150722,26.31,18.54,91.32
20150723,26.47,10.29,91.61
20150724,26.42,26.24,91.84
20150725,26.81,4.32,87.44
20150726,27.06,0.47,84.06
20150727,27.18,0.35,85.16
20150728,28.03,0.04,82.55
20150729,27.79,0.02,85.09
20150730,27.68,11.15,83.82
20150731,25.46,25.13,90.7
20150801,24.94,34.78,94.51
20150802,25.27,1.99,90.7
20150803,25.58,2.7,88.17
20150804,26.17,10.65,90.2
20150805,26.52,4.57,89.0
20150806,26.23,3.35,90.9
20150807,26.92,6.88,87.79
20150808,27.15,8.17,86.92
20150809,28.01,13.87,84.16
20150810,26.09,6.51,93.95
20150811,28.14,3.39,83.64
20150812,27.73,3.65,86.41
20150813,27.79,3.29,85.27
20150814,27.25,4.27,88.86
20150815,26.29,9.3,93.58
20150816,27.21,9.89,90.39
20150817,27.23,12.03,89.18
20150818,26.11,21.28,94.54
20150819,26.87,31.61,93.47
20150820,26.64,42.95,94.68
20150821,26.45,33.33,90.25
20150822,26.58,7.86,88.62
20150823,26.57,7.27,88.25
20150824,26.78,2.98,88.97
20150825,27.03,0.7,89.17
20150826,26.71,1.62,89.86
20150827,26.83,20.59,89.45
20150828,26.48,11.17,88.61
20150829,26.36,26.67,93.05
20150830,26.23,51.58,94.01
20150831,26.12,45.98,95.06
20150901,25.5,16.1,96.05
20150902,25.59,8.11,92.5
20150903,26.59,26.64,89.06
20150904,24.58,20.86,95.01
20150905,25.33,14.1,92.61
20150906,26.4,5.88,89.13
20150907,26.43,2.34,88.72
20150908,26.42,20.68,89.05
20150909,26.8,1.17,86.15
20150910,27.52,3.24,84.8
20150911,26.8,23.45,88.67
20150912,27.55,6.96,84.35
20150913,27.71,1.77,83.28
20150914,26.26,12.49,91.57
20150915,26.65,14.65,87.79
20150916,26.98,4.37,86.37
20150917,28.92,0.0,78.09
20150918,29.3,0.54,80.36
20150919,26.36,4.54,93.36
20150920,25.09,31.32,92.89
20150921,25.73,42.22,93.46
20150922,25.48,25.48,96.48
20150923,26.23,37.89,91.45
20150924,25.66,7.45,94.82
20150925,25.96,0.37,87.69
20150926,25.33,0.0,81.11
20150927,25.53,0.0,79.09
20150928,26.83,0.0,78.26
20150929,27.7,0.0,79.17
20150930,27.68,0.0,84.49
20151001,27.25,0.46,85.31
20151002,26.89,2.09,85.53
20151003,26.79,1.36,81.86
20151004,27.3,0.0,71.66
20151005,26.68,5.31,82.39
20151006,26.18,10.38,88.08
20151007,25.87,5.03,88.95
20151008,25.78,4.07,88.68
