,T2M,Rain,Humidity
20150101,19.72,0.0,66.35
20150102,21.75,1.56,68.61
20150103,21.32,2.6,75.82
20150104,19.42,6.95,85.95
20150105,17.32,0.02,75.84
20150106,15.94,0.0,66.69
20150107,15.95,0.0,64.26
20150108,16.82,0.0,63.81
20150109,16.25,0.0,70.29
20150110,15.26,0.0,59.41
20150111,15.31,0.0,58.57
20150112,16.5,0.0,71.29
20150113,18.1,0.0,73.24
20150114,18.84,0.0,66.41
20150115,19.78,0.0,66.76
20150116,20.05,0.0,61.19
20150117,18.19,2.81,65.21
20150118,15.22,0.28,65.21
20150119,15.57,0.0,59.6
20150120,15.79,0.0,57.64
20150121,16.8,0.0,62.09
20150122,18.68,0.0,62.08
20150123,18.72,0.0,54.52
20150124,17.89,0.0,64.57
20150125,17.3,0.0,60.65
20150126,17.68,0.0,50.87
20150127,18.65,0.0,59.38
20150128,19.06,0.0,68.81
20150129,18.76,0.0,65.66
20150130,17.18,0.66,66.03
20150131,15.21,0.0,50.26
20150201,16.07,0.0,48.5
20150202,17.39,0.0,57.24
20150203,19.73,0.0,61.76
20150204,19.79,0.0,51.56
20150205,19.15,0.0,49.35
20150206,17.04,0.0,48.62
20150207,17.48,0.0,47.3
20150208,19.35,0.0,46.38
20150209,18.98,0.0,57.15
20150210,19.19,0.0,55.65
20150211,18.76,0.0,44.61
20150212,18.28,0.0,44.3
20150213,18.95,0.01,51.51
20150214,19.39,0.07,47.94
20150215,21.41,0.22,43.42
20150216,21.51,0.0,51.43
20150217,22.67,0.0,50.21
20150218,22.8,2.26,52.57
20150219,21.03,13.87,72.14
20150220,21.67,0.19,66.86
20150221,22.71,0.74,59.35
20150222,23.53,0.26,53.95
20150223,23.37,0.0,59.24
20150224,24.57,0.66,54.06
20150225,24.94,0.0,54.24
20150226,24.4,0.04,57.23
20150227,24.21,1.37,59.06
20150228,24.86,0.0,53.57
20150301,26.11,0.01,57.44
20150302,26.72,0.48,54.0
20150303,23.62,0.14,55.31
20150304,23.0,3.49,54.0
20150305,21.39,0.0,43.35
20150306,19.98,0.0,41.9
20150307,20.95,0.0,45.24
20150308,22.35,0.0,44.28
20150309,24.3,0.0,37.33
20150310,24.42,0.0,36.44
20150311,23.6,0.0,31.89
20150312,22.72,0.0,35.54
20150313,23.61,0.0,34.49
20150314,25.47,0.0,41.98
20150315,26.4,0.0,40.11
20150316,26.62,0.02,43.11
20150317,26.68,0.03,43.76
20150318,26.24,0.01,42.21
20150319,24.54,0.01,36.23
20150320,24.64,0.0,32.55
20150321,25.62,0.0,34.59
20150322,26.53,0.0,35.74
20150323,28.61,0.0,34.84
20150324,28.12,0.0,40.38
20150325,28.75,0.0,45.7
20150326,27.86,0.62,50.08
20150327,27.05,4.07,57.57
20150328,27.14,0.91,58.08
20150329,27.66,0.16,58.86
20150330,27.88,5.63,56.35
20150331,26.62,2.67,61.23
20150401,27.51,2.65,56.28
20150402,26.69,15.91,66.65
20150403,27.61,1.48,58.59
20150404,28.42,9.56,60.98
20150405,26.27,15.32,75.0
20150406,26.49,0.5,63.12
20150407,27.57,0.61,59.45
20150408,27.56,1.61,64.42
20150409,28.22,0.04,56.67
20150410,27.4,0.0,49.35
20150411,27.78,0.99,56.1
20150412,27.05,4.38,67.58
20150413,25.78,1.83,73.55
20150414,27.96,0.0,56.12
20150415,27.71,0.0,53.29
20150416,28.75,0.0,54.05
20150417,29.04,0.42,53.57
20150418,26.82,24.73,68.15
20150419,27.43,22.6,72.01
20150420,27.72,14.63,72.96
20150421,28.37,10.25,72.37
20150422,28.43,15.99,75.91
20150423,28.42,8.3,75.19
20150424,26.22,20.95,80.94
20150425,24.89,15.55,79.69
20150426,24.87,0.08,73.47
20150427,25.46,1.31,72.49
20150428,25.94,4.07,71.18
20150429,26.16,9.55,76.29
20150430,27.37,0.44,69.05
20150501,27.83,3.56,70.52
20150502,27.74,6.14,75.99
20150503,28.36,1.56,72.83
20150504,29.44,0.81,65.97
20150505,28.75,1.03,66.7
20150506,28.78,1.4,69.96
20150507,28.62,13.24,72.63
20150508,25.66,5.07,84.57
20150509,27.76,0.02,73.85
20150510,28.02,20.36,80.92
20150511,27.06,16.19,87.07
20150512,27.34,2.59,83.46
20150513,28.12,1.66,75.6
20150514,29.2,5.89,73.88
20150515,29.65,4.77,73.77
20150516,27.31,8.11,80.76
20150517,27.76,2.97,76.03
20150518,28.1,0.62,72.68
20150519,28.81,1.29,74.71
20150520,29.66,11.33,70.88
20150521,29.91,3.78,69.87
20150522,29.98,9.96,73.66
20150523,30.45,4.21,72.64
20150524,29.34,22.53,80.85
20150525,29.14,10.14,79.2
20150526,28.76,15.46,80.37
20150527,28.13,27.58,83.9
20150528,28.42,19.66,83.94
20150529,28.82,6.17,82.99
20150530,28.91,15.96,83.88
20150531,28.86,7.72,82.96
20150601,28.53,5.08,84.77
20150602,28.44,2.64,82.86
20150603,28.3,3.72,83.59
20150604,29.33,0.21,77.16
20150605,29.7,0.24,74.95
20150606,28.96,0.38,80.36
20150607,29.73,0.97,77.52
20150608,29.87,1.94,77.7
20150609,30.08,7.72,78.67
20150610,28.61,51.41,87.52
20150611,28.24,61.76,89.62
20150612,27.83,41.61,90.64
20150613,27.54,12.92,87.99
20150614,26.89,13.12,88.93
20150615,27.54,22.36,86.43
20150616,27.74,27.16,86.67
20150617,28.1,14.11,85.57
20150618,27.43,16.89,85.7
20150619,28.55,1.96,81.42
20150620,28.97,2.1,83.79
20150621,28.99,2.29,84.06
20150622,28.5,15.23,87.05
20150623,28.37,25.46,88.41
20150624,27.69,31.4,92.98
20150625,28.22,23.33,90.47
20150626,28.26,36.61,91.16
20150627,27.5,11.24,89.88
20150628,27.37,7.02,88.37
20150629,28.04,5.73,86.1
20150630,28.22,4.99,85.5
20150701,28.67,0.27,84.89
20150702,28.83,3.97,84.86
20150703,28.56,2.0,87.51
20150704,29.02,1.63,87.27
20150705,27.81,4.77,93.69
20150706,29.05,7.32,85.26
20150707,29.12,20.95,85.63
20150708,29.17,4.58,83.6
20150709,27.31,6.64,90.89
20150710,27.53,9.79,86.93
20150711,28.27,2.9,85.82
20150712,28.91,1.03,84.9
20150713,29.36,1.27,84.81
20150714,29.11,18.02,89.99
20150715,28.08,51.58,94.81
20150716,28.34,20.09,86.68
20150717,28.26,1.21,83.41
20150718,28.67,4.98,82.94
20150719,27.7,10.7,88.2
20150720,26.62,22.1,90.47
20150721,27.63,15.92,87.72
20150722,27.36,16.53,91.37
20150723,27.62,9.73,90.07
20150724,27.5,22.58,91.07
20150725,28.21,4.29,85.34
20150726,28.26,0.49,83.69
20150727,27.78,0.4,85.61
20150728,28.94,0.04,81.72
20150729,28.92,0.04,84.78
20150730,28.95,9.82,85.11
20150731,27.01,24.03,90.17
20150801,26.08,36.63,93.94
20150802,26.61,2.48,89.48
20150803,26.91,2.56,87.14
20150804,27.6,5.46,88.05
20150805,27.85,3.3,87.1
20150806,27.88,1.75,87.9
20150807,28.52,4.06,85.54
20150808,28.02,8.29,85.75
20150809,28.75,11.67,85.69
20150810,27.37,5.82,93.23
20150811,29.41,3.28,81.28
20150812,28.76,1.28,86.09
20150813,29.01,1.58,84.72
20150814,28.64,3.11,87.44
20150815,27.6,9.3,92.42
20150816,28.51,17.21,89.9
20150817,28.51,11.32,88.85
20150818,27.57,15.22,92.96
20150819,27.98,27.07,93.03
20150820,27.78,37.73,94.16
20150821,27.73,68.77,89.35
20150822,27.71,10.63,85.61
20150823,28.02,6.45,85.71
20150824,28.04,3.76,87.67
20150825,28.03,1.14,89.86
20150826,28.01,1.48,89.03
20150827,28.19,8.32,88.05
20150828,27.78,8.35,88.13
20150829,27.75,20.0,91.46
20150830,27.3,43.05,94.07
20150831,27.3,40.25,94.56
20150901,26.86,14.19,95.14
20150902,26.65,10.99,93.35
20150903,26.77,18.97,90.56
20150904,26.1,22.52,92.26
20150905,26.47,16.05,91.69
20150906,27.63,10.35,88.83
20150907,27.83,1.63,87.11
20150908,27.54,17.35,88.44
20150909,28.22,0.48,84.49
20150910,28.59,0.99,83.76
20150911,27.83,18.67,88.36
20150912,28.57,5.44,83.45
20150913,28.49,0.51,84.12
20150914,27.62,3.16,89.51
20150915,27.93,6.81,85.72
20150916,28.04,3.56,86.17
20150917,29.27,0.0,80.26
20150918,30.46,0.24,78.33
20150919,27.5,7.41,92.63
20150920,26.2,44.49,93.09
20150921,26.65,53.48,92.91
