,T2M,Rain,Humidity
20150101,23.97,0.15,80.07
20150102,24.39,0.42,84.95
20150103,24.62,0.0,82.58
20150104,24.2,0.0,82.16
20150105,23.38,0.0,78.5
20150106,22.47,0.0,76.99
20150107,22.5,0.0,76.89
20150108,22.42,0.0,79.28
20150109,21.46,0.0,68.94
20150110,19.63,0.0,62.41
20150111,20.49,0.0,73.32
20150112,20.87,0.0,70.34
20150113,20.36,0.0,68.99
20150114,20.72,0.0,74.44
20150115,21.42,0.0,76.54
20150116,22.19,0.0,77.18
20150117,21.8,0.0,74.41
20150118,21.73,0.0,71.72
20150119,21.57,0.0,73.64
20150120,21.7,0.0,76.21
20150121,21.08,0.0,73.07
20150122,22.2,0.0,75.61
20150123,22.71,0.0,75.9
20150124,21.79,0.0,77.5
20150125,21.85,0.11,75.01
20150126,22.01,0.0,72.24
20150127,22.35,0.0,73.88
20150128,22.56,0.0,76.04
20150129,23.47,0.0,73.94
20150130,23.54,0.0,74.56
20150131,23.23,0.0,75.21
20150201,23.25,0.0,75.6
20150202,22.96,0.0,76.75
20150203,22.49,0.0,73.67
20150204,22.37,0.0,71.04
20150205,22.54,0.0,70.06
20150206,22.66,0.0,70.31
20150207,23.05,0.0,67.63
20150208,22.96,0.0,68.68
20150209,23.05,0.0,67.05
20150210,22.34,0.0,72.25
20150211,23.4,0.0,72.43
20150212,23.37,0.0,69.72
20150213,23.78,0.0,63.01
20150214,24.99,0.0,59.13
20150215,25.47,0.0,61.13
20150216,25.29,0.0,63.43
20150217,25.02,0.0,62.25
20150218,25.43,0.0,58.32
20150219,25.64,0.0,58.82
20150220,25.18,0.0,64.77
20150221,25.31,0.0,60.11
20150222,25.37,0.0,55.73
20150223,24.99,0.0,57.07
20150224,24.62,0.0,57.05
20150225,24.68,0.0,51.33
20150226,25.22,0.0,56.28
20150227,26.56,0.0,61.46
20150228,27.08,0.1,63.76
20150301,25.78,2.24,66.37
20150302,26.87,1.49,69.51
20150303,26.26,6.72,73.08
20150304,27.84,0.21,65.99
20150305,28.55,0.0,63.61
20150306,28.41,0.0,64.54
20150307,28.25,0.0,62.93
20150308,28.16,0.0,61.43
20150309,27.83,0.0,64.36
20150310,27.05,0.0,59.13
20150311,26.25,0.0,63.85
20150312,27.32,0.0,66.74
20150313,27.71,0.0,64.08
20150314,27.63,0.0,61.3
20150315,27.9,0.0,58.46
20150316,27.31,0.0,59.18
20150317,27.85,0.0,54.0
20150318,28.77,0.0,42.28
20150319,28.44,0.0,47.48
20150320,28.19,0.0,55.94
20150321,29.01,0.0,48.46
20150322,30.28,0.0,43.04
20150323,31.04,0.0,42.86
20150324,31.09,0.0,45.48
20150325,29.93,0.0,55.16
20150326,29.76,0.0,56.73
20150327,29.5,0.0,55.21
20150328,28.75,0.0,58.93
20150329,29.18,0.0,56.93
20150330,29.81,0.0,56.84
20150331,30.28,0.0,58.25
20150401,30.96,0.0,54.31
20150402,32.13,0.0,49.57
20150403,33.26,0.0,44.93
20150404,33.55,0.0,46.11
20150405,33.6,0.0,44.02
20150406,32.65,0.0,48.16
20150407,32.13,0.0,51.12
20150408,31.56,0.0,56.19
20150409,31.29,0.0,55.69
20150410,31.2,0.0,51.51
20150411,31.55,0.01,49.87
20150412,30.86,5.55,51.04
20150413,25.67,3.11,62.13
20150414,26.25,2.88,57.45
20150415,26.86,7.77,72.56
20150416,28.5,1.32,66.57
20150417,29.34,0.12,61.81
20150418,30.67,0.02,56.26
20150419,30.99,0.0,55.46
20150420,30.88,0.0,57.85
20150421,31.77,0.0,54.22
20150422,33.27,0.0,48.98
20150423,34.02,0.67,46.27
20150424,31.52,1.64,55.12
20150425,31.99,0.29,53.14
20150426,31.41,0.53,55.07
20150427,31.59,0.11,53.82
20150428,32.98,0.0,49.65
20150429,33.67,0.21,49.19
20150430,34.37,0.47,45.74
20150501,34.63,0.0,43.76
20150502,34.68,6.49,44.22
20150503,31.81,2.98,59.14
20150504,30.75,0.0,63.45
20150505,31.1,0.0,57.57
20150506,32.0,0.51,54.56
20150507,31.79,0.55,55.77
20150508,32.28,0.41,52.8
20150509,33.49,0.0,49.09
20150510,33.88,0.0,45.32
20150511,33.37,0.0,33.34
20150512,32.59,0.0,35.37
20150513,30.69,0.01,48.39
20150514,30.47,0.38,50.73
20150515,30.46,2.41,63.36
20150516,30.8,1.86,60.57
20150517,29.8,1.91,63.12
20150518,32.43,0.24,55.38
20150519,33.77,2.81,51.8
20150520,34.06,0.51,48.71
20150521,34.57,0.0,45.88
20150522,32.61,0.0,51.85
20150523,30.89,0.3,50.29
20150524,32.42,0.73,49.25
20150525,35.0,0.0,41.4
20150526,33.56,0.23,47.89
20150527,33.56,1.55,49.09
20150528,30.78,4.9,62.18
20150529,33.51,0.88,51.44
20150530,32.96,0.66,54.98
20150531,32.04,1.48,56.79
20150601,30.63,1.21,59.57
20150602,29.64,6.73,65.15
20150603,31.36,0.05,57.92
20150604,30.89,0.2,60.07
20150605,30.57,0.37,62.11
20150606,29.8,0.06,63.57
20150607,31.21,0.94,57.53
20150608,29.15,4.48,71.36
20150609,28.65,7.5,71.41
20150610,29.69,0.15,63.74
20150611,30.33,2.42,62.29
20150612,29.16,2.19,67.61
20150613,29.76,0.56,62.12
20150614,29.04,4.28,62.07
20150615,29.49,0.37,55.9
20150616,28.14,1.39,61.41
20150617,28.78,4.02,59.76
20150618,26.58,7.44,70.51
20150619,26.69,7.67,67.69
20150620,29.26,0.06,57.84
20150621,29.35,0.9,59.81
20150622,30.34,0.03,56.51
20150623,30.66,0.0,58.14
20150624,30.69,0.4,58.51
20150625,31.41,0.01,55.65
20150626,31.17,0.0,54.33
20150627,31.09,1.3,55.25
20150628,31.37,1.08,56.03
20150629,30.69,5.9,61.25
20150630,30.81,3.33,58.38
20150701,30.78,0.22,55.1
20150702,31.08,0.19,56.6
20150703,29.75,0.55,61.73
20150704,31.44,0.0,54.55
20150705,32.15,0.0,49.27
20150706,31.39,0.0,49.19
20150707,32.19,0.0,46.51
20150708,31.68,0.0,50.72
20150709,32.4,0.07,50.92
20150710,31.54,1.06,54.15
20150711,31.18,0.31,54.26
20150712,32.44,0.01,48.72
20150713,32.24,0.36,51.25
20150714,30.57,23.25,63.33
20150715,28.48,5.15,74.12
20150716,30.42,0.89,60.31
20150717,31.16,1.05,55.98
20150718,30.42,0.3,58.56
20150719,29.59,1.19,62.12
20150720,30.54,0.29,57.23
20150721,30.24,2.4,59.92
20150722,29.81,1.03,63.23
20150723,29.95,1.84,65.08
20150724,30.41,0.09,60.68
20150725,29.68,1.28,58.58
20150726,29.21,0.44,59.07
20150727,31.03,0.28,52.79
20150728,31.06,0.42,47.85
20150729,31.64,0.05,48.4
20150730,31.94,0.0,46.72
20150731,30.85,7.42,56.9
20150801,28.71,3.87,67.46
20150802,28.14,0.84,67.1
20150803,29.42,7.48,64.8
20150804,29.72,1.83,61.88
20150805,29.75,1.2,57.31
20150806,30.67,0.4,52.94
20150807,29.89,3.78,60.7
20150808,28.56,3.01,66.32
20150809,29.11,0.01,63.03
20150810,28.72,10.06,70.61
20150811,27.65,8.93,71.52
20150812,28.21,3.41,66.96
20150813,29.77,0.15,60.3
20150814,31.35,0.01,55.49
20150815,30.61,0.56,59.09
20150816,27.63,2.49,73.37
20150817,27.96,0.67,73.94
20150818,29.41,0.03,67.51
20150819,29.21,0.17,69.44
20150820,28.8,18.96,75.57
20150821,27.26,62.92,83.1
20150822,27.49,5.65,76.46
20150823,28.01,6.74,71.99
20150824,28.34,0.53,69.64
20150825,27.95,0.65,72.28
20150826,27.85,1.35,71.21
20150827,27.36,4.51,76.63
20150828,28.36,0.42,70.1
20150829,29.19,0.06,66.18
20150830,30.15,0.1,63.21
20150831,29.76,0.04,64.55
20150901,29.99,0.0,63.42
20150902,29.53,0.0,63.58
20150903,29.03,1.53,69.23
20150904,29.05,4.8,72.32
20150905,27.9,0.82,77.42
20150906,27.83,21.82,76.88
20150907,26.61,6.73,79.46
20150908,26.99,4.23,77.14
20150909,27.62,10.71,73.01
20150910,27.02,9.66,79.49
20150911,27.04,2.44,78.66
20150912,27.18,1.68,70.4
20150913,27.58,0.56,73.2
20150914,27.26,0.86,77.17
20150915,27.75,1.66,68.08
20150916,28.1,0.07,70.39
20150917,28.15,0.21,67.75
20150918,29.39,4.34,70.92
20150919,28.25,6.72,76.54
20150920,27.21,20.72,81.05
20150921,27.04,1.14,75.46
20150922,27.37,0.0,71.87
20150923,27.93,0.0,74.72
