,T2M,Rain,Humidity
20150101,23.88,1.63,87.94
20150102,23.4,0.07,74.97
20150103,24.03,0.62,79.97
20150104,24.77,0.1,76.5
20150105,22.55,0.01,68.98
20150106,20.6,0.0,54.71
20150107,20.91,0.0,52.73
20150108,21.62,0.0,63.15
20150109,20.33,0.0,55.51
20150110,19.52,0.0,52.76
20150111,19.21,0.0,53.48
20150112,19.91,0.0,62.42
20150113,20.51,0.0,70.31
20150114,20.8,0.0,70.15
20150115,20.93,0.0,62.55
20150116,20.95,0.0,55.27
20150117,20.53,0.0,50.13
20150118,20.34,0.0,51.88
20150119,19.97,0.0,53.08
20150120,19.93,0.0,60.79
20150121,20.12,0.0,63.49
20150122,19.98,0.0,62.53
20150123,20.73,0.0,61.4
20150124,21.87,0.0,58.84
20150125,22.46,0.0,63.31
20150126,22.55,0.0,70.86
20150127,22.69,0.0,73.49
20150128,23.07,0.0,73.7
20150129,23.15,0.0,73.26
20150130,23.27,0.0,73.76
20150131,23.23,0.3,70.46
20150201,21.89,2.52,62.06
20150202,21.3,0.0,66.7
20150203,21.87,0.0,64.15
20150204,22.29,0.0,59.53
20150205,23.3,0.0,54.07
20150206,23.02,0.0,55.85
20150207,23.15,0.0,62.89
20150208,22.46,0.0,67.72
20150209,23.69,0.0,64.39
20150210,23.45,0.0,67.35
20150211,23.93,0.0,64.18
20150212,24.64,0.28,62.97
20150213,25.42,0.47,65.27
20150214,25.7,0.36,56.34
20150215,25.44,0.05,54.44
20150216,25.57,0.0,66.02
20150217,25.75,0.0,63.99
20150218,25.85,0.0,66.56
20150219,26.47,0.0,62.54
20150220,25.83,1.77,62.49
20150221,25.95,0.94,56.62
20150222,26.66,0.17,46.03
20150223,26.65,0.0,45.59
20150224,26.53,0.0,46.35
20150225,26.63,0.01,57.74
20150226,26.7,0.0,58.21
20150227,25.84,0.0,59.26
20150228,25.35,0.0,61.51
20150301,25.0,0.02,67.04
20150302,26.15,0.25,65.64
20150303,26.49,0.76,70.37
20150304,28.01,0.45,63.67
20150305,27.26,0.16,45.76
20150306,27.37,0.01,59.66
20150307,27.52,0.01,64.58
20150308,27.51,0.0,65.56
20150309,27.72,0.0,59.83
20150310,28.27,0.0,48.11
20150311,28.08,0.0,44.61
20150312,28.53,0.0,51.14
20150313,28.92,0.0,51.09
20150314,28.73,0.0,52.22
20150315,28.46,0.0,52.51
20150316,27.68,0.0,53.11
20150317,28.78,0.0,51.06
20150318,29.52,0.14,50.05
20150319,29.16,0.82,57.45
20150320,29.58,0.01,55.72
20150321,30.47,0.47,56.82
20150322,30.54,0.39,52.91
20150323,30.46,0.06,49.2
20150324,29.94,0.47,59.18
20150325,29.37,0.92,62.24
20150326,28.7,1.74,65.11
20150327,28.65,2.55,64.1
20150328,28.99,2.21,63.87
20150329,29.7,0.45,62.18
20150330,29.82,0.95,60.24
20150331,28.96,2.46,61.77
20150401,30.27,0.43,58.34
20150402,31.07,0.34,56.35
20150403,32.54,0.21,49.55
20150404,32.66,0.43,49.43
20150405,31.93,0.43,54.55
20150406,31.46,0.18,57.33
20150407,30.88,0.05,60.07
20150408,30.75,0.02,58.88
20150409,30.86,0.03,55.82
20150410,31.4,0.05,51.62
20150411,31.31,0.82,52.52
20150412,29.82,2.66,57.12
20150413,27.72,4.58,57.9
20150414,27.98,1.21,60.42
20150415,28.39,0.46,61.22
20150416,28.93,0.22,58.68
20150417,29.34,0.33,60.41
20150418,30.4,0.08,60.2
20150419,30.91,0.03,61.07
20150420,31.56,0.02,59.66
20150421,32.99,0.82,53.4
20150422,33.84,0.84,49.97
20150423,33.24,3.0,52.6
20150424,29.07,7.67,70.13
20150425,29.31,0.96,65.67
20150426,29.09,3.77,65.85
20150427,29.48,3.01,67.22
20150428,30.46,4.81,66.1
20150429,30.52,2.62,67.47
20150430,31.18,2.65,64.73
20150501,30.96,3.56,65.48
20150502,30.38,5.81,68.25
20150503,29.78,2.41,70.42
20150504,28.85,4.19,75.32
20150505,29.45,0.48,68.21
20150506,30.27,1.04,62.16
20150507,31.7,0.15,57.09
20150508,32.51,0.09,56.55
20150509,32.62,0.22,57.42
20150510,32.21,0.17,55.68
20150511,31.13,2.77,58.8
20150512,32.26,0.21,52.6
20150513,31.68,0.59,61.76
20150514,31.0,0.61,65.57
20150515,31.36,0.52,66.07
20150516,30.38,0.71,66.14
20150517,29.76,0.11,64.17
20150518,31.34,0.01,64.58
20150519,34.94,0.03,51.76
20150520,35.21,0.08,51.89
20150521,35.4,0.02,51.44
20150522,35.44,0.01,49.31
20150523,34.97,0.02,51.88
20150524,34.45,0.03,52.19
20150525,35.59,0.01,43.1
