,T2M,Rain,Humidity
20150101,16.83,12.62,85.22
20150102,18.63,6.73,87.19
20150103,18.52,1.15,84.46
20150104,16.56,1.31,84.12
20150105,12.97,0.0,64.39
20150106,13.77,0.0,48.62
20150107,15.08,0.0,50.44
20150108,14.29,0.0,57.68
20150109,12.07,0.0,59.58
20150110,12.47,0.0,45.91
20150111,12.5,0.0,42.19
20150112,12.52,0.0,43.45
20150113,12.32,0.0,48.48
20150114,14.45,0.0,50.59
20150115,14.67,0.0,54.6
20150116,13.47,0.0,54.82
20150117,12.26,0.0,55.82
20150118,11.98,0.0,56.04
20150119,12.21,0.0,50.98
20150120,13.71,0.0,42.0
20150121,15.72,0.0,40.74
20150122,17.48,0.09,43.38
20150123,16.3,0.19,63.09
20150124,16.57,0.0,72.72
20150125,17.54,0.0,62.52
20150126,18.79,0.57,59.91
20150127,18.82,1.26,67.18
20150128,17.17,5.73,77.68
20150129,16.68,9.52,77.82
20150130,13.95,0.89,53.09
20150131,12.91,0.0,39.06
20150201,15.76,0.0,35.3
20150202,16.91,0.0,40.94
20150203,19.15,0.0,40.53
20150204,18.35,0.14,51.11
20150205,16.84,0.0,51.06
20150206,16.83,0.0,43.42
20150207,18.67,0.0,45.96
20150208,19.42,1.13,52.41
20150209,17.29,0.68,68.45
20150210,18.42,0.0,54.64
20150211,18.42,3.3,51.5
20150212,18.09,1.33,62.64
20150213,18.16,0.0,53.72
20150214,19.29,0.0,37.98
20150215,20.43,0.0,42.97
20150216,19.9,0.0,46.01
20150217,21.1,0.0,44.47
20150218,21.58,0.0,39.92
20150219,20.15,0.0,42.55
20150220,21.43,0.0,35.37
20150221,22.25,0.0,36.49
20150222,21.52,0.0,42.25
20150223,21.66,0.0,41.27
20150224,22.8,0.0,37.3
20150225,23.73,0.0,35.39
20150226,24.11,0.0,36.7
20150227,23.11,0.13,46.65
20150228,24.32,0.74,42.25
20150301,23.37,6.15,51.83
20150302,19.79,11.92,74.46
20150303,20.21,3.78,67.77
20150304,18.51,0.36,54.61
20150305,18.43,0.0,44.06
20150306,19.18,0.0,42.58
20150307,20.46,0.0,42.38
20150308,22.81,0.0,40.33
20150309,24.17,0.09,43.32
20150310,23.14,0.03,48.48
20150311,21.77,0.0,35.88
20150312,23.24,0.0,34.36
20150313,24.48,0.0,39.39
20150314,25.31,0.02,44.43
20150315,24.13,2.36,55.91
20150316,23.89,0.28,52.03
20150317,23.82,9.76,56.46
20150318,23.07,0.0,49.95
20150319,21.78,0.0,42.3
20150320,22.51,0.0,35.08
20150321,23.21,0.0,31.39
20150322,25.2,0.0,35.94
20150323,26.2,0.0,39.83
20150324,26.04,0.0,39.91
20150325,26.85,0.0,33.8
20150326,27.76,0.0,33.09
20150327,28.22,0.11,32.37
20150328,28.08,0.08,32.36
20150329,28.94,0.01,30.09
20150330,23.92,2.39,58.85
20150331,25.6,3.07,48.89
20150401,26.57,0.0,34.18
20150402,28.46,0.0,28.68
20150403,28.47,0.0,31.07
20150404,29.18,0.0,31.28
20150405,28.42,0.01,35.67
20150406,28.53,0.15,38.08
20150407,29.52,0.24,32.61
20150408,28.49,1.02,32.66
20150409,27.4,8.98,38.48
20150410,28.62,0.0,38.09
20150411,29.91,1.01,37.6
20150412,25.32,0.74,54.82
20150413,23.6,4.03,62.78
20150414,25.06,4.86,58.69
20150415,24.91,9.93,59.33
20150416,26.8,0.12,52.15
20150417,28.05,0.63,44.54
20150418,29.3,0.0,39.8
20150419,30.95,0.0,35.37
20150420,31.48,0.0,32.57
20150421,32.6,0.0,29.26
20150422,31.19,0.0,31.59
20150423,32.33,0.0,26.92
20150424,31.44,0.02,23.34
20150425,29.44,1.98,39.02
20150426,28.19,2.75,48.37
20150427,29.3,0.76,43.18
20150428,30.98,0.13,36.58
20150429,31.3,1.7,39.59
20150430,30.97,0.19,33.38
20150501,31.94,0.0,25.32
20150502,31.21,0.0,21.25
20150503,32.27,0.06,24.81
20150504,33.28,0.06,24.38
20150505,33.58,0.16,25.06
20150506,33.38,0.03,17.75
20150507,34.39,0.0,12.31
20150508,33.79,0.0,17.01
20150509,33.84,0.0,18.39
20150510,33.07,0.22,20.91
20150511,33.71,1.27,24.06
20150512,33.41,0.96,32.05
20150513,34.06,0.23,27.49
20150514,32.45,0.38,34.41
20150515,31.47,0.96,39.99
20150516,31.31,4.36,42.08
20150517,31.78,0.29,42.29
20150518,32.84,0.0,33.23
20150519,33.98,0.08,30.46
20150520,34.12,0.11,27.2
20150521,33.86,0.0,23.05
20150522,34.76,0.0,17.86
20150523,36.06,0.0,19.45
20150524,36.4,0.0,17.2
20150525,36.33,0.1,20.83
20150526,36.4,0.0,18.21
20150527,36.51,0.0,17.55
20150528,34.19,0.04,9.44
20150529,35.7,0.0,14.34
20150530,36.95,0.0,15.71
20150531,36.72,0.13,24.11
20150601,34.13,2.01,39.07
20150602,34.45,0.04,31.46
20150603,34.41,1.27,32.42
20150604,33.17,1.21,41.7
20150605,33.3,0.4,40.84
20150606,33.55,2.15,41.33
20150607,34.68,0.39,39.03
20150608,36.1,0.0,30.15
20150609,36.98,0.0,27.01
20150610,36.98,0.0,21.74
20150611,36.04,1.68,29.37
20150612,31.45,6.14,52.28
20150613,27.66,4.44,70.11
20150614,28.2,22.25,67.17
20150615,30.02,3.37,57.05
20150616,31.07,0.32,53.69
20150617,30.92,8.39,55.72
20150618,30.41,7.68,62.05
20150619,30.78,5.88,61.58
20150620,31.32,0.11,56.02
20150621,30.64,4.06,62.72
20150622,28.86,16.72,73.24
20150623,29.04,9.29,74.6
20150624,28.56,4.64,71.48
20150625,28.73,8.86,68.97
20150626,28.55,3.82,64.9
20150627,29.37,5.33,59.33
20150628,29.13,18.52,66.87
20150629,28.24,6.22,71.01
20150630,27.8,22.34,73.49
20150701,27.18,24.43,78.22
20150702,26.9,7.89,79.75
20150703,27.09,15.27,78.82
20150704,28.24,8.75,76.37
20150705,28.36,9.81,75.85
20150706,27.83,9.32,78.8
20150707,26.66,39.8,85.33
20150708,25.55,25.13,88.74
20150709,26.14,27.53,88.8
20150710,25.8,39.98,92.41
20150711,25.78,16.04,88.08
20150712,26.27,1.74,85.22
20150713,26.71,6.27,84.66
20150714,27.43,3.02,83.67
20150715,26.92,65.81,89.03
20150716,25.75,51.89,91.55
20150717,25.51,33.21,88.24
20150718,26.13,28.19,88.31
20150719,25.72,2.23,86.61
20150720,26.55,1.7,84.6
20150721,26.49,0.46,87.38
20150722,27.01,14.6,86.0
20150723,26.12,21.89,91.91
20150724,25.89,2.64,89.31
20150725,25.34,13.14,89.05
20150726,25.51,2.62,87.51
20150727,24.83,0.14,87.18
20150728,25.15,0.41,87.14
20150729,25.42,0.0,85.75
20150730,25.61,0.34,86.86
20150731,24.99,15.71,89.75
20150801,24.84,16.8,89.28
20150802,24.07,56.36,94.0
20150803,25.11,75.8,94.34
20150804,25.2,4.02,89.39
20150805,25.25,0.61,87.7
20150806,25.33,0.17,88.05
20150807,26.97,0.01,84.34
20150808,27.13,0.01,83.33
20150809,27.87,1.33,80.5
20150810,26.58,3.62,89.76
20150811,26.09,12.29,89.01
20150812,26.62,3.88,84.1
20150813,26.51,10.23,85.9
20150814,27.03,4.05,87.13
20150815,26.81,3.31,88.99
20150816,26.79,33.38,88.75
20150817,26.55,35.86,89.59
20150818,25.6,21.58,91.44
20150819,25.34,13.94,89.62
20150820,25.5,0.2,89.09
20150821,25.54,0.08,87.4
20150822,25.21,2.94,88.52
20150823,25.37,5.65,88.88
20150824,25.52,12.99,88.57
20150825,25.6,2.71,88.85
20150826,25.69,2.64,90.37
20150827,25.32,5.57,94.68
20150828,26.29,3.14,90.95
20150829,26.13,16.16,91.75
20150830,24.92,8.64,94.62
20150831,25.63,5.35,90.17
20150901,25.92,6.72,85.99
20150902,25.69,16.16,86.03
20150903,26.23,6.2,79.49
20150904,26.06,0.79,82.22
20150905,25.74,0.02,84.34
20150906,25.77,0.0,80.83
20150907,25.3,0.07,82.38
20150908,24.97,0.02,84.43
20150909,25.23,0.0,83.22
20150910,25.6,0.0,80.56
20150911,26.67,5.69,75.94
20150912,26.24,6.9,84.53
20150913,26.28,0.16,82.21
20150914,26.36,0.06,84.31
20150915,25.67,0.82,87.34
20150916,25.23,23.17,91.71
20150917,25.97,7.31,88.64
20150918,26.1,0.11,86.11
