,T2M,Rain,Humidity
20150101,16.44,10.72,89.24
20150102,18.31,6.35,89.24
20150103,18.68,1.05,83.02
20150104,16.61,1.69,85.41
20150105,12.66,0.0,67.43
20150106,12.96,0.0,53.72
20150107,14.41,0.0,52.75
20150108,13.6,0.0,61.1
20150109,11.92,0.0,62.22
20150110,11.91,0.0,50.99
20150111,12.12,0.0,45.37
20150112,12.56,0.0,45.19
20150113,13.39,0.0,46.88
20150114,14.39,0.0,53.5
20150115,15.12,0.0,51.33
20150116,13.63,0.0,55.58
20150117,12.35,0.0,55.65
20150118,11.59,0.0,55.5
20150119,12.9,0.0,48.82
20150120,13.72,0.0,45.13
20150121,16.21,0.0,41.64
20150122,17.03,0.02,45.99
20150123,16.44,0.11,60.77
20150124,16.57,0.0,72.5
20150125,18.0,0.0,61.47
20150126,18.42,0.15,60.71
20150127,19.16,0.44,64.44
20150128,17.85,3.8,72.12
20150129,17.41,7.15,75.84
20150130,14.48,0.0,55.37
20150131,12.64,0.0,40.43
20150201,15.33,0.0,37.56
20150202,16.22,0.0,43.18
20150203,18.61,0.0,40.58
20150204,18.72,0.05,47.98
20150205,17.23,0.0,52.48
20150206,16.7,0.0,46.52
20150207,18.22,0.0,48.2
20150208,19.26,0.75,51.01
20150209,17.94,0.9,64.46
20150210,18.7,0.0,56.5
20150211,18.37,2.99,54.49
20150212,17.51,2.3,63.82
20150213,17.65,0.0,55.78
20150214,18.49,0.0,41.23
20150215,20.53,0.0,41.27
20150216,19.8,0.0,45.24
20150217,20.73,0.0,43.25
20150218,21.74,0.0,38.99
20150219,19.68,0.0,42.4
20150220,20.42,0.0,38.01
20150221,21.19,0.0,38.36
20150222,21.03,0.0,42.84
20150223,21.02,0.0,42.13
20150224,21.67,0.0,39.99
20150225,23.53,0.0,34.69
20150226,23.62,0.0,36.68
20150227,22.76,0.02,44.57
20150228,23.58,0.14,44.33
20150301,22.11,11.86,56.67
20150302,19.44,5.93,76.27
20150303,20.12,4.1,68.72
20150304,18.53,0.43,54.46
20150305,18.11,0.0,45.21
20150306,18.98,0.0,43.14
20150307,20.04,0.0,43.42
20150308,22.57,0.0,40.39
20150309,24.12,0.15,42.88
20150310,23.3,0.03,47.81
20150311,22.29,0.0,36.13
20150312,23.15,0.0,34.03
20150313,24.33,0.0,39.26
20150314,24.75,0.03,45.66
20150315,24.15,1.34,53.14
20150316,24.17,0.15,49.41
20150317,23.89,9.17,55.44
20150318,23.32,0.0,49.58
20150319,22.26,0.0,41.1
20150320,22.55,0.0,34.05
20150321,22.76,0.0,31.75
20150322,24.68,0.0,36.23
20150323,25.79,0.0,40.31
20150324,25.86,0.0,39.47
20150325,26.64,0.0,33.89
20150326,27.34,0.0,33.32
20150327,27.62,0.2,35.81
20150328,27.59,0.02,33.42
20150329,28.26,0.34,32.03
20150330,23.52,4.81,63.18
20150331,25.2,0.61,51.2
20150401,26.53,0.0,34.29
20150402,27.96,0.0,27.9
20150403,27.81,0.0,31.05
20150404,28.57,0.0,30.73
20150405,28.01,0.0,32.37
20150406,28.25,0.04,36.58
20150407,29.16,0.36,32.55
20150408,28.94,1.72,33.44
20150409,27.14,11.29,43.43
20150410,28.45,0.0,43.88
20150411,29.39,0.5,40.51
20150412,24.68,0.4,56.1
20150413,22.66,3.11,65.06
20150414,24.35,2.56,57.92
20150415,24.83,5.4,55.4
20150416,26.44,0.11,51.85
20150417,27.68,1.41,43.65
20150418,28.99,0.0,39.02
20150419,30.8,0.0,34.0
20150420,31.78,0.0,29.83
20150421,32.27,0.0,28.56
20150422,31.4,0.0,28.27
20150423,31.65,0.0,25.07
