,T2M,Rain,Humidity
20150101,20.52,1.95,67.9
20150102,20.06,0.42,67.69
20150103,20.5,0.01,64.64
20150104,21.25,0.0,58.22
20150105,20.27,0.0,44.52
20150106,20.61,0.0,34.08
20150107,20.29,0.0,28.59
20150108,20.26,0.0,31.45
20150109,20.24,0.0,30.31
20150110,20.29,0.0,26.22
20150111,20.53,0.0,26.57
20150112,21.26,0.0,27.2
20150113,21.05,0.0,26.09
20150114,21.11,0.0,26.39
20150115,20.36,0.0,37.61
20150116,20.62,0.0,37.79
20150117,20.59,0.0,40.95
20150118,20.96,0.0,37.96
20150119,21.6,0.0,37.59
20150120,20.67,0.0,53.66
20150121,21.93,0.11,55.93
20150122,21.26,0.38,68.37
20150123,21.78,0.0,56.89
20150124,22.8,1.16,51.58
20150125,22.75,1.5,58.24
20150126,21.08,0.0,57.62
20150127,20.13,0.0,41.02
20150128,21.31,0.0,58.69
20150129,21.25,0.0,53.26
20150130,21.08,0.0,39.44
20150131,22.33,0.0,26.62
20150201,22.4,0.0,30.36
20150202,22.5,0.0,36.86
20150203,24.41,0.0,31.67
20150204,24.08,0.0,40.14
20150205,24.37,0.0,37.77
20150206,24.58,0.0,33.05
20150207,24.59,0.0,33.76
20150208,21.86,0.0,38.76
20150209,22.58,0.0,31.02
20150210,25.27,0.39,39.3
20150211,24.93,0.0,43.3
20150212,24.31,0.0,33.75
20150213,24.7,0.0,22.54
20150214,25.62,0.0,20.19
20150215,25.32,0.0,31.77
20150216,25.82,0.0,39.03
20150217,24.91,0.0,34.62
20150218,24.25,0.0,45.74
20150219,25.13,0.0,47.02
20150220,25.5,0.0,34.36
20150221,26.57,0.0,22.13
20150222,27.81,0.0,20.65
20150223,28.05,0.0,22.18
20150224,27.65,0.0,29.53
20150225,24.28,0.0,50.31
20150226,22.67,0.0,46.89
20150227,22.54,0.0,43.47
20150228,23.22,0.81,44.76
20150301,21.06,10.41,68.18
20150302,20.3,0.08,64.3
20150303,19.22,0.0,56.52
20150304,20.75,0.0,49.76
20150305,23.14,0.0,34.92
20150306,24.62,0.0,31.41
20150307,25.62,0.0,32.23
20150308,25.18,0.0,44.49
20150309,25.54,0.0,37.45
20150310,27.95,0.0,32.23
20150311,29.36,0.71,34.68
20150312,28.22,2.13,45.1
20150313,28.05,1.38,44.16
20150314,26.3,6.97,54.79
20150315,24.5,0.84,63.73
20150316,23.01,0.03,56.72
20150317,24.0,0.0,40.6
20150318,25.47,0.0,34.52
20150319,27.2,0.0,33.28
20150320,29.23,0.0,30.82
20150321,30.36,0.0,32.53
20150322,31.57,0.0,24.36
20150323,31.43,0.0,27.5
20150324,31.04,0.0,32.94
20150325,32.58,0.0,24.26
20150326,33.66,0.0,25.95
20150327,32.6,0.0,34.61
20150328,31.39,0.0,38.21
20150329,30.05,3.16,37.76
20150330,29.21,0.94,39.78
20150331,27.16,0.0,36.81
20150401,27.19,0.0,44.26
20150402,27.45,0.0,54.77
20150403,27.18,0.0,56.14
20150404,26.13,0.0,62.84
20150405,27.07,0.0,59.51
20150406,27.08,0.0,53.66
20150407,27.52,0.0,53.93
20150408,28.95,0.0,52.38
20150409,30.18,0.03,51.39
20150410,29.82,0.02,54.41
20150411,28.66,0.42,55.97
20150412,27.33,0.49,52.98
20150413,27.32,2.89,50.78
20150414,27.4,2.8,51.68
20150415,28.75,1.88,49.42
20150416,30.64,0.0,43.24
20150417,31.68,0.0,39.29
20150418,31.8,0.0,43.11
20150419,32.13,0.0,38.03
20150420,32.78,0.0,36.98
20150421,33.19,0.0,34.17
20150422,31.96,0.0,37.6
20150423,30.74,0.0,44.38
20150424,30.27,0.0,45.6
20150425,30.33,0.0,50.86
20150426,30.89,0.0,52.23
20150427,31.55,0.0,50.66
20150428,31.23,0.0,52.4
20150429,31.25,0.0,49.07
20150430,31.17,0.0,50.38
20150501,31.26,0.0,49.31
20150502,31.63,0.0,45.12
20150503,31.9,0.0,45.19
20150504,32.25,0.0,45.73
20150505,33.04,0.0,38.72
20150506,32.21,0.01,40.7
20150507,32.47,0.25,43.04
20150508,33.03,0.0,41.68
20150509,33.26,0.14,39.77
20150510,32.73,0.6,41.05
20150511,32.86,0.0,43.58
20150512,31.91,0.01,50.14
20150513,31.62,0.09,53.7
20150514,32.29,0.48,45.9
20150515,33.64,0.12,44.83
20150516,34.57,0.02,43.08
20150517,34.02,0.0,41.92
20150518,33.39,0.0,45.39
20150519,32.18,0.0,52.46
20150520,32.19,0.0,53.98
20150521,31.98,0.0,55.22
20150522,31.76,0.0,56.92
20150523,31.42,0.0,59.43
20150524,30.84,0.0,61.51
20150525,30.31,0.0,62.7
20150526,30.86,0.0,60.88
20150527,30.9,0.0,60.9
20150528,31.55,0.0,59.28
20150529,32.53,0.0,54.07
20150530,31.53,0.0,56.74
20150531,32.96,0.0,47.09
20150601,31.46,0.0,55.75
20150602,30.71,0.02,57.14
20150603,30.69,0.05,58.33
20150604,31.92,0.01,54.12
20150605,30.91,0.03,57.43
20150606,31.23,0.13,58.08
20150607,31.44,2.21,57.67
20150608,30.59,9.73,63.99
20150609,29.81,2.46,65.13
20150610,29.32,1.73,69.95
20150611,28.45,21.42,78.04
20150612,27.05,35.49,84.99
20150613,26.49,32.23,87.75
20150614,26.69,10.15,83.36
20150615,26.76,9.15,81.26
20150616,27.19,2.45,77.21
20150617,27.61,1.0,78.78
20150618,27.57,6.71,78.75
20150619,26.99,1.46,83.64
20150620,27.53,1.21,84.87
20150621,27.37,34.76,84.45
20150622,26.64,60.33,88.63
20150623,26.57,49.07,86.43
20150624,26.35,114.04,90.47
20150625,26.28,32.5,89.45
20150626,26.66,0.02,85.11
20150627,26.78,0.22,84.48
20150628,26.5,0.11,84.63
20150629,26.41,0.0,84.82
20150630,26.06,0.0,85.58
20150701,26.35,0.0,83.53
20150702,26.22,0.0,84.0
20150703,26.49,0.0,83.48
