,T2M,Rain,Humidity
20150101,3.52,0.0,56.59
20150102,4.78,0.0,69.97
20150103,4.37,1.55,80.27
20150104,2.37,1.64,85.27
20150105,1.15,0.93,81.23
20150106,2.02,0.0,72.35
20150107,-0.49,0.04,84.49
20150108,-1.1,0.21,71.67
20150109,-0.63,0.02,68.61
20150110,0.11,0.0,49.38
20150111,0.15,0.0,54.11
20150112,1.46,0.0,59.83
20150113,1.5,0.0,74.44
20150114,0.36,0.0,81.24
20150115,0.09,0.0,77.36
20150116,0.07,0.0,72.09
20150117,-0.49,0.0,72.2
20150118,-0.72,0.0,74.31
20150119,-0.69,0.0,79.42
20150120,0.82,0.0,69.34
20150121,2.06,0.0,54.38
20150122,2.43,0.0,69.52
20150123,1.91,0.0,80.24
20150124,0.64,0.0,84.2
20150125,2.34,0.0,72.86
20150126,3.06,0.0,74.97
20150127,2.25,0.0,74.3
20150128,0.12,0.0,86.83
20150129,-0.13,0.34,76.96
20150130,-1.82,0.08,82.93
20150131,-1.48,0.0,73.0
20150201,-0.99,0.0,70.51
20150202,0.2,0.0,75.02
20150203,1.69,0.0,73.54
20150204,0.68,0.0,83.88
20150205,0.82,0.0,83.93
20150206,1.36,0.0,80.1
20150207,1.52,0.0,81.43
20150208,1.6,0.0,81.3
20150209,0.8,0.0,83.3
20150210,1.59,0.0,82.12
20150211,1.02,0.0,84.35
20150212,0.72,1.53,78.09
20150213,-1.46,0.72,88.18
20150214,0.27,0.03,76.74
20150215,-0.22,0.23,85.78
20150216,1.25,0.0,80.71
20150217,1.67,0.01,76.47
20150218,0.83,0.13,83.77
20150219,0.93,0.25,89.93
20150220,2.83,0.01,70.15
20150221,2.31,0.51,87.32
20150222,3.3,0.0,70.36
20150223,4.97,0.0,69.55
20150224,5.21,0.0,83.66
20150225,6.14,0.04,85.72
20150226,5.47,2.58,86.09
20150227,4.38,1.67,88.24
20150228,4.95,0.0,78.9
20150301,5.27,0.24,78.21
20150302,5.74,0.51,70.35
20150303,3.95,0.0,78.59
20150304,2.27,0.74,78.48
20150305,0.86,0.0,82.28
20150306,1.4,0.09,76.47
20150307,2.13,0.0,82.63
20150308,4.05,0.0,79.02
20150309,5.46,0.0,72.91
20150310,4.15,0.0,59.83
20150311,4.67,0.0,69.68
20150312,5.62,0.0,78.36
20150313,5.86,0.0,77.79
20150314,4.56,0.0,77.52
20150315,4.9,0.0,79.65
20150316,5.06,0.0,77.99
20150317,4.82,0.0,74.3
20150318,3.46,2.04,81.91
20150319,2.09,0.0,75.36
20150320,4.0,0.0,70.5
20150321,5.53,0.0,75.06
20150322,5.72,0.0,78.68
20150323,5.37,0.17,84.29
20150324,5.08,0.03,87.62
20150325,5.52,0.0,82.75
20150326,5.26,0.0,84.83
20150327,6.11,6.83,83.53
20150328,5.91,0.27,87.21
20150329,7.82,0.0,86.12
20150330,7.74,1.1,87.19
20150331,6.02,0.12,79.22
20150401,6.51,3.0,87.49
20150402,6.11,6.18,88.6
20150403,6.52,2.79,81.36
20150404,6.4,4.28,83.4
20150405,5.2,3.01,85.02
20150406,5.94,0.18,82.05
20150407,6.03,0.05,83.76
20150408,7.52,0.17,83.51
20150409,6.23,0.2,82.67
20150410,5.23,0.0,80.03
20150411,5.54,0.0,82.53
20150412,7.02,0.55,83.99
20150413,6.51,0.15,87.28
20150414,7.31,9.63,86.57
20150415,8.11,0.85,86.71
20150416,8.55,0.0,80.91
20150417,7.83,14.87,82.63
20150418,7.19,7.42,83.15
20150419,8.54,0.21,77.21
20150420,9.17,4.4,86.16
20150421,6.65,15.99,86.99
20150422,8.67,2.43,88.95
20150423,9.25,6.47,89.79
20150424,7.25,4.03,87.92
20150425,4.95,4.21,86.93
20150426,5.84,0.52,84.64
20150427,6.75,0.04,86.02
20150428,6.67,3.48,89.11
20150429,6.47,6.82,85.7
20150430,6.49,0.88,81.82
20150501,8.55,3.1,87.26
20150502,10.28,3.72,86.47
20150503,10.75,1.86,83.36
20150504,9.39,3.91,81.92
20150505,9.59,3.41,80.27
20150506,9.74,4.02,84.21
20150507,8.39,4.19,86.47
20150508,8.55,0.31,75.31
20150509,9.91,0.03,81.32
20150510,9.45,4.41,87.18
20150511,8.32,9.71,89.37
20150512,9.38,2.87,87.12
20150513,11.84,2.84,87.29
20150514,12.6,17.01,87.32
20150515,12.48,6.26,86.17
20150516,10.93,1.76,89.17
20150517,10.45,9.21,87.97
20150518,9.78,3.95,90.87
20150519,10.94,0.05,87.04
20150520,12.57,0.0,81.88
20150521,12.06,2.53,84.16
20150522,11.63,8.56,85.09
20150523,11.47,15.49,85.71
20150524,11.63,7.12,85.35
20150525,12.25,6.97,88.28
20150526,11.52,7.31,87.98
20150527,11.62,6.2,88.72
20150528,11.37,15.59,87.43
20150529,11.49,5.29,86.59
20150530,11.58,4.22,89.64
20150531,13.11,6.07,88.32
20150601,13.65,1.88,85.38
20150602,13.08,8.89,88.65
20150603,13.06,8.16,84.6
20150604,13.16,6.81,89.62
