,T2M,Rain,Humidity
20150101,23.18,1.19,75.76
20150102,22.14,0.01,71.31
20150103,22.52,0.0,67.95
20150104,22.68,0.0,68.37
20150105,22.43,0.0,69.62
20150106,22.14,0.0,69.63
20150107,22.66,0.0,66.16
20150108,22.15,0.0,71.3
20150109,21.96,0.0,72.33
20150110,21.34,0.0,62.88
20150111,19.04,0.0,54.63
20150112,19.28,0.0,59.55
20150113,19.12,0.0,59.56
20150114,19.23,0.0,60.35
20150115,19.51,0.0,61.69
20150116,20.48,0.0,65.19
20150117,21.61,0.0,67.7
20150118,21.64,0.0,66.69
20150119,21.33,0.0,65.62
20150120,21.13,0.0,66.17
20150121,20.71,0.0,65.79
20150122,20.19,0.01,58.53
20150123,21.65,0.02,68.24
20150124,22.48,0.05,69.88
20150125,22.59,0.0,61.05
20150126,20.89,0.0,60.04
20150127,21.73,0.0,64.16
20150128,22.58,0.0,65.73
20150129,23.39,0.0,64.09
20150130,23.25,0.0,64.38
20150131,22.61,0.0,57.48
20150201,22.23,0.0,59.81
20150202,21.84,0.0,57.73
20150203,21.41,0.0,57.46
20150204,22.0,0.0,58.26
20150205,22.82,0.0,55.68
20150206,22.86,0.0,51.48
20150207,22.96,0.01,53.5
20150208,22.85,0.0,52.62
20150209,22.67,0.0,50.22
20150210,22.26,0.0,53.75
20150211,23.6,0.0,52.72
20150212,24.39,0.01,56.32
20150213,24.64,0.04,53.51
20150214,24.74,0.01,46.5
20150215,24.12,0.0,46.08
20150216,23.1,0.0,47.73
20150217,23.49,0.0,42.74
20150218,23.32,0.0,39.87
20150219,23.66,0.0,43.24
20150220,22.57,0.0,43.0
20150221,22.29,0.0,46.45
20150222,22.8,0.0,46.94
20150223,22.33,0.0,42.11
20150224,23.02,0.0,34.29
20150225,24.3,0.0,41.57
20150226,25.47,0.0,56.82
20150227,26.5,0.0,55.3
20150228,25.44,0.32,61.82
20150301,25.44,0.25,63.33
20150302,26.7,0.79,57.08
20150303,25.82,2.76,63.57
20150304,25.31,1.44,64.36
20150305,27.04,0.0,51.95
20150306,26.26,7.39,62.53
20150307,24.86,3.32,69.01
20150308,24.78,0.55,62.93
20150309,24.63,0.15,59.91
20150310,24.39,0.11,52.5
20150311,23.99,0.0,51.27
20150312,25.44,0.0,54.35
20150313,25.49,0.0,53.13
20150314,25.35,0.13,55.07
20150315,25.09,4.59,65.5
20150316,24.2,8.0,70.73
