,T2M,Rain,Humidity
20150101,23.6,2.52,81.46
20150102,22.27,0.0,74.49
20150103,22.05,0.0,72.69
20150104,22.3,0.0,78.07
20150105,21.89,0.0,76.39
20150106,21.97,0.0,75.61
20150107,21.77,0.0,75.06
20150108,22.18,0.0,76.62
20150109,21.69,0.0,79.49
20150110,20.87,0.0,73.07
20150111,18.93,0.0,70.33
20150112,19.02,0.0,70.49
20150113,18.92,0.0,71.12
20150114,19.73,0.0,73.48
20150115,19.9,0.0,69.07
20150116,20.7,0.0,74.63
20150117,21.87,0.0,76.85
20150118,21.41,0.0,75.08
20150119,20.9,0.0,72.65
20150120,20.29,0.0,73.31
20150121,20.22,0.04,74.3
20150122,20.42,0.52,71.36
20150123,22.19,0.4,77.16
20150124,22.25,0.12,76.22
20150125,21.81,0.0,71.89
20150126,20.94,0.0,73.17
20150127,21.67,0.0,74.14
20150128,22.4,0.0,74.29
20150129,22.96,0.0,72.36
20150130,22.32,0.0,75.22
20150131,22.1,0.0,67.05
20150201,21.73,0.0,71.16
20150202,21.39,0.0,66.82
20150203,21.58,0.0,71.12
20150204,20.82,0.05,75.49
20150205,22.13,0.05,71.74
20150206,22.35,0.04,65.79
20150207,22.33,0.18,66.44
20150208,22.11,0.0,64.28
20150209,22.15,0.0,63.63
20150210,21.41,0.0,75.34
20150211,23.19,0.0,71.36
20150212,23.71,0.03,68.98
20150213,23.79,0.03,68.07
20150214,24.07,0.0,64.14
20150215,23.5,0.0,56.74
20150216,22.52,0.0,56.12
20150217,22.86,0.0,52.0
20150218,22.53,0.0,49.95
20150219,22.73,0.0,51.51
20150220,21.76,0.0,59.58
20150221,21.74,0.0,62.81
20150222,21.71,0.0,58.46
20150223,21.86,0.0,57.89
20150224,23.02,0.0,53.44
20150225,24.97,0.0,59.45
20150226,25.66,0.25,64.99
20150227,25.29,0.75,68.31
20150228,25.19,0.09,68.18
20150301,26.53,0.01,60.82
20150302,26.68,0.24,62.61
20150303,25.2,0.38,70.59
20150304,22.76,0.04,76.26
20150305,26.08,0.0,61.45
20150306,26.78,0.66,59.29
20150307,25.59,2.43,66.58
20150308,25.01,1.04,61.91
20150309,25.68,0.02,59.05
20150310,25.14,0.0,52.38
20150311,24.56,0.0,56.1
20150312,25.96,0.0,57.66
20150313,26.19,0.0,56.94
20150314,24.83,2.92,65.12
20150315,24.81,2.63,71.99
20150316,24.06,5.11,79.5
20150317,24.45,1.48,63.62
20150318,25.29,0.0,50.46
20150319,24.84,0.0,45.96
20150320,25.59,0.0,46.8
20150321,25.51,0.0,53.12
20150322,26.12,0.0,42.57
20150323,27.25,0.0,47.02
20150324,27.79,0.0,49.75
20150325,26.78,0.0,53.5
20150326,26.09,0.0,52.43
20150327,25.99,0.0,48.82
20150328,26.78,0.19,52.11
20150329,27.53,0.53,57.1
20150330,27.93,0.3,51.56
20150331,27.33,0.68,56.0
20150401,26.28,15.91,71.48
20150402,26.9,1.71,67.12
20150403,27.82,0.08,62.25
20150404,27.61,0.08,65.21
20150405,27.96,0.0,62.0
20150406,28.01,0.15,59.48
20150407,27.49,0.67,61.88
20150408,24.97,1.59,68.49
20150409,25.73,1.18,57.56
20150410,25.78,0.66,67.45
20150411,27.7,1.57,59.45
20150412,26.06,4.53,64.84
20150413,23.45,4.46,77.75
20150414,24.04,3.0,75.94
20150415,23.77,25.91,84.57
20150416,23.6,17.12,83.59
20150417,24.68,24.07,75.23
20150418,25.25,4.56,74.33
20150419,25.74,0.01,73.39
20150420,25.79,2.83,73.66
20150421,24.76,4.73,77.34
20150422,24.76,2.11,76.07
20150423,26.28,0.77,68.28
20150424,26.59,3.94,68.13
20150425,24.53,6.99,71.29
20150426,25.93,1.6,63.59
20150427,25.61,0.16,69.24
20150428,26.53,0.02,67.32
20150429,27.12,0.25,66.23
20150430,27.52,0.16,64.84
20150501,27.17,0.0,65.25
20150502,27.62,0.0,62.63
20150503,27.9,0.0,61.58
20150504,26.71,1.05,68.21
20150505,26.29,3.83,69.59
20150506,25.56,5.42,75.17
20150507,25.25,9.67,77.83
20150508,26.0,12.3,75.91
20150509,24.82,11.9,81.66
20150510,25.19,2.84,72.99
20150511,23.59,9.78,74.74
20150512,24.52,17.88,68.75
20150513,23.99,10.9,80.37
20150514,24.43,13.03,82.95
20150515,23.62,27.11,93.69
20150516,24.02,5.89,88.28
20150517,23.52,8.08,91.6
20150518,24.37,6.29,83.11
20150519,24.86,3.32,78.69
20150520,25.25,0.64,76.92
20150521,25.16,0.17,76.93
20150522,26.0,0.02,75.25
20150523,25.76,0.69,76.43
20150524,25.59,0.35,73.19
20150525,25.66,0.04,74.18
20150526,25.59,0.0,76.1
20150527,24.49,3.62,79.38
20150528,24.22,2.95,74.99
20150529,25.59,0.51,74.1
20150530,25.75,13.98,76.72
20150531,25.47,3.23,76.85
20150601,24.65,0.35,77.73
20150602,24.57,32.77,82.28
20150603,24.53,1.67,83.3
20150604,24.82,1.56,82.0
20150605,23.91,11.59,86.49
