,T2M,Rain,Humidity
20150101,25.49,0.84,82.84
20150102,25.73,0.0,68.9
20150103,26.11,0.0,67.82
20150104,26.52,0.0,72.76
20150105,26.13,0.0,78.24
20150106,25.91,0.0,78.16
20150107,25.7,0.0,77.91
20150108,26.11,0.02,76.83
20150109,25.99,0.01,77.85
20150110,25.52,0.0,78.14
20150111,24.0,0.0,77.17
20150112,24.15,0.0,72.85
20150113,24.32,0.0,70.83
20150114,24.48,0.0,75.71
20150115,24.7,0.0,74.89
20150116,24.79,0.0,77.23
20150117,25.78,0.0,79.56
20150118,25.79,0.0,77.13
20150119,25.38,0.0,75.01
20150120,24.88,0.0,75.01
20150121,25.15,0.12,75.93
20150122,25.14,1.43,68.5
20150123,26.25,0.07,73.81
20150124,26.27,0.05,74.28
20150125,26.45,0.01,74.85
20150126,25.99,0.01,71.05
20150127,26.09,0.0,72.79
20150128,26.62,0.0,74.92
20150129,26.94,0.0,71.89
20150130,27.28,0.0,71.12
20150131,26.92,0.0,67.71
20150201,26.68,0.0,67.65
20150202,26.66,0.0,67.33
20150203,26.75,0.0,68.51
20150204,26.59,0.02,69.97
20150205,27.1,0.09,69.36
20150206,27.21,0.09,68.5
20150207,27.29,0.12,67.44
20150208,27.19,0.01,65.88
20150209,27.34,0.04,66.7
20150210,27.26,0.11,69.45
20150211,27.91,0.02,66.7
20150212,28.38,0.02,66.96
20150213,28.33,0.03,67.1
20150214,28.21,0.01,67.44
20150215,28.32,0.0,60.5
20150216,27.52,0.0,60.47
20150217,27.3,0.0,61.02
20150218,27.24,0.0,56.18
20150219,27.27,0.0,57.9
20150220,27.47,0.0,59.19
20150221,27.1,0.0,65.73
20150222,27.14,0.0,62.46
20150223,27.45,0.0,59.59
20150224,28.05,0.0,61.41
20150225,28.62,0.02,65.86
20150226,28.68,0.05,65.42
20150227,27.87,0.14,71.75
20150228,27.82,0.25,72.42
20150301,28.51,0.05,67.83
20150302,28.42,0.16,70.24
20150303,28.6,0.71,71.54
20150304,27.51,0.58,76.83
20150305,29.3,0.12,66.18
20150306,28.86,0.82,68.39
20150307,29.09,0.91,68.43
20150308,29.32,0.31,61.82
20150309,29.04,0.09,63.87
20150310,29.11,0.1,60.98
20150311,29.11,0.03,57.9
20150312,29.54,0.05,61.43
20150313,29.59,0.99,61.98
20150314,28.29,12.62,71.31
20150315,28.08,6.75,74.68
20150316,28.32,5.6,75.96
20150317,28.37,0.87,70.16
20150318,28.65,0.0,65.41
20150319,29.43,0.0,60.99
20150320,29.23,0.0,62.06
20150321,29.19,0.02,64.91
20150322,29.1,0.0,62.48
20150323,29.8,0.0,63.35
20150324,29.45,0.0,70.56
20150325,29.57,0.0,66.65
20150326,29.92,0.0,62.45
20150327,30.08,0.25,60.4
20150328,30.07,1.33,61.95
20150329,29.84,1.82,66.83
20150330,29.62,1.0,67.3
20150331,29.49,4.23,67.82
20150401,29.29,3.02,70.01
20150402,29.19,1.88,69.65
20150403,29.44,0.42,69.95
20150404,29.31,0.34,74.61
20150405,29.72,0.29,69.89
20150406,29.77,0.94,70.21
20150407,29.07,10.88,75.35
20150408,28.05,13.74,75.16
20150409,29.07,2.89,68.76
20150410,28.86,4.52,73.17
20150411,28.35,10.2,77.7
20150412,27.88,10.63,78.25
20150413,28.23,15.17,72.32
20150414,28.16,5.27,73.74
20150415,28.38,2.97,72.75
20150416,28.83,2.36,70.03
20150417,28.49,10.05,75.32
20150418,28.37,5.38,77.98
20150419,28.66,1.16,74.58
20150420,28.64,12.27,75.66
20150421,27.33,61.38,82.39
20150422,27.17,42.45,84.5
20150423,28.03,0.96,80.84
20150424,28.25,10.56,81.82
20150425,28.65,14.31,71.79
20150426,28.17,0.79,74.77
20150427,28.55,1.75,73.4
20150428,28.7,0.7,74.37
20150429,28.65,0.13,75.89
20150430,28.45,0.23,79.9
20150501,28.62,0.2,80.42
20150502,28.27,0.21,82.45
20150503,28.14,0.15,82.94
20150504,28.4,1.11,77.64
20150505,28.42,0.55,76.68
20150506,28.6,0.41,74.62
20150507,28.16,0.88,79.46
20150508,28.21,3.11,80.04
20150509,28.14,3.45,84.37
20150510,28.56,7.06,77.65
20150511,27.53,26.13,80.03
20150512,27.9,11.59,71.73
20150513,27.39,12.32,81.86
20150514,27.79,8.23,82.84
20150515,27.78,11.18,86.38
20150516,27.93,40.81,89.0
20150517,27.73,83.46,90.99
20150518,27.62,23.7,90.33
20150519,27.39,27.01,91.29
20150520,27.48,7.92,89.18
20150521,27.7,6.21,90.03
20150522,28.03,1.11,85.72
20150523,27.56,5.14,85.43
20150524,27.51,7.14,86.77
20150525,27.96,4.0,86.97
20150526,27.99,0.38,87.81
20150527,27.88,0.11,87.07
20150528,27.41,0.27,83.64
20150529,28.05,0.43,83.9
20150530,27.47,2.89,87.3
20150531,27.16,8.08,86.39
20150601,27.09,2.92,83.11
20150602,27.36,4.58,85.81
20150603,27.16,11.14,88.25
20150604,26.89,12.97,88.3
20150605,26.34,7.05,88.26
20150606,27.42,1.65,85.35
20150607,27.58,32.92,87.89
20150608,27.07,3.14,86.39
20150609,27.02,4.25,84.74
20150610,26.99,1.86,87.61
20150611,27.03,4.22,86.24
20150612,26.26,4.6,87.1
20150613,27.02,8.86,85.74
20150614,26.98,5.62,86.91
20150615,26.88,6.93,88.48
20150616,27.09,11.29,85.52
20150617,26.99,4.45,83.87
20150618,26.98,4.64,87.79
20150619,27.41,9.82,89.58
20150620,27.7,3.17,87.42
20150621,27.68,5.26,86.21
20150622,27.59,5.88,87.48
20150623,27.29,3.71,87.64
20150624,27.01,7.51,89.74
20150625,27.19,14.79,88.98
20150626,26.67,18.89,86.85
20150627,26.87,69.42,87.77
