,T2M,Rain,Humidity
20150101,26.06,1.0,85.31
20150102,24.92,0.0,79.03
20150103,24.96,0.0,78.55
20150104,25.37,0.0,82.66
20150105,25.32,0.0,85.39
20150106,25.21,0.0,83.07
20150107,24.59,0.0,82.21
20150108,24.92,0.0,81.92
20150109,25.02,0.0,82.62
20150110,24.54,0.0,79.83
20150111,23.38,0.0,78.02
20150112,23.26,0.0,76.0
20150113,23.39,0.0,76.03
20150114,23.92,0.0,78.47
20150115,23.92,0.0,75.69
20150116,24.58,0.0,81.21
20150117,25.45,0.01,81.89
20150118,25.3,0.0,78.96
20150119,24.74,0.0,75.03
20150120,24.37,0.0,77.36
20150121,24.49,0.02,76.57
20150122,24.91,0.22,77.11
20150123,25.94,0.02,77.75
20150124,25.98,0.01,77.36
20150125,26.06,0.0,73.77
20150126,25.45,0.01,74.36
20150127,25.59,0.0,74.86
20150128,26.01,0.01,76.6
20150129,26.46,0.02,74.92
20150130,26.49,0.0,73.91
20150131,26.23,0.0,69.2
20150201,25.99,0.0,71.64
20150202,26.01,0.01,70.02
20150203,26.22,0.03,69.95
20150204,25.12,1.02,76.95
20150205,25.96,0.25,74.9
20150206,26.01,0.03,73.85
20150207,26.36,0.05,72.1
20150208,26.69,0.0,67.63
20150209,26.84,0.04,71.29
20150210,26.65,0.11,71.92
20150211,27.17,0.03,71.78
20150212,27.92,0.01,70.84
20150213,27.92,0.01,71.16
20150214,27.84,0.0,66.37
20150215,27.32,0.0,63.36
20150216,27.05,0.0,61.32
20150217,26.89,0.0,59.73
20150218,26.77,0.0,56.41
20150219,27.06,0.0,56.87
20150220,26.91,0.0,59.66
20150221,27.14,0.0,65.2
20150222,27.14,0.0,61.94
20150223,27.31,0.0,62.19
20150224,27.83,0.03,65.66
20150225,28.55,0.1,67.12
20150226,28.82,4.24,68.47
20150227,28.65,1.32,70.58
20150228,28.66,0.35,69.64
20150301,28.88,0.04,67.33
20150302,29.33,0.07,67.11
20150303,29.21,0.11,65.18
20150304,29.75,0.0,59.44
20150305,29.73,0.02,62.98
20150306,29.74,0.19,64.66
20150307,29.67,0.33,63.04
20150308,29.03,0.16,63.01
20150309,29.32,0.02,63.21
20150310,29.06,0.0,59.48
20150311,28.37,0.0,63.1
20150312,29.33,0.07,63.86
20150313,29.45,0.14,64.07
20150314,28.85,4.67,67.4
20150315,28.85,3.62,71.54
20150316,28.55,5.13,74.25
20150317,28.81,0.27,66.94
20150318,27.34,0.0,64.05
20150319,28.38,0.0,57.98
20150320,28.68,0.0,62.01
20150321,29.2,0.02,63.93
20150322,29.01,0.0,63.41
20150323,29.68,0.0,62.48
20150324,29.94,0.0,66.26
20150325,29.3,0.0,67.87
20150326,29.92,0.0,62.83
20150327,30.07,0.08,63.0
20150328,30.1,1.81,64.51
20150329,29.97,2.88,67.14
20150330,29.93,0.88,65.87
20150331,28.89,8.05,72.14
20150401,28.57,9.75,76.06
20150402,29.44,3.5,70.76
20150403,30.99,0.13,64.46
20150404,31.32,0.17,65.19
20150405,30.39,0.05,70.26
20150406,30.37,0.03,68.69
20150407,29.81,0.41,71.14
20150408,28.68,3.22,70.35
20150409,28.62,1.31,73.03
20150410,29.26,1.21,73.16
20150411,30.22,7.49,67.8
20150412,29.47,15.07,73.52
20150413,29.02,1.93,67.84
20150414,28.29,3.62,70.04
20150415,28.44,32.68,73.71
20150416,28.62,9.67,76.43
20150417,28.61,18.44,76.39
20150418,28.7,4.91,75.78
20150419,29.01,0.26,75.63
20150420,28.46,14.52,78.81
20150421,28.07,9.47,79.67
20150422,26.95,2.49,86.19
20150423,28.38,0.17,79.57
20150424,28.75,1.36,78.71
20150425,27.67,2.68,74.8
20150426,28.9,0.57,66.78
20150427,28.6,0.27,73.73
20150428,28.71,0.11,74.64
20150429,29.69,0.06,70.34
20150430,29.86,0.05,72.93
20150501,29.63,0.03,75.74
20150502,29.15,0.05,76.01
20150503,30.1,0.1,71.64
20150504,29.8,0.68,72.41
20150505,29.59,2.26,72.7
20150506,29.05,2.22,75.48
20150507,29.42,3.35,73.21
20150508,30.17,7.72,70.84
20150509,29.1,9.37,78.99
20150510,29.15,1.69,74.53
20150511,27.6,12.07,77.19
20150512,28.86,10.02,65.77
20150513,28.32,11.12,76.72
20150514,28.32,16.39,80.84
20150515,28.37,13.04,83.71
20150516,28.03,11.12,88.24
20150517,27.83,9.83,89.05
20150518,27.76,12.59,89.31
20150519,27.87,5.24,88.72
20150520,28.16,0.98,84.93
20150521,28.48,0.35,84.23
20150522,28.99,0.05,80.97
20150523,28.24,0.78,81.23
20150524,28.36,0.5,80.27
20150525,28.72,0.1,81.26
20150526,28.76,0.02,81.29
20150527,28.37,0.16,83.75
20150528,27.49,0.16,78.96
20150529,28.7,0.1,77.63
20150530,28.48,6.66,80.18
20150531,27.96,1.38,80.55
20150601,28.02,0.25,78.68
20150602,27.98,23.4,82.29
20150603,28.13,3.15,83.41
20150604,28.3,0.7,82.19
20150605,27.39,0.93,85.0
20150606,28.44,0.04,78.74
20150607,28.56,2.06,81.96
20150608,28.36,1.08,76.22
20150609,28.03,0.19,78.6
20150610,28.4,0.24,80.46
20150611,28.47,0.56,78.26
20150612,27.55,0.23,79.56
20150613,28.23,0.69,77.56
20150614,28.34,0.52,76.87
20150615,28.42,0.32,75.79
20150616,27.76,1.56,74.51
20150617,27.61,0.51,73.84
20150618,27.8,0.73,78.63
20150619,28.2,0.47,79.81
20150620,28.98,0.13,76.56
20150621,28.71,0.35,78.15
20150622,28.86,0.18,77.69
20150623,28.47,0.37,79.39
