,T2M,Rain,Humidity
20150101,17.96,0.07,74.05
20150102,19.06,0.0,76.77
20150103,19.38,0.78,80.2
20150104,18.31,15.61,87.62
20150105,15.8,3.81,84.03
20150106,14.97,0.01,73.96
20150107,15.4,0.0,72.06
20150108,15.07,2.53,76.22
20150109,13.39,3.12,77.23
20150110,14.76,0.07,66.39
20150111,14.57,0.0,69.55
20150112,13.29,0.03,71.37
20150113,14.08,0.0,65.2
20150114,15.21,0.0,62.97
20150115,16.84,0.0,65.83
20150116,17.25,0.16,70.18
20150117,16.4,4.4,80.46
20150118,14.6,2.4,78.7
20150119,14.29,0.07,73.87
20150120,14.92,0.0,70.56
20150121,16.02,0.0,65.17
20150122,16.37,0.0,64.74
20150123,15.54,0.0,69.71
20150124,15.11,0.0,67.22
20150125,15.69,0.0,64.53
20150126,15.84,0.0,57.37
20150127,16.23,0.0,52.06
20150128,16.26,0.0,66.82
20150129,16.84,0.01,70.47
20150130,16.0,0.03,71.35
20150131,14.94,0.0,65.52
20150201,14.48,0.0,55.98
20150202,15.76,0.0,53.96
20150203,16.99,0.0,48.64
20150204,16.41,0.0,52.16
20150205,16.61,0.0,55.68
20150206,16.19,0.0,57.86
20150207,15.52,0.0,49.53
20150208,15.11,0.0,45.74
20150209,15.88,0.0,48.41
20150210,16.88,0.0,59.87
20150211,16.87,0.0,59.2
20150212,16.73,0.01,53.31
20150213,15.41,0.02,50.42
20150214,15.31,0.01,60.17
20150215,16.27,0.01,57.46
20150216,17.42,0.0,51.38
20150217,18.12,0.0,48.36
20150218,17.98,2.82,57.21
20150219,16.99,0.1,64.23
20150220,18.1,0.0,66.25
20150221,18.39,0.82,66.43
20150222,17.79,6.65,72.44
20150223,19.2,0.0,63.97
20150224,19.85,0.0,59.62
20150225,20.19,0.07,60.85
20150226,19.86,1.05,67.42
20150227,20.03,0.74,67.66
20150228,20.84,0.01,65.34
20150301,22.64,0.0,59.69
20150302,22.53,0.0,59.49
20150303,20.59,0.0,59.91
20150304,18.1,1.24,70.43
20150305,17.89,0.16,69.38
20150306,17.92,0.0,45.56
20150307,17.7,0.17,41.17
20150308,19.56,0.0,38.78
20150309,21.21,0.0,38.19
20150310,21.11,0.0,36.18
20150311,20.85,0.0,28.52
20150312,20.83,0.0,25.48
20150313,20.46,0.0,28.75
20150314,20.87,0.0,37.73
20150315,22.57,0.0,48.06
20150316,22.75,0.0,46.03
20150317,21.86,0.0,51.49
20150318,22.22,0.04,51.01
20150319,21.47,0.12,52.34
20150320,21.77,0.0,36.22
20150321,22.82,0.0,29.91
20150322,23.12,0.0,28.68
20150323,23.39,0.0,32.78
20150324,24.47,0.0,38.39
20150325,23.15,7.88,56.97
20150326,22.33,1.77,66.24
20150327,22.13,0.59,64.78
20150328,21.35,6.93,73.09
20150329,22.84,0.42,64.18
20150330,23.46,1.76,64.34
20150331,20.8,1.22,75.38
20150401,21.91,2.91,69.86
20150402,20.78,11.55,75.28
20150403,21.21,19.39,76.8
20150404,22.34,10.0,78.4
20150405,21.37,32.33,80.42
20150406,20.88,27.07,81.15
20150407,22.07,1.38,74.95
20150408,22.04,0.64,76.79
20150409,21.91,2.65,77.13
20150410,21.8,8.32,73.31
20150411,22.13,4.39,69.95
20150412,22.65,0.44,71.37
20150413,21.75,1.87,75.56
20150414,22.62,0.03,70.6
20150415,23.28,0.0,71.6
20150416,23.76,0.27,71.17
20150417,22.27,1.71,74.1
20150418,21.6,16.32,79.86
20150419,22.27,5.21,72.35
20150420,23.15,4.32,73.39
20150421,22.74,13.33,81.46
20150422,22.58,11.29,82.77
20150423,22.92,19.97,82.78
20150424,21.89,2.31,80.94
20150425,20.47,9.12,86.06
20150426,20.8,2.39,79.78
20150427,21.1,1.66,79.18
20150428,21.71,0.93,78.26
20150429,21.65,2.72,81.85
20150430,22.12,3.18,75.61
20150501,21.98,4.73,79.54
20150502,22.63,1.0,79.74
20150503,23.36,0.47,77.94
20150504,24.01,0.54,77.09
20150505,23.83,0.0,72.18
20150506,24.22,1.06,75.16
20150507,23.42,5.53,80.55
20150508,22.44,0.59,75.5
20150509,24.56,0.5,64.36
20150510,24.32,5.95,79.18
20150511,23.3,2.11,81.51
20150512,23.25,0.55,79.9
20150513,24.51,1.85,77.34
20150514,25.25,2.53,75.92
20150515,24.97,3.42,79.1
20150516,23.25,5.76,88.18
20150517,23.4,5.3,83.18
20150518,23.78,1.95,76.71
20150519,25.95,0.02,68.22
20150520,26.22,0.0,74.54
20150521,26.56,1.08,73.78
20150522,25.93,8.48,77.91
20150523,25.97,5.67,73.8
20150524,23.65,6.19,84.7
20150525,25.04,0.53,68.45
20150526,25.81,5.29,73.14
20150527,25.29,4.85,77.02
20150528,24.81,4.2,79.76
20150529,25.33,3.56,77.18
20150530,25.44,4.81,78.87
20150531,25.11,4.37,79.8
20150601,25.14,3.88,80.53
20150602,25.72,2.4,77.06
20150603,25.89,1.76,78.19
20150604,26.45,0.47,74.76
20150605,26.02,4.97,78.94
20150606,25.54,3.54,78.68
20150607,25.84,1.8,77.7
20150608,26.2,1.49,78.41
20150609,25.7,13.95,76.91
20150610,26.27,19.88,76.67
20150611,24.98,13.22,83.98
20150612,23.43,9.22,86.47
20150613,23.86,7.19,83.77
20150614,25.07,2.17,79.63
20150615,24.38,7.42,85.64
20150616,24.26,2.74,82.0
20150617,25.23,1.15,81.92
20150618,24.6,1.0,80.88
20150619,26.27,1.69,77.89
20150620,25.6,3.81,85.16
20150621,25.97,1.7,81.16
20150622,25.93,5.03,79.89
20150623,26.06,4.16,79.54
20150624,26.28,14.96,83.82
20150625,25.68,14.39,86.53
20150626,24.91,33.83,89.74
20150627,24.33,41.61,91.33
20150628,25.09,4.29,80.46
20150629,24.58,2.75,84.29
20150630,25.18,0.63,80.11
20150701,24.68,17.06,85.35
20150702,25.34,5.93,83.15
20150703,25.15,1.6,83.26
20150704,25.52,0.49,82.36
20150705,25.34,1.5,85.36
20150706,24.26,11.79,93.47
20150707,23.52,6.51,93.05
20150708,23.33,15.91,94.17
20150709,24.43,9.65,89.3
20150710,23.4,7.9,93.12
20150711,23.94,7.64,89.09
20150712,24.61,0.67,83.58
20150713,25.23,2.66,86.67
20150714,25.55,5.7,87.63
20150715,25.24,5.43,86.85
20150716,23.42,20.99,94.14
20150717,22.92,33.19,92.97
20150718,23.0,27.05,91.32
20150719,23.35,22.33,90.64
20150720,24.34,18.7,89.2
20150721,24.49,13.6,86.61
20150722,23.78,13.45,90.73
20150723,22.33,13.7,93.93
20150724,22.68,14.44,93.6
20150725,23.54,2.98,87.78
20150726,22.57,5.0,92.88
20150727,22.68,5.89,89.99
20150728,22.64,5.76,92.97
20150729,22.67,2.77,94.03
20150730,22.51,16.76,93.06
20150731,22.35,84.89,94.61
20150801,22.57,8.7,91.53
20150802,24.01,0.11,86.8
20150803,23.59,0.87,86.25
20150804,23.17,10.08,90.59
20150805,24.06,8.28,86.04
20150806,25.01,2.21,84.53
20150807,24.62,2.77,89.16
20150808,24.08,33.86,88.98
20150809,23.83,19.17,90.89
20150810,23.63,8.75,91.93
20150811,24.41,1.62,89.91
20150812,25.32,1.58,86.62
20150813,24.94,10.44,88.78
20150814,24.33,4.86,88.5
20150815,23.61,0.82,91.21
20150816,23.99,1.5,90.15
20150817,23.5,3.21,88.41
20150818,23.97,6.01,88.1
20150819,23.76,5.05,89.02
20150820,24.44,3.33,88.89
20150821,23.86,9.71,91.96
20150822,24.16,8.95,90.93
20150823,23.79,7.55,88.93
20150824,24.0,15.36,90.45
20150825,24.55,1.74,87.88
20150826,24.88,7.11,88.98
20150827,22.95,9.48,94.36
20150828,23.18,2.0,89.88
20150829,23.9,7.98,88.33
20150830,24.47,12.85,89.45
20150831,23.18,10.53,93.35
20150901,23.19,7.52,93.55
20150902,22.92,17.51,95.71
20150903,23.72,19.57,91.59
20150904,23.05,2.03,90.41
20150905,23.47,0.54,86.89
20150906,23.65,2.22,87.13
20150907,23.83,3.45,89.59
20150908,23.82,1.3,88.7
20150909,24.95,1.48,82.6
20150910,24.19,6.7,90.68
20150911,24.73,2.8,87.42
20150912,25.63,0.76,81.96
20150913,24.45,5.18,88.62
20150914,24.04,9.29,89.35
20150915,22.89,1.73,93.21
20150916,23.7,0.04,90.25
20150917,25.1,0.01,83.49
20150918,25.2,0.55,83.78
20150919,23.52,34.84,92.87
20150920,22.82,32.72,91.6
20150921,23.9,3.12,87.26
20150922,23.29,13.94,91.89
20150923,23.06,6.38,92.06
20150924,22.95,6.62,92.5
20150925,22.83,1.88,88.94
20150926,22.67,0.0,85.95
20150927,22.8,0.0,85.18
20150928,23.99,0.0,83.63
20150929,24.73,0.0,84.82
20150930,25.22,0.03,85.06
20151001,23.9,0.66,93.08
20151002,24.12,6.2,86.51
20151003,23.83,4.66,85.68
20151004,23.93,0.39,84.54
20151005,22.98,5.01,89.29
20151006,22.75,2.78,91.2
20151007,23.09,2.3,91.48
20151008,22.07,17.85,92.89
20151009,22.32,17.08,91.88
20151010,22.32,9.32,89.5
20151011,19.0,23.04,91.68
20151012,18.18,6.66,90.51
20151013,18.05,3.53,91.7
20151014,18.94,0.46,90.21
20151015,20.9,4.25,79.75
20151016,21.43,0.18,81.96
20151017,21.52,0.01,87.68
20151018,21.55,0.0,84.45
20151019,21.66,0.0,84.66
20151020,21.74,0.0,83.87
20151021,21.75,0.0,84.81
20151022,21.52,0.97,84.33
20151023,20.97,0.71,84.99
20151024,20.96,0.15,84.75
20151025,20.93,0.0,82.66
20151026,21.37,0.0,85.23
20151027,21.06,0.0,86.19
20151028,21.6,0.0,84.86
20151029,21.09,0.0,85.95
20151030,20.64,0.37,85.37
20151031,19.43,5.47,95.12
20151101,19.13,7.94,88.27
20151102,19.88,0.61,83.71
20151103,20.34,0.87,84.51
20151104,19.44,1.4,87.82
20151105,19.1,0.46,86.51
20151106,19.34,0.0,86.08
20151107,20.03,0.0,83.67
20151108,19.38,0.0,77.54
20151109,19.42,0.0,79.05
20151110,20.2,0.0,84.24
20151111,19.12,0.0,85.78
20151112,18.24,0.0,82.07
20151113,18.95,0.0,83.84
20151114,19.01,0.0,85.38
20151115,18.41,0.0,82.73
20151116,18.55,0.02,82.03
20151117,18.48,0.06,84.53
20151118,18.07,0.17,85.17
20151119,17.96,0.0,78.42
20151120,17.59,0.0,78.85
20151121,17.96,0.0,75.59
20151122,18.38,0.0,73.26
20151123,18.14,0.0,70.32
20151124,17.98,0.0,74.77
20151125,18.13,0.0,76.87
20151126,18.09,0.0,75.4
20151127,17.51,0.0,80.51
20151128,17.88,0.0,76.96
20151129,17.89,0.0,69.76
20151130,17.92,0.0,81.2
20151201,17.91,0.0,83.09
20151202,17.71,0.0,83.31
20151203,17.48,1.49,84.73
20151204,16.03,1.57,86.2
20151205,15.84,0.0,80.99
20151206,16.23,0.0,80.33
20151207,16.94,0.0,78.04
20151208,16.31,0.0,81.77
20151209,15.94,0.0,82.3
20151210,15.67,0.0,83.47
20151211,15.4,0.0,80.2
20151212,15.47,0.12,80.69
20151213,16.28,0.31,77.88
20151214,14.75,0.12,84.94
20151215,13.83,0.0,82.44
20151216,13.57,0.0,79.58
20151217,13.1,0.0,78.51
20151218,11.27,0.01,74.86
20151219,12.34,0.0,72.62
20151220,12.28,0.0,70.78
20151221,11.66,0.0,74.32
20151222,11.75,0.0,71.34
20151223,12.72,0.0,67.86
20151224,13.43,0.0,62.62
20151225,13.45,0.0,68.23
20151226,13.48,0.0,68.05
20151227,14.6,0.0,67.9
20151228,14.91,0.0,73.68
20151229,14.84,0.0,75.21
20151230,15.58,0.0,68.99
20151231,14.82,0.0,67.54
20160101,15.17,0.0,63.63
20160102,15.43,0.0,68.46
20160103,15.32,0.0,71.07
20160104,14.97,0.0,68.69
20160105,15.07,0.0,68.04
20160106,14.82,0.0,69.35
20160107,15.0,0.0,68.92
20160108,14.39,0.0,72.16
20160109,13.89,3.86,69.5
20160110,13.68,0.6,75.95
20160111,14.1,0.0,73.12
20160112,14.29,0.0,71.07
20160113,13.38,0.0,72.55
20160114,12.56,0.0,71.09
20160115,13.07,0.0,71.32
20160116,12.87,0.0,73.17
20160117,13.66,0.0,66.42
20160118,14.0,0.0,62.1
20160119,15.03,0.04,58.65
20160120,15.4,0.86,64.52
20160121,14.74,0.49,78.47
20160122,13.93,0.01,75.25
20160123,12.84,0.0,72.87
20160124,13.35,0.0,68.35
20160125,13.36,0.0,63.84
20160126,12.27,0.02,58.35
20160127,12.29,0.0,53.38
20160128,12.35,0.0,58.45
20160129,13.83,0.0,65.06
20160130,13.65,0.0,70.6
20160131,13.58,0.0,70.2
20160201,14.3,0.01,75.31
20160202,15.18,0.0,73.66
20160203,14.64,0.0,70.43
20160204,15.41,0.0,63.24
20160205,16.08,0.0,59.43
20160206,17.17,0.0,57.73
20160207,17.97,0.0,59.05
20160208,17.87,0.32,59.13
20160209,15.32,0.44,66.89
20160210,15.09,5.65,84.11
20160211,15.56,0.68,73.24
20160212,16.16,0.75,78.04
20160213,17.52,0.15,70.55
20160214,17.7,0.0,60.96
20160215,18.45,0.0,62.27
20160216,18.82,0.0,61.48
20160217,19.48,0.0,57.56
20160218,19.31,0.0,63.09
20160219,20.0,0.0,63.39
20160220,21.0,0.0,63.66
20160221,21.35,1.73,67.65
20160222,21.0,4.0,75.75
20160223,20.56,1.57,67.21
20160224,19.43,4.18,74.74
20160225,18.84,9.59,76.78
20160226,20.03,0.01,65.73
20160227,20.69,0.0,62.55
20160228,19.66,0.0,66.49
20160229,20.13,0.0,58.8
20160301,20.82,0.0,54.21
20160302,20.26,0.0,55.04
20160303,20.83,0.0,56.22
20160304,20.52,0.11,56.54
20160305,21.35,0.0,50.74
20160306,22.56,0.01,50.39
20160307,21.54,0.0,56.44
20160308,21.39,0.66,57.43
20160309,20.9,3.46,67.36
20160310,21.89,0.21,64.46
20160311,21.95,0.68,63.59
20160312,21.69,0.02,65.13
20160313,22.79,1.49,58.52
20160314,21.89,0.05,58.15
20160315,21.25,0.02,56.97
20160316,21.02,0.04,57.83
20160317,21.09,0.0,56.04
20160318,20.79,0.0,45.59
20160319,21.4,1.99,50.31
20160320,22.13,6.18,65.18
20160321,21.43,6.7,69.88
20160322,21.31,3.24,69.37
20160323,21.65,2.78,65.71
20160324,23.45,0.03,53.24
20160325,24.49,0.0,49.8
20160326,23.9,0.0,49.03
20160327,23.8,0.83,55.33
20160328,21.93,1.94,66.7
20160329,20.98,9.11,75.44
20160330,21.71,9.28,76.51
20160331,20.88,8.86,79.07
20160401,20.64,9.61,71.97
20160402,21.31,2.25,69.78
20160403,22.78,3.27,71.85
20160404,23.57,11.57,75.98
20160405,22.22,10.79,84.13
20160406,23.1,5.56,80.32
20160407,24.01,4.32,75.14
20160408,23.77,3.49,73.63
20160409,24.11,0.35,71.17
20160410,24.71,0.15,69.64
20160411,24.59,0.48,70.95
20160412,24.88,1.33,66.03
20160413,24.55,4.01,68.05
20160414,24.22,9.6,70.53
20160415,23.85,8.66,73.83
20160416,23.86,18.79,77.01
20160417,23.8,6.63,75.58
20160418,22.5,7.26,85.12
20160419,24.08,3.18,74.46
20160420,24.13,1.37,71.46
20160421,24.23,2.76,70.1
20160422,24.05,7.11,75.67
20160423,24.1,32.28,80.71
20160424,23.44,35.45,83.35
20160425,23.55,20.06,83.43
20160426,23.35,5.96,83.72
20160427,23.67,2.38,83.05
20160428,23.61,4.81,82.6
20160429,23.62,4.32,80.21
20160430,23.91,3.09,78.17
20160501,23.57,14.64,80.42
20160502,22.17,11.08,80.36
20160503,20.8,9.79,80.84
20160504,21.34,0.83,85.61
20160505,21.87,1.44,80.75
20160506,22.28,0.67,80.2
20160507,22.94,0.09,79.94
20160508,23.5,0.02,78.74
20160509,23.69,0.0,77.53
20160510,23.98,0.0,79.77
20160511,24.19,0.73,80.5
20160512,24.46,1.79,76.95
20160513,23.15,12.2,83.34
20160514,23.7,4.62,82.89
20160515,24.94,6.52,78.76
20160516,24.1,24.54,82.9
20160517,23.42,44.63,84.54
20160518,23.05,34.4,88.27
20160519,22.07,6.44,88.98
20160520,22.45,5.88,87.56
20160521,22.08,80.42,94.94
20160522,23.02,8.33,89.94
20160523,23.99,1.79,87.65
20160524,24.24,11.2,85.46
20160525,24.5,7.26,84.29
20160526,24.16,1.82,83.12
20160527,24.16,1.64,82.16
20160528,24.97,3.39,80.8
20160529,24.59,3.37,85.66
20160530,24.11,1.16,82.63
20160531,23.51,2.29,85.88
20160601,23.86,2.05,82.2
20160602,24.66,0.01,80.07
20160603,25.77,0.11,79.32
20160604,24.89,4.89,86.78
20160605,24.71,3.77,85.26
20160606,23.99,10.93,87.81
20160607,23.76,7.62,86.42
20160608,22.55,23.38,91.21
20160609,22.75,10.03,88.33
20160610,22.36,5.94,94.28
20160611,23.27,4.99,94.2
20160612,23.07,2.32,91.27
20160613,23.66,3.21,87.28
20160614,23.66,0.93,85.52
20160615,24.63,1.24,83.54
20160616,25.06,5.3,87.16
20160617,24.65,12.39,89.09
20160618,24.81,10.67,87.4
20160619,23.77,5.8,88.03
20160620,24.48,1.33,85.7
20160621,24.52,2.55,86.88
20160622,24.11,4.14,89.5
20160623,24.41,5.44,87.49
20160624,25.33,0.42,83.61
20160625,24.55,21.89,90.15
20160626,25.89,10.29,85.46
20160627,26.23,3.56,82.56
20160628,27.09,6.16,78.3
20160629,25.37,1.84,86.87
20160630,25.11,0.11,83.15
20160701,24.77,11.55,86.19
20160702,25.08,22.82,87.15
20160703,24.45,11.09,91.23
20160704,24.27,6.84,87.13
20160705,23.95,7.42,90.16
20160706,25.37,4.05,83.2
20160707,24.85,9.3,88.81
20160708,24.82,5.18,90.67
20160709,24.62,7.44,89.84
20160710,24.72,7.58,88.65
20160711,24.53,13.4,91.25
20160712,24.68,24.79,89.7
20160713,25.36,8.95,86.37
20160714,24.39,7.16,89.93
20160715,24.05,18.38,91.0
20160716,23.81,25.15,93.2
20160717,23.46,4.2,87.63
20160718,22.81,2.2,88.1
20160719,23.51,2.47,86.94
20160720,24.4,0.99,85.04
20160721,24.57,3.14,86.8
20160722,24.06,9.84,88.07
20160723,23.8,8.1,90.12
20160724,23.3,10.23,87.41
20160725,22.55,17.88,90.42
20160726,23.85,3.18,85.11
20160727,22.63,16.87,93.29
20160728,23.04,3.65,92.49
20160729,25.07,4.12,84.28
20160730,24.56,2.42,87.53
20160731,23.64,2.89,87.52
20160801,23.59,0.59,88.57
20160802,24.57,0.02,84.51
20160803,25.57,0.09,81.77
20160804,25.3,1.99,84.77
20160805,24.6,4.32,87.16
20160806,24.18,7.62,90.6
20160807,24.32,3.48,89.66
20160808,24.78,5.18,88.51
20160809,24.3,8.21,89.73
20160810,23.96,4.4,91.31
20160811,24.65,2.13,87.0
20160812,24.73,0.81,87.25
20160813,24.21,6.29,89.52
20160814,24.54,2.96,89.18
20160815,25.24,4.55,89.73
20160816,24.22,2.52,89.51
20160817,24.47,2.76,86.49
20160818,24.67,1.34,87.59
20160819,24.61,0.71,86.53
20160820,24.56,7.32,91.12
20160821,24.02,8.99,86.23
20160822,24.36,0.21,82.78
