,T2M,Rain,Humidity
20150101,25.67,1.02,80.39
20150102,25.72,0.0,69.77
20150103,26.01,0.0,67.46
20150104,26.15,0.0,73.52
20150105,26.92,0.0,72.51
20150106,26.74,0.0,72.23
20150107,26.68,0.0,74.16
20150108,26.8,0.0,74.62
20150109,26.66,0.0,74.58
20150110,26.7,0.0,68.12
20150111,25.4,0.0,55.26
20150112,25.1,0.0,58.39
20150113,24.84,0.0,59.09
20150114,24.88,0.0,63.28
20150115,25.3,0.0,65.58
20150116,26.22,0.0,64.11
20150117,26.65,0.0,67.91
20150118,27.19,0.0,65.28
20150119,26.91,0.0,63.51
20150120,26.4,0.0,66.18
20150121,26.12,0.18,64.64
20150122,26.11,0.62,57.97
20150123,26.66,0.0,63.96
20150124,27.45,0.03,65.79
20150125,27.61,0.01,64.12
20150126,27.03,0.01,55.62
20150127,27.12,0.0,59.7
20150128,27.94,0.0,61.22
20150129,28.08,0.0,62.36
20150130,28.24,0.0,61.64
20150131,28.5,0.0,55.6
20150201,27.86,0.0,56.21
20150202,27.8,0.0,51.84
20150203,27.39,0.0,52.44
20150204,28.11,0.0,52.22
20150205,28.53,0.0,54.38
20150206,28.55,0.05,51.8
20150207,28.18,0.35,56.35
20150208,27.91,0.01,53.89
20150209,28.39,0.0,51.01
20150210,28.22,0.0,49.69
20150211,28.87,0.0,53.93
20150212,29.33,0.12,56.96
20150213,29.16,0.57,61.24
20150214,29.25,0.01,60.51
20150215,29.31,0.0,59.86
20150216,29.29,0.0,53.02
20150217,28.44,0.0,62.3
20150218,28.37,0.0,62.02
20150219,28.72,0.0,62.49
20150220,29.18,0.0,50.05
20150221,28.31,0.0,43.72
20150222,28.56,0.0,40.42
20150223,28.44,0.0,42.35
20150224,28.58,0.0,43.32
20150225,29.02,0.0,53.95
20150226,28.84,0.0,62.88
20150227,28.81,0.03,65.74
20150228,28.72,0.11,65.45
20150301,29.06,0.19,64.75
20150302,28.78,1.29,67.0
20150303,29.15,1.5,66.77
20150304,29.05,0.66,66.48
20150305,29.91,0.12,62.63
20150306,29.23,5.06,68.34
20150307,28.76,2.96,72.41
20150308,28.74,4.26,68.79
20150309,28.27,3.52,71.23
20150310,28.82,0.42,64.41
20150311,29.08,0.05,55.38
20150312,29.71,0.08,57.94
20150313,30.11,0.63,58.22
20150314,29.96,1.7,57.15
20150315,29.42,6.22,65.63
20150316,28.23,7.48,74.38
20150317,28.57,1.48,71.28
20150318,28.93,0.0,70.67
20150319,28.51,0.0,70.79
20150320,29.62,0.0,61.08
20150321,29.96,0.0,56.79
20150322,30.38,0.0,57.47
20150323,30.64,0.0,64.56
20150324,30.69,0.0,64.41
20150325,30.36,0.0,64.37
20150326,30.77,0.0,58.19
20150327,30.24,0.07,55.42
20150328,30.57,0.21,56.44
20150329,30.52,0.23,62.77
20150330,30.43,0.31,63.77
20150331,29.26,2.54,69.59
20150401,29.06,3.42,72.21
20150402,28.92,2.14,72.87
20150403,29.47,0.61,70.99
20150404,30.22,0.67,68.17
20150405,29.64,0.19,70.5
20150406,29.26,3.59,72.66
20150407,29.49,6.84,73.3
20150408,28.44,5.5,77.67
20150409,28.88,6.81,73.88
20150410,28.06,11.25,81.46
20150411,27.8,1.95,80.32
20150412,28.31,2.06,74.12
20150413,28.02,4.3,75.35
20150414,27.69,6.69,76.21
20150415,27.59,9.79,78.0
20150416,27.91,3.78,78.55
20150417,27.9,3.76,77.47
20150418,28.69,1.26,72.23
20150419,28.8,1.55,73.65
20150420,29.67,1.45,71.29
20150421,29.15,17.27,74.55
20150422,27.59,13.81,83.49
20150423,27.53,2.73,84.72
20150424,28.32,4.55,81.68
20150425,27.72,9.83,73.64
20150426,28.65,2.67,67.95
20150427,29.31,1.42,71.04
20150428,29.07,0.26,74.72
20150429,28.78,1.95,78.14
20150430,27.93,2.08,82.94
20150501,28.56,0.8,77.23
20150502,28.25,0.8,78.06
20150503,28.76,0.35,74.38
20150504,28.33,2.58,80.32
20150505,28.24,2.02,80.82
20150506,28.05,1.69,81.1
20150507,28.15,10.21,81.97
20150508,27.93,6.95,85.5
20150509,27.87,6.82,86.2
20150510,28.43,4.6,81.53
20150511,28.85,7.06,74.43
20150512,28.06,16.8,79.41
20150513,28.35,14.69,77.79
20150514,28.17,4.4,78.43
20150515,28.09,22.3,86.24
20150516,27.05,9.72,88.89
20150517,26.59,18.11,89.69
20150518,27.34,19.05,83.01
20150519,27.56,5.64,84.96
20150520,27.94,2.97,84.9
20150521,28.32,0.48,84.8
20150522,28.51,0.47,83.05
20150523,27.53,6.37,87.78
20150524,27.49,1.76,82.48
20150525,28.15,0.31,83.51
20150526,28.05,0.62,84.73
20150527,28.19,4.45,84.22
20150528,26.79,4.47,77.62
20150529,27.62,1.59,84.1
20150530,28.42,8.48,81.92
20150531,27.82,12.55,86.99
20150601,26.89,6.21,86.02
20150602,27.08,5.45,84.73
20150603,26.73,2.12,87.11
20150604,26.75,4.41,86.44
20150605,26.39,4.18,87.54
20150606,27.54,2.02,82.98
20150607,27.65,12.95,87.31
20150608,26.17,7.21,86.14
20150609,26.35,2.46,84.87
20150610,26.72,4.19,84.03
20150611,26.65,20.68,86.89
20150612,25.91,13.36,86.5
20150613,26.33,9.66,86.96
20150614,26.71,3.63,83.64
20150615,26.61,13.49,83.98
20150616,26.97,9.43,81.55
20150617,26.24,13.78,84.25
20150618,26.93,16.03,86.0
20150619,26.95,13.91,91.11
20150620,27.34,8.86,89.67
20150621,26.96,18.56,92.17
20150622,27.12,6.15,90.58
20150623,27.1,13.86,89.55
20150624,27.17,6.94,88.93
20150625,27.1,17.67,91.31
20150626,26.79,40.94,87.21
20150627,26.87,15.48,90.01
20150628,26.97,12.88,90.22
20150629,26.71,24.89,91.41
20150630,26.46,4.34,89.4
20150701,26.67,2.49,89.57
20150702,26.71,1.68,87.9
20150703,26.65,2.3,89.96
20150704,26.7,6.39,90.49
20150705,26.63,3.53,88.99
20150706,26.47,0.75,87.22
20150707,26.16,1.65,87.86
20150708,26.36,5.65,87.95
20150709,26.52,7.86,88.99
20150710,26.55,10.89,90.78
20150711,26.67,9.65,92.06
20150712,26.65,1.13,90.25
20150713,26.61,2.61,88.45
20150714,26.54,6.69,91.12
20150715,26.25,11.68,91.99
20150716,26.34,15.1,91.01
20150717,25.83,22.15,90.0
20150718,25.88,20.92,91.19
20150719,25.37,14.78,89.09
20150720,25.8,17.03,89.9
20150721,25.99,6.17,91.6
20150722,25.67,7.81,93.28
20150723,25.65,9.96,90.78
20150724,25.35,3.69,88.57
20150725,25.02,2.27,88.09
20150726,25.2,1.73,85.77
20150727,25.86,0.46,85.61
20150728,25.78,0.48,87.87
20150729,25.85,0.69,89.24
20150730,25.84,0.16,88.03
20150731,26.19,0.21,87.39
20150801,26.25,0.93,88.67
20150802,25.1,4.01,90.54
20150803,25.59,7.49,91.7
20150804,25.79,7.45,91.22
20150805,25.77,6.43,91.07
20150806,25.84,3.5,89.57
20150807,25.65,3.91,92.12
20150808,26.28,13.6,90.23
20150809,26.17,5.27,91.07
20150810,25.73,12.82,92.93
20150811,26.07,2.98,91.26
20150812,26.17,7.89,91.09
20150813,25.92,6.78,92.46
20150814,26.15,4.1,90.8
20150815,25.96,1.82,90.95
20150816,25.8,15.88,92.42
20150817,26.17,4.57,90.89
20150818,26.49,6.79,90.62
20150819,26.24,4.57,88.36
20150820,26.32,1.54,89.49
