,T2M,Rain,Humidity
20150101,12.55,6.99,77.36
20150102,13.41,5.2,88.87
20150103,15.86,1.16,82.35
20150104,14.18,0.01,74.82
20150105,13.37,0.0,57.73
20150106,14.66,0.0,51.85
20150107,15.02,0.0,56.02
20150108,14.0,0.0,52.4
20150109,14.33,0.0,42.67
20150110,15.15,0.0,40.49
20150111,15.54,0.0,43.35
20150112,14.32,0.0,46.93
20150113,13.36,0.0,47.41
20150114,14.87,0.22,52.9
20150115,13.08,0.02,61.24
20150116,12.79,0.0,56.53
20150117,13.06,0.0,47.34
20150118,13.33,0.0,46.04
20150119,12.68,0.0,49.67
20150120,12.76,0.0,48.94
20150121,14.98,0.35,57.05
20150122,16.52,10.78,75.81
20150123,15.32,3.01,80.37
20150124,15.45,0.03,71.35
20150125,12.46,3.85,77.19
20150126,13.99,2.85,89.28
20150127,15.2,0.54,80.79
20150128,14.19,0.0,59.74
20150129,12.65,0.76,53.97
20150130,12.48,0.18,43.26
20150131,14.6,0.0,38.06
20150201,15.63,0.0,45.07
20150202,17.52,0.0,51.22
20150203,18.39,0.0,56.53
20150204,16.21,0.13,57.84
20150205,15.38,0.0,46.84
20150206,16.45,0.0,48.78
20150207,18.25,1.89,58.79
20150208,17.82,8.76,72.23
20150209,17.77,0.06,66.74
20150210,17.54,0.0,50.2
20150211,17.93,0.19,56.5
20150212,17.85,0.41,64.29
20150213,17.9,0.0,41.97
20150214,20.02,0.0,44.65
20150215,20.19,0.0,47.32
20150216,20.68,0.0,41.6
20150217,20.78,0.0,46.4
20150218,20.79,0.0,46.2
20150219,22.28,0.0,44.32
20150220,23.75,0.03,38.8
20150221,23.44,0.0,39.24
20150222,22.79,0.0,39.5
20150223,24.52,0.0,32.67
20150224,24.05,0.0,36.55
20150225,24.75,0.0,37.14
20150226,21.57,0.0,31.96
20150227,20.38,0.02,30.1
20150228,20.24,2.56,41.59
20150301,17.95,14.7,81.75
20150302,18.94,5.53,72.49
20150303,19.08,0.01,58.83
20150304,18.18,0.0,53.12
20150305,19.31,0.0,44.82
20150306,20.48,0.0,46.41
20150307,21.16,0.0,48.48
20150308,23.56,0.27,44.83
20150309,20.83,0.02,47.79
20150310,18.76,0.0,36.4
20150311,21.53,0.15,35.8
20150312,21.99,1.63,50.13
20150313,23.7,0.3,54.58
20150314,21.42,14.9,71.04
20150315,20.76,24.22,78.45
20150316,22.1,1.05,71.23
20150317,21.7,0.0,62.78
20150318,20.72,0.0,53.07
20150319,21.33,0.0,43.63
20150320,23.6,0.0,39.15
20150321,24.97,0.0,43.35
20150322,26.32,0.0,45.96
20150323,26.43,0.0,46.76
20150324,26.85,0.0,40.99
20150325,27.04,0.0,36.58
20150326,27.82,0.0,37.32
20150327,28.0,0.0,42.1
20150328,28.37,0.0,39.62
20150329,26.78,0.03,47.95
20150330,25.87,8.34,58.31
20150331,25.36,0.01,49.4
20150401,26.86,0.0,43.11
20150402,27.77,0.0,40.74
20150403,28.64,0.05,41.54
20150404,27.04,0.09,45.66
20150405,26.23,0.28,47.62
20150406,26.72,3.09,44.06
20150407,25.45,0.26,44.38
20150408,26.33,0.03,39.48
20150409,27.74,0.0,34.34
20150410,29.25,0.0,28.99
20150411,30.53,1.85,31.14
20150412,26.73,4.08,51.04
20150413,23.28,1.08,67.15
20150414,23.8,2.44,64.97
20150415,25.05,0.11,60.23
20150416,27.38,0.0,51.67
20150417,29.76,0.0,39.79
20150418,32.24,0.0,32.66
20150419,33.47,0.0,29.14
20150420,33.96,0.0,25.37
20150421,33.21,0.0,21.91
20150422,32.18,0.0,24.44
20150423,32.65,0.0,20.36
20150424,32.97,0.0,19.45
20150425,33.36,0.0,19.35
