,T2M,Rain,Humidity
20150101,19.74,0.0,63.48
20150102,20.02,0.0,72.95
20150103,20.57,0.16,74.92
20150104,19.53,3.65,82.43
20150105,19.15,0.83,80.19
20150106,18.11,0.02,75.49
20150107,17.65,0.0,71.94
20150108,20.44,0.07,59.99
20150109,18.92,0.11,71.74
20150110,16.91,0.05,81.59
20150111,15.54,0.0,77.58
20150112,15.49,0.0,76.37
20150113,15.79,0.0,72.21
20150114,16.41,0.0,67.43
20150115,17.7,0.0,67.97
20150116,18.2,0.0,68.29
20150117,18.86,0.08,63.38
20150118,18.43,0.23,69.57
20150119,16.8,0.12,77.28
20150120,17.53,0.0,69.59
20150121,17.84,0.0,69.35
20150122,17.81,0.0,69.08
20150123,17.86,0.13,71.54
20150124,18.47,0.22,76.44
20150125,18.55,0.0,72.61
20150126,18.6,0.0,74.08
20150127,18.47,0.0,73.31
20150128,20.22,0.0,69.43
20150129,19.92,0.44,71.37
20150130,19.88,1.57,71.04
20150131,17.5,0.84,74.01
20150201,17.06,0.01,63.05
20150202,17.68,0.0,55.2
20150203,19.36,0.0,55.05
20150204,19.3,0.0,61.61
20150205,19.67,0.0,63.05
20150206,18.45,0.0,66.3
20150207,18.19,0.0,67.29
20150208,19.17,0.0,64.16
20150209,20.01,0.0,61.18
20150210,19.7,0.0,67.5
20150211,20.08,0.0,64.51
20150212,19.39,2.8,68.8
20150213,18.02,11.77,78.47
20150214,17.92,1.29,73.88
20150215,19.34,0.0,62.72
20150216,19.83,0.0,65.76
20150217,19.63,0.0,62.64
20150218,21.53,0.16,57.62
20150219,20.49,0.24,64.31
20150220,19.98,1.55,70.09
20150221,19.87,0.13,70.37
20150222,18.1,1.06,84.38
20150223,20.24,0.0,70.27
20150224,22.77,0.0,66.39
20150225,22.96,3.05,69.61
20150226,22.27,14.54,76.94
20150227,22.79,6.52,75.97
20150228,24.06,0.09,67.46
20150301,23.95,0.0,71.24
20150302,23.93,0.4,70.61
20150303,24.38,6.08,64.76
20150304,22.67,5.23,68.57
20150305,21.0,5.26,68.12
