,T2M,Rain,Humidity
20150101,25.6,3.02,82.7
20150102,25.75,0.06,79.47
20150103,25.35,0.0,77.51
20150104,25.55,0.0,77.59
20150105,25.13,0.0,76.68
20150106,24.88,0.0,75.65
20150107,24.36,0.0,74.83
20150108,24.61,0.0,76.15
20150109,24.17,0.0,77.1
20150110,23.16,0.0,68.85
20150111,21.97,0.0,71.12
20150112,22.11,0.0,69.38
20150113,22.25,0.0,70.01
20150114,22.6,0.0,66.31
20150115,22.67,0.0,68.58
20150116,24.18,0.31,75.41
20150117,24.52,0.22,74.36
20150118,23.92,0.0,72.12
20150119,23.49,0.0,70.31
20150120,23.35,0.0,71.18
20150121,23.01,0.0,71.15
20150122,23.67,0.01,74.28
20150123,24.94,2.84,76.56
20150124,25.06,0.31,75.21
20150125,24.55,0.02,66.5
20150126,23.86,0.0,71.99
20150127,24.44,0.0,72.83
20150128,25.1,0.0,72.0
20150129,25.57,0.0,69.21
20150130,25.52,0.0,67.48
20150131,24.82,0.0,66.61
20150201,24.66,0.0,70.61
20150202,24.16,0.0,68.99
20150203,24.59,0.01,68.42
20150204,24.3,0.14,70.69
20150205,25.31,0.05,66.22
20150206,24.78,0.0,69.25
20150207,24.88,0.0,65.07
20150208,25.13,0.0,63.94
20150209,24.88,0.0,65.74
20150210,24.36,0.0,70.53
20150211,25.87,0.0,70.4
20150212,26.69,0.0,67.2
20150213,27.17,0.0,62.94
20150214,26.62,0.0,61.98
20150215,26.06,0.0,60.81
20150216,25.94,0.0,61.39
20150217,25.81,0.0,58.77
20150218,25.61,0.0,56.87
20150219,25.82,0.0,56.78
20150220,25.31,0.0,61.32
20150221,25.77,0.0,61.92
20150222,25.83,0.0,61.06
20150223,25.74,0.0,57.61
20150224,26.03,0.0,57.32
20150225,27.51,0.0,61.14
20150226,28.67,0.28,61.32
20150227,29.33,0.26,60.32
20150228,29.09,0.04,62.24
20150301,29.1,0.01,61.34
20150302,29.52,0.03,61.08
20150303,29.56,0.14,57.43
20150304,29.81,0.09,52.64
20150305,29.68,0.14,61.52
20150306,30.12,0.22,57.94
20150307,29.59,0.88,58.06
20150308,28.8,0.0,58.98
20150309,28.74,0.0,60.06
20150310,27.95,0.0,56.7
20150311,27.58,0.0,60.41
20150312,28.67,0.0,59.9
20150313,28.88,0.01,58.41
20150314,28.5,1.35,61.03
20150315,28.36,1.0,64.98
20150316,29.1,0.81,59.29
20150317,28.6,0.48,55.35
20150318,28.83,0.0,49.27
20150319,29.18,0.0,47.6
20150320,28.77,0.0,58.43
20150321,29.08,0.0,53.83
20150322,29.79,0.0,53.12
20150323,30.46,0.0,50.99
20150324,30.46,0.0,53.86
20150325,29.91,0.0,54.53
20150326,29.43,0.0,56.14
20150327,29.74,0.0,55.53
20150328,29.74,0.02,58.44
20150329,30.51,0.04,55.83
20150330,30.84,0.01,55.3
20150331,30.36,0.14,59.26
20150401,31.21,1.44,55.27
20150402,31.56,0.39,55.49
20150403,32.81,0.77,51.07
20150404,32.52,0.48,53.33
