,T2M,Rain,Humidity
20150101,23.21,0.43,83.01
20150102,23.89,0.09,84.5
20150103,23.94,0.0,83.2
20150104,23.77,0.0,81.52
20150105,23.01,0.0,80.62
20150106,22.41,0.0,80.39
20150107,22.36,0.0,75.19
20150108,22.28,0.0,78.62
20150109,21.72,0.0,76.71
20150110,19.87,0.0,66.3
20150111,19.96,0.0,74.7
20150112,20.13,0.0,71.55
20150113,20.01,0.0,69.08
20150114,20.37,0.0,72.22
20150115,20.85,0.0,77.64
20150116,21.79,0.0,78.25
20150117,21.67,0.0,74.41
20150118,21.58,0.0,70.44
20150119,21.2,0.0,72.73
20150120,21.09,0.0,76.58
20150121,20.46,0.0,74.78
20150122,21.33,0.01,78.49
20150123,22.41,0.15,78.51
20150124,22.18,0.37,77.06
20150125,21.01,0.3,73.24
20150126,21.18,0.0,73.9
20150127,22.19,0.0,74.15
20150128,22.24,0.0,75.37
20150129,22.99,0.0,74.65
20150130,22.95,0.0,73.47
20150131,22.61,0.0,74.43
20150201,22.56,0.0,74.98
20150202,22.62,0.0,75.05
20150203,22.08,0.0,73.54
20150204,22.07,0.0,72.07
20150205,22.22,0.0,70.89
20150206,22.52,0.0,68.54
20150207,22.49,0.0,66.41
20150208,23.04,0.0,63.9
20150209,22.21,0.0,66.73
20150210,21.57,0.0,71.92
20150211,23.33,0.0,72.71
20150212,23.83,0.0,68.32
20150213,23.76,0.0,60.59
20150214,24.57,0.0,60.26
20150215,24.68,0.0,61.41
20150216,24.44,0.0,63.98
20150217,24.44,0.0,62.28
20150218,24.29,0.0,60.64
20150219,24.32,0.0,61.05
20150220,24.06,0.0,64.24
20150221,24.63,0.0,62.17
20150222,24.48,0.0,60.28
20150223,24.35,0.0,59.72
20150224,23.95,0.0,55.86
20150225,24.36,0.0,55.79
20150226,25.69,0.0,62.3
20150227,27.18,0.0,62.28
20150228,26.28,1.24,69.0
20150301,25.93,1.65,68.95
20150302,26.84,2.47,68.27
20150303,24.17,6.44,82.6
20150304,26.66,4.37,69.77
20150305,27.41,0.0,68.02
20150306,27.41,0.01,67.3
20150307,27.15,0.0,65.91
20150308,26.79,0.0,65.2
20150309,26.65,0.0,66.77
20150310,25.76,0.0,62.17
20150311,25.3,0.0,66.51
20150312,26.45,0.0,67.62
20150313,26.91,0.0,63.96
20150314,26.78,0.0,60.62
20150315,27.17,0.0,62.26
20150316,26.68,0.0,60.03
20150317,26.97,0.0,53.84
20150318,27.8,0.0,42.93
20150319,27.74,0.0,50.37
20150320,27.22,0.0,57.88
20150321,27.88,0.0,52.42
20150322,29.01,0.0,48.85
20150323,29.95,0.0,46.09
20150324,29.84,0.0,50.6
20150325,28.93,0.0,58.32
20150326,28.85,0.0,56.04
20150327,28.36,0.0,56.27
20150328,28.12,0.0,58.03
20150329,28.61,0.0,57.95
20150330,28.89,0.0,57.69
20150331,29.43,0.0,59.29
20150401,30.1,0.01,55.97
20150402,31.16,0.0,51.65
20150403,32.03,0.0,51.33
20150404,31.96,0.0,52.31
20150405,32.1,0.0,49.02
20150406,31.12,0.0,53.1
20150407,30.8,0.0,56.01
20150408,30.46,0.0,58.75
20150409,30.29,0.0,58.73
20150410,30.36,0.0,54.81
20150411,30.43,0.02,52.67
20150412,28.57,2.09,60.37
20150413,24.24,16.73,66.98
20150414,24.53,4.31,68.79
20150415,25.26,20.23,80.92
20150416,26.86,8.96,73.54
20150417,27.3,1.31,70.38
20150418,28.23,0.24,66.91
20150419,28.77,0.0,65.04
20150420,28.85,0.0,65.39
20150421,28.65,0.0,66.61
20150422,30.05,0.0,61.64
20150423,31.41,0.2,57.13
20150424,29.49,8.8,66.38
20150425,29.13,2.32,64.75
20150426,28.91,0.05,64.27
20150427,28.94,0.01,65.24
20150428,29.74,0.0,61.87
20150429,30.2,0.41,63.59
20150430,30.83,1.28,60.46
20150501,30.69,0.01,58.31
20150502,31.07,1.7,57.85
20150503,30.05,1.27,63.64
20150504,29.0,0.0,69.18
20150505,29.65,0.0,62.27
20150506,29.75,1.57,62.96
20150507,29.97,1.52,64.58
20150508,30.63,0.53,60.09
20150509,31.04,0.0,57.41
20150510,31.33,0.01,50.03
20150511,30.0,0.09,41.94
20150512,30.16,0.01,45.81
20150513,27.97,0.69,59.84
20150514,25.55,3.03,73.7
