,T2M,Rain,Humidity
20150101,26.45,3.02,74.7
20150102,26.39,0.04,66.24
20150103,25.88,0.0,64.27
20150104,26.1,0.0,66.09
20150105,25.5,0.0,67.47
20150106,25.27,0.0,69.15
20150107,24.9,0.0,66.51
20150108,24.96,0.0,67.86
20150109,24.91,0.0,69.17
20150110,23.86,0.0,61.47
20150111,22.12,0.0,58.53
20150112,22.1,0.0,59.86
20150113,22.0,0.0,60.47
20150114,22.34,0.0,61.45
20150115,22.5,0.0,61.1
20150116,23.87,0.0,67.68
20150117,24.71,0.01,66.89
20150118,24.59,0.0,64.7
20150119,24.35,0.0,62.11
20150120,23.89,0.0,63.66
20150121,23.53,0.01,63.59
20150122,23.88,0.05,59.44
20150123,25.1,0.76,69.51
20150124,25.58,0.19,67.77
20150125,25.68,0.0,56.94
20150126,24.31,0.0,60.93
20150127,24.97,0.0,64.17
20150128,25.67,0.0,63.74
20150129,25.96,0.0,61.91
20150130,25.81,0.0,61.97
20150131,25.67,0.0,55.49
20150201,25.18,0.0,59.42
20150202,24.89,0.0,58.76
20150203,24.65,0.0,60.76
20150204,25.14,0.0,59.51
20150205,25.94,0.0,56.02
20150206,25.64,0.0,56.36
20150207,25.6,0.02,53.45
20150208,25.55,0.0,51.23
20150209,25.4,0.0,53.88
20150210,25.02,0.0,60.05
20150211,26.98,0.0,56.94
20150212,27.4,0.01,56.07
20150213,27.56,0.01,53.34
20150214,27.36,0.0,48.91
20150215,27.21,0.0,44.65
20150216,26.53,0.0,46.7
20150217,26.29,0.0,42.78
20150218,26.12,0.0,37.62
20150219,26.51,0.0,39.78
20150220,25.96,0.0,45.4
20150221,25.87,0.0,48.15
20150222,26.36,0.0,44.48
20150223,25.83,0.0,44.38
20150224,26.11,0.0,40.8
20150225,27.64,0.0,43.74
20150226,29.3,0.01,52.79
20150227,30.16,0.03,49.95
20150228,29.99,0.08,51.85
20150301,29.77,0.05,53.38
20150302,30.34,0.16,52.43
20150303,29.27,0.52,58.29
20150304,27.95,0.32,54.19
20150305,30.37,0.14,47.03
20150306,30.61,1.7,49.29
20150307,29.41,3.06,55.4
20150308,29.33,0.44,49.59
20150309,28.73,0.02,51.25
20150310,28.43,0.0,47.41
20150311,27.89,0.0,50.74
20150312,28.94,0.0,52.35
20150313,29.15,0.0,51.67
20150314,28.77,1.21,53.84
20150315,28.93,1.28,58.22
20150316,28.45,2.73,59.3
20150317,27.94,0.7,49.84
20150318,28.72,0.0,38.21
20150319,28.39,0.0,35.86
20150320,28.63,0.0,41.88
20150321,28.87,0.0,45.81
20150322,29.32,0.0,36.04
20150323,30.59,0.0,36.99
20150324,31.63,0.0,40.59
20150325,30.4,0.0,42.7
20150326,29.64,0.0,41.95
20150327,29.59,0.0,41.46
20150328,29.4,0.0,43.37
20150329,30.77,0.01,46.03
20150330,31.22,0.0,44.38
20150331,30.45,0.1,48.32
20150401,31.12,3.29,52.02
20150402,31.44,0.51,52.51
20150403,31.86,1.24,51.99
20150404,32.31,0.62,52.34
20150405,32.89,0.0,46.26
20150406,33.23,0.06,44.43
20150407,32.43,0.22,47.16
20150408,30.0,0.19,50.22
20150409,30.64,0.33,39.71
20150410,30.48,1.93,52.45
20150411,30.93,2.47,51.15
20150412,29.42,4.27,59.11
20150413,26.11,8.66,75.15
20150414,27.24,3.33,70.19
20150415,26.71,12.94,76.97
20150416,26.73,14.69,77.25
20150417,27.53,12.35,71.76
20150418,28.77,5.03,66.79
20150419,29.52,0.02,63.69
20150420,29.95,0.03,60.41
20150421,28.87,1.19,64.46
20150422,28.97,1.19,65.35
20150423,28.6,5.96,67.64
20150424,28.46,14.48,72.81
20150425,27.0,13.17,74.48
20150426,28.68,4.01,62.59
20150427,28.79,0.87,64.43
20150428,29.54,0.01,61.4
20150429,30.4,0.53,60.11
20150430,29.85,0.73,64.49
20150501,30.28,0.28,61.12
20150502,29.62,0.29,62.93
20150503,28.97,0.09,65.4
20150504,28.89,2.67,67.58
20150505,29.32,1.01,65.05
20150506,28.52,2.24,70.34
20150507,28.59,9.6,72.1
20150508,28.41,6.62,74.72
20150509,27.94,3.49,75.48
20150510,28.78,1.58,67.22
20150511,27.45,4.08,66.19
20150512,27.9,11.62,62.65
20150513,26.47,19.68,77.53
20150514,27.64,9.42,72.58
20150515,26.68,24.45,84.27
20150516,26.57,7.55,84.38
20150517,25.8,5.76,85.51
20150518,27.59,1.54,74.18
20150519,28.29,0.42,71.93
20150520,28.9,0.06,70.36
20150521,29.02,0.0,67.75
20150522,29.41,0.0,66.21
20150523,28.7,0.16,69.07
20150524,28.64,0.1,66.88
20150525,29.89,0.01,65.33
20150526,29.29,0.01,67.37
20150527,27.6,10.38,74.45
20150528,26.96,2.48,64.13
20150529,28.49,2.52,68.41
20150530,29.24,3.67,70.33
20150531,29.02,4.66,70.87
20150601,27.78,3.35,73.11
