,T2M,Rain,Humidity
20150101,23.44,2.12,84.11
20150102,24.61,0.15,78.77
20150103,24.64,0.0,74.34
20150104,24.63,0.0,74.08
20150105,24.1,0.0,72.06
20150106,23.55,0.0,71.17
20150107,23.51,0.0,68.57
20150108,23.8,0.0,69.7
20150109,22.9,0.0,71.5
20150110,21.19,0.0,60.1
20150111,20.05,0.0,68.33
20150112,20.25,0.0,66.89
20150113,20.27,0.0,64.78
20150114,20.41,0.0,65.01
20150115,21.27,0.0,67.99
20150116,22.91,0.02,70.95
20150117,22.84,0.02,67.2
20150118,22.28,0.0,66.44
20150119,21.85,0.0,68.03
20150120,21.91,0.0,69.92
20150121,21.57,0.0,67.22
20150122,22.14,0.01,70.11
20150123,23.16,1.01,73.98
20150124,23.32,0.67,72.71
20150125,22.37,0.01,63.16
20150126,22.06,0.0,69.42
20150127,22.71,0.0,71.14
20150128,23.3,0.0,68.63
20150129,23.82,0.0,68.45
20150130,23.69,0.0,65.47
20150131,23.34,0.0,66.6
20150201,23.22,0.0,67.85
20150202,23.02,0.0,68.01
20150203,22.74,0.0,66.06
20150204,23.04,0.0,64.75
20150205,23.07,0.0,63.56
20150206,23.15,0.0,63.41
20150207,23.01,0.0,60.42
20150208,23.56,0.0,59.24
20150209,22.92,0.0,61.63
20150210,21.93,0.0,67.06
20150211,23.89,0.0,68.98
20150212,25.17,0.0,62.46
20150213,24.89,0.0,55.05
20150214,25.2,0.0,57.27
20150215,25.08,0.0,57.1
20150216,24.94,0.0,58.65
20150217,24.89,0.0,56.38
20150218,24.64,0.0,54.25
20150219,24.58,0.0,55.28
20150220,24.03,0.0,59.67
20150221,24.54,0.0,59.36
20150222,24.43,0.0,57.07
20150223,24.02,0.0,54.97
20150224,23.81,0.0,52.64
20150225,25.05,0.0,55.45
20150226,26.89,0.0,58.72
20150227,27.9,0.0,60.01
20150228,26.88,0.77,66.57
20150301,27.14,0.51,64.66
20150302,27.51,1.21,63.79
20150303,26.55,4.16,67.92
20150304,27.03,3.06,63.78
20150305,27.88,0.04,62.77
20150306,28.03,0.45,60.45
20150307,27.62,0.53,60.48
20150308,27.11,0.0,59.19
20150309,27.12,0.0,60.68
20150310,26.13,0.0,56.48
20150311,25.85,0.0,60.3
20150312,26.76,0.0,62.16
20150313,26.88,0.0,60.47
20150314,26.86,0.01,59.21
20150315,27.34,0.04,60.14
20150316,27.09,0.15,56.76
20150317,26.78,0.0,52.43
20150318,27.5,0.0,43.16
20150319,27.7,0.0,45.96
20150320,27.32,0.0,54.75
20150321,27.57,0.0,52.1
20150322,28.64,0.0,48.93
20150323,29.44,0.0,46.1
20150324,29.35,0.0,49.84
20150325,28.57,0.0,56.08
20150326,28.32,0.0,53.58
20150327,28.1,0.0,53.55
20150328,27.86,0.0,55.61
20150329,28.8,0.0,54.71
20150330,28.59,0.0,56.84
20150331,28.12,0.03,59.94
20150401,29.77,0.22,55.49
20150402,30.94,0.03,49.39
20150403,31.79,1.03,48.12
20150404,31.5,0.09,51.31
20150405,31.98,0.0,47.39
20150406,31.31,0.0,49.25
20150407,30.45,0.0,54.4
20150408,29.62,0.0,59.94
20150409,29.56,0.04,59.86
20150410,30.2,0.87,55.53
20150411,29.93,1.69,54.68
20150412,28.15,3.12,62.44
20150413,25.19,21.01,72.4
20150414,25.27,5.28,71.36
20150415,24.81,11.16,79.0
20150416,26.26,5.32,73.45
20150417,26.69,7.68,72.15
20150418,27.68,2.28,67.83
20150419,28.52,0.01,64.34
