,T2M,Rain,Humidity
20150101,13.07,2.7,70.44
20150102,13.93,1.48,80.36
20150103,14.57,0.6,78.55
20150104,15.2,0.02,63.04
20150105,14.66,0.0,43.72
20150106,14.87,0.0,45.95
20150107,14.82,0.0,44.92
20150108,14.26,0.0,39.77
20150109,13.98,0.0,36.71
20150110,15.83,0.0,32.96
20150111,16.37,0.0,29.9
20150112,15.68,0.0,37.23
20150113,15.54,0.0,38.67
20150114,16.21,0.08,36.7
20150115,12.28,0.0,42.97
20150116,12.95,0.0,35.71
20150117,13.48,0.0,33.16
20150118,13.01,0.0,35.36
20150119,12.69,0.0,37.27
20150120,13.63,0.0,42.12
20150121,16.04,1.97,49.51
20150122,14.78,8.77,75.59
20150123,14.28,2.81,76.32
20150124,13.74,0.0,66.08
20150125,14.04,0.37,66.77
20150126,12.89,1.43,84.8
20150127,12.64,0.0,69.71
20150128,11.32,0.0,53.92
20150129,11.41,0.0,47.65
20150130,11.81,0.0,42.12
20150131,14.75,0.0,35.93
20150201,14.9,0.0,46.94
20150202,16.9,0.0,48.04
20150203,17.24,0.0,44.96
20150204,14.63,0.0,53.1
20150205,14.13,0.0,41.2
20150206,16.45,0.09,43.94
20150207,17.97,0.1,54.12
20150208,18.02,1.41,62.19
20150209,16.86,0.47,62.88
20150210,17.05,0.0,42.69
20150211,17.09,0.0,40.4
20150212,16.35,0.0,36.41
20150213,19.45,0.0,26.1
20150214,20.88,0.0,31.68
20150215,21.37,0.0,28.46
20150216,21.55,0.0,33.2
20150217,21.7,0.0,31.66
20150218,21.81,0.0,34.09
20150219,22.98,0.0,30.23
20150220,23.93,0.0,26.94
20150221,23.12,0.0,27.2
20150222,22.97,0.0,30.1
20150223,23.9,0.0,27.89
20150224,23.63,0.0,28.79
20150225,24.2,0.0,26.18
20150226,18.24,0.0,12.65
20150227,17.84,0.0,15.46
20150228,19.13,0.1,22.75
20150301,19.7,19.51,60.83
20150302,18.33,6.02,72.74
20150303,17.44,0.0,60.69
20150304,17.75,0.0,48.92
20150305,19.09,0.0,48.06
20150306,21.29,0.02,46.36
20150307,21.13,0.03,52.54
20150308,21.36,0.04,48.44
20150309,16.38,0.0,31.66
20150310,16.4,0.0,39.05
20150311,20.48,0.04,39.88
20150312,22.73,1.09,54.79
20150313,23.1,10.24,63.57
20150314,20.27,26.14,74.74
20150315,20.1,19.45,80.96
20150316,19.57,0.15,59.94
20150317,18.56,0.07,61.9
20150318,19.25,0.0,54.02
20150319,20.82,0.0,49.29
20150320,22.83,0.0,46.94
20150321,23.57,0.0,50.84
20150322,24.84,0.0,51.43
20150323,25.41,0.0,48.04
20150324,26.62,0.0,44.88
20150325,26.72,0.0,45.7
20150326,26.44,0.0,47.33
20150327,27.41,0.0,49.81
20150328,27.58,0.0,48.21
20150329,26.27,0.61,54.2
20150330,26.31,1.02,50.58
20150331,24.4,0.09,61.31
20150401,26.3,0.0,48.81
20150402,27.89,0.05,42.02
20150403,27.85,0.65,45.96
