,T2M,Rain,Humidity
20150101,16.21,0.0,80.6
20150102,17.65,0.0,78.56
20150103,17.81,0.75,81.39
20150104,16.89,11.74,88.83
20150105,14.38,1.85,85.23
20150106,13.4,0.0,77.84
20150107,13.82,0.02,75.52
20150108,14.06,1.27,76.36
20150109,13.16,1.9,84.19
20150110,13.0,0.18,80.15
20150111,12.88,0.01,76.22
20150112,12.01,0.0,80.46
20150113,12.26,0.0,74.84
20150114,13.38,0.0,72.56
20150115,13.98,0.0,75.09
20150116,15.08,0.02,73.15
20150117,15.05,1.87,76.87
20150118,13.06,1.9,82.37
20150119,13.57,0.12,78.84
20150120,14.01,0.0,74.16
20150121,14.31,0.0,72.0
20150122,14.54,0.01,70.78
20150123,14.68,0.1,69.87
20150124,14.57,0.0,71.28
20150125,14.58,0.0,70.69
20150126,14.93,0.0,63.9
20150127,15.61,0.0,57.97
20150128,15.63,0.0,66.39
20150129,15.64,0.26,68.12
20150130,14.19,0.39,73.1
20150131,12.74,0.05,74.08
20150201,13.41,0.0,68.66
20150202,14.82,0.0,64.58
20150203,15.5,0.0,61.33
20150204,15.77,0.0,59.73
20150205,15.05,0.0,64.43
20150206,14.52,0.0,64.66
20150207,14.33,0.0,62.66
20150208,14.73,0.0,60.02
20150209,15.83,0.0,57.47
20150210,15.84,0.02,68.69
20150211,15.8,0.0,67.63
20150212,15.55,1.65,64.91
20150213,14.59,1.79,62.74
20150214,14.13,0.24,68.98
20150215,14.31,0.0,68.38
20150216,15.25,0.0,62.72
20150217,16.84,0.0,58.01
20150218,16.61,1.01,64.7
20150219,15.89,0.52,65.11
20150220,16.03,0.34,70.72
20150221,16.91,2.12,70.74
20150222,16.39,1.04,74.69
20150223,17.85,0.0,69.9
20150224,18.74,0.14,68.04
20150225,18.65,2.64,66.68
20150226,18.81,5.32,69.92
20150227,19.01,0.9,67.76
20150228,20.45,0.04,62.57
20150301,20.18,0.01,64.97
20150302,20.3,0.36,67.81
20150303,18.73,0.92,70.27
20150304,17.15,3.39,70.02
20150305,16.33,0.46,70.16
20150306,16.0,1.13,57.14
20150307,15.82,1.64,60.8
20150308,17.96,0.0,55.05
20150309,19.6,0.0,52.99
20150310,19.47,0.0,50.95
20150311,19.45,0.0,40.76
