,T2M,Rain,Humidity
20150101,13.44,20.86,87.02
20150102,15.44,1.94,83.87
20150103,16.63,0.07,72.4
20150104,15.51,0.0,61.62
20150105,14.97,0.0,50.94
20150106,17.06,0.0,37.51
20150107,16.35,0.0,44.86
20150108,14.95,0.0,50.26
20150109,14.96,0.0,44.57
20150110,17.42,0.0,35.88
20150111,17.48,0.0,43.08
20150112,16.89,0.0,46.13
20150113,16.78,0.0,42.92
20150114,17.49,0.0,45.17
20150115,15.36,0.0,52.86
20150116,15.47,0.0,50.94
20150117,14.99,0.0,41.7
20150118,15.83,0.0,40.07
20150119,16.12,0.0,40.04
20150120,16.96,0.0,41.22
20150121,18.23,1.2,58.21
20150122,18.52,2.44,75.36
20150123,17.43,0.01,74.45
20150124,17.4,0.35,71.86
20150125,16.69,20.39,82.32
20150126,17.4,0.23,74.58
20150127,16.36,0.06,78.48
20150128,15.69,0.0,74.83
20150129,15.57,0.0,53.33
20150130,14.56,0.0,41.23
20150131,16.8,0.0,37.61
20150201,17.49,0.0,43.45
20150202,19.36,0.0,41.3
20150203,19.71,0.0,51.95
20150204,18.35,0.0,56.42
20150205,18.93,0.0,49.19
20150206,19.98,0.0,49.56
20150207,20.9,0.26,48.88
20150208,20.01,0.71,51.01
20150209,19.04,0.01,61.63
20150210,19.34,0.09,56.1
20150211,20.47,1.29,56.8
20150212,19.84,0.0,50.59
20150213,20.65,0.0,33.9
20150214,22.34,0.0,27.34
20150215,22.29,0.0,30.65
20150216,22.8,0.0,31.37
20150217,22.94,0.0,27.83
20150218,22.78,0.0,29.88
20150219,24.01,0.0,25.63
20150220,24.64,0.0,25.62
20150221,24.12,0.0,26.6
20150222,24.67,0.0,26.77
20150223,25.42,0.0,24.61
20150224,25.97,0.0,23.77
20150225,24.05,0.0,34.07
20150226,21.96,0.0,23.83
20150227,20.6,0.0,17.6
20150228,21.25,0.38,24.54
20150301,18.74,4.78,66.27
20150302,18.8,1.44,65.44
20150303,17.53,0.0,44.98
20150304,18.79,0.0,43.62
20150305,20.44,0.0,37.58
20150306,21.72,0.0,36.2
20150307,22.96,0.0,35.54
20150308,23.92,0.0,34.3
20150309,21.95,0.0,24.84
20150310,23.17,0.01,23.63
20150311,25.44,0.61,33.27
20150312,23.33,2.86,60.89
20150313,23.8,6.09,55.51
20150314,21.42,24.87,72.08
20150315,22.42,4.86,69.25
20150316,21.0,0.0,61.43
20150317,20.71,0.0,50.91
20150318,20.85,0.0,50.18
