,T2M,Rain,Humidity
20150101,16.21,0.01,78.82
20150102,17.16,0.0,80.12
20150103,17.63,0.48,81.2
20150104,16.85,17.59,87.28
20150105,13.71,2.57,84.89
20150106,13.57,0.01,74.07
20150107,14.51,0.02,68.26
20150108,14.61,2.69,71.82
20150109,12.74,3.61,81.2
20150110,12.75,0.18,76.99
20150111,12.52,0.18,74.78
20150112,11.06,0.02,77.36
20150113,11.56,0.0,69.29
20150114,12.84,0.0,66.31
20150115,14.48,0.0,70.15
20150116,15.6,0.03,68.76
20150117,14.38,4.75,81.69
20150118,12.88,2.31,81.75
20150119,12.31,0.08,77.92
20150120,13.54,0.0,70.16
20150121,14.03,0.0,66.49
20150122,14.1,0.0,65.52
20150123,14.18,0.0,66.99
20150124,13.99,0.0,66.56
20150125,13.9,0.0,68.02
20150126,14.4,0.0,59.69
20150127,15.35,0.0,50.7
20150128,14.52,0.0,65.35
20150129,15.38,0.05,64.45
20150130,14.22,0.1,66.74
20150131,13.64,0.01,61.96
20150201,13.61,0.0,62.13
20150202,14.81,0.0,58.43
20150203,15.98,0.0,52.71
20150204,15.1,0.0,53.4
20150205,14.99,0.0,58.13
20150206,14.41,0.0,61.13
20150207,14.44,0.0,53.88
20150208,14.38,0.0,49.82
20150209,14.97,0.0,48.68
20150210,15.31,0.0,63.94
20150211,15.37,0.0,64.97
20150212,15.32,0.43,62.91
20150213,13.86,0.39,56.71
20150214,13.33,0.01,65.51
20150215,14.35,0.0,62.45
20150216,15.56,0.0,56.12
20150217,16.3,0.0,53.4
20150218,16.58,0.85,55.62
20150219,15.63,0.19,61.9
20150220,16.55,0.11,60.75
20150221,16.27,1.61,67.52
20150222,15.46,2.37,73.66
20150223,17.24,0.0,64.21
20150224,17.8,0.01,63.3
20150225,18.26,0.71,62.23
20150226,18.22,2.6,67.94
20150227,18.29,0.14,66.13
20150228,19.23,0.05,64.61
20150301,20.34,0.0,57.7
20150302,20.82,0.0,58.91
20150303,19.01,0.27,65.41
20150304,17.0,1.04,69.26
20150305,15.83,0.05,68.5
20150306,15.75,0.42,51.27
20150307,16.23,0.42,44.48
20150308,17.96,0.0,43.33
20150309,19.9,0.0,40.37
20150310,19.56,0.0,40.21
20150311,19.13,0.0,32.84
20150312,19.27,0.0,33.17
20150313,19.18,0.0,34.69
20150314,19.03,0.0,43.55
20150315,20.63,0.0,52.93
20150316,20.59,0.0,51.05
20150317,20.14,0.0,55.74
20150318,20.24,0.25,53.03
20150319,19.4,0.1,54.39
20150320,20.18,0.0,43.76
20150321,21.0,0.0,41.07
20150322,22.01,0.0,34.85
20150323,22.24,0.0,39.07
20150324,22.42,0.28,47.71
20150325,19.82,4.64,67.68
20150326,21.06,2.29,63.77
20150327,20.86,0.85,63.14
20150328,20.28,6.01,67.99
20150329,21.72,0.16,62.32
20150330,22.08,1.23,62.83
20150331,19.37,1.74,72.31
20150401,19.85,3.55,67.87
20150402,18.7,9.77,75.25
20150403,19.51,14.37,75.78
20150404,20.14,15.85,79.36
20150405,19.58,30.13,79.03
20150406,18.81,15.55,78.59
20150407,20.42,1.28,71.2
20150408,19.85,1.12,73.78
20150409,19.84,3.34,73.05
20150410,19.72,8.54,70.89
20150411,20.15,1.42,65.96
20150412,21.41,0.58,65.57
20150413,20.14,1.07,72.94
20150414,21.69,0.0,65.83
20150415,22.38,0.0,66.16
20150416,22.72,0.8,66.34
20150417,20.82,3.04,73.2
20150418,19.96,12.1,79.93
20150419,20.5,4.14,69.05
20150420,21.76,4.82,66.32
20150421,20.83,10.11,79.6
20150422,20.79,9.11,82.88
20150423,21.38,16.83,79.68
20150424,21.01,1.42,77.2
20150425,19.34,8.18,82.48
20150426,19.5,2.86,77.51
20150427,19.64,1.46,75.96
