,T2M,Rain,Humidity
20150101,14.33,0.0,40.38
20150102,14.89,0.18,43.91
20150103,12.43,5.68,65.32
20150104,11.88,0.08,57.7
20150105,11.77,0.0,42.86
20150106,13.71,0.0,41.21
20150107,13.19,0.0,42.45
20150108,13.87,0.0,35.9
20150109,12.96,0.0,35.16
20150110,11.98,0.0,32.7
20150111,13.14,0.0,29.63
20150112,14.43,0.0,29.94
20150113,13.24,0.31,39.07
20150114,10.57,8.8,70.16
20150115,11.95,0.0,66.62
20150116,13.21,0.0,53.89
20150117,13.03,0.0,44.44
20150118,13.45,0.0,38.27
20150119,13.41,0.0,38.48
20150120,12.77,0.0,41.52
20150121,11.69,6.78,57.75
20150122,10.96,8.44,87.63
20150123,11.67,0.22,79.81
20150124,12.88,0.0,63.21
20150125,12.27,0.0,55.5
20150126,11.77,0.37,50.35
20150127,10.4,0.46,58.04
20150128,10.86,0.0,51.18
20150129,10.51,0.0,46.58
20150130,11.69,0.0,41.98
20150131,12.86,0.0,39.36
20150201,14.03,0.0,43.32
20150202,14.84,3.03,54.91
20150203,13.05,17.44,75.71
20150204,14.06,0.0,59.98
20150205,14.33,0.0,43.67
20150206,13.65,0.0,42.97
20150207,14.54,0.0,45.01
20150208,14.48,0.01,54.22
20150209,14.99,0.0,50.97
20150210,15.78,0.0,43.31
20150211,15.34,0.0,43.42
20150212,15.6,0.0,36.83
20150213,16.21,0.0,39.04
20150214,18.92,0.0,43.78
20150215,18.79,0.02,47.13
20150216,18.7,4.51,48.96
20150217,19.23,4.1,52.94
20150218,18.51,0.82,53.88
20150219,17.8,5.0,57.19
20150220,18.02,13.01,65.86
20150221,18.99,0.0,52.13
20150222,19.99,0.0,49.8
20150223,20.86,0.0,50.1
20150224,21.0,0.28,49.48
20150225,17.08,13.13,65.94
20150226,14.26,0.23,48.14
20150227,14.65,0.07,43.62
20150228,15.52,0.25,45.09
20150301,13.71,58.72,80.64
20150302,12.26,34.67,88.02
20150303,13.11,3.81,76.52
20150304,13.46,1.49,70.08
20150305,14.3,1.49,65.85
20150306,15.44,0.27,67.57
20150307,16.38,2.27,61.43
20150308,15.84,4.97,73.95
20150309,12.93,2.16,68.7
20150310,15.99,0.0,51.97
20150311,17.9,0.0,48.07
20150312,19.25,0.0,46.05
20150313,19.36,0.0,46.18
20150314,19.85,2.79,56.57
20150315,17.99,5.37,73.55
20150316,16.35,15.28,81.89
20150317,17.18,0.65,72.81
20150318,17.93,0.0,67.57
20150319,19.52,0.0,59.41
20150320,20.46,0.0,54.76
20150321,21.65,0.0,54.15
20150322,22.76,0.0,54.69
20150323,23.59,0.0,56.73
20150324,25.03,0.01,55.28
20150325,25.03,0.01,52.78
20150326,25.48,0.0,45.75
20150327,25.31,0.0,41.82
20150328,26.53,0.0,39.46
20150329,21.23,10.53,57.57
20150330,20.97,10.96,71.02
20150331,21.27,0.31,62.59
20150401,21.85,1.27,65.6
20150402,23.75,0.35,55.54
20150403,20.81,8.36,65.2
20150404,20.55,1.96,68.02
20150405,20.73,0.06,64.91
20150406,22.26,1.72,56.34
20150407,19.6,5.14,71.32
20150408,21.42,0.04,58.9
20150409,22.7,0.0,56.9
20150410,24.39,0.0,51.31
20150411,25.63,0.0,48.53
20150412,25.23,0.06,51.23
20150413,25.17,0.0,53.67
20150414,24.11,0.26,61.35
20150415,24.68,21.54,65.38
20150416,24.01,4.46,66.06
20150417,25.09,0.0,58.85
20150418,27.19,0.0,46.89
20150419,29.01,0.01,39.13
20150420,28.85,0.78,41.9
20150421,27.44,0.0,43.14
20150422,27.2,0.0,42.67
20150423,28.61,0.0,35.59
20150424,29.88,0.0,32.95
20150425,30.45,0.02,32.06
20150426,27.95,0.01,42.81
20150427,28.74,1.84,44.36
20150428,29.57,2.3,41.36
20150429,29.39,0.95,34.71
20150430,28.11,2.11,40.05
20150501,27.74,7.26,40.3
20150502,27.48,0.0,33.55
20150503,28.73,0.0,28.93
20150504,29.35,0.0,29.61
20150505,30.52,0.0,31.04
20150506,31.88,0.0,32.9
20150507,33.31,0.0,31.25
20150508,32.69,0.0,31.23
20150509,32.52,0.0,31.61
20150510,33.03,0.12,33.51
20150511,32.74,2.4,35.76
20150512,30.78,4.21,40.05
20150513,30.29,1.84,40.37
20150514,29.3,4.51,45.79
20150515,29.8,1.26,43.94
20150516,31.37,0.43,37.98
20150517,31.69,0.02,35.86
20150518,33.6,0.01,35.91
20150519,33.26,0.12,31.38
20150520,32.49,0.14,27.64
20150521,32.51,0.0,27.5
20150522,33.53,0.0,24.23
20150523,34.62,0.0,24.12
20150524,35.26,0.01,23.56
20150525,34.95,0.0,24.58
20150526,33.43,0.01,21.16
20150527,31.99,0.0,20.31
20150528,32.69,0.0,20.77
20150529,33.56,0.0,22.89
20150530,33.86,0.01,25.55
20150531,33.69,0.06,24.74
20150601,33.17,0.37,23.47
20150602,30.48,0.06,31.34
20150603,32.06,1.04,29.58
20150604,28.75,8.57,48.22
20150605,31.96,0.4,39.23
20150606,32.66,0.0,31.04
20150607,34.31,0.0,26.58
20150608,35.46,0.2,23.63
20150609,35.66,0.21,23.55
20150610,34.78,0.99,30.82
20150611,33.88,2.92,31.79
20150612,34.25,0.44,28.15
20150613,34.71,1.41,30.62
20150614,32.36,7.83,42.19
20150615,30.99,8.65,53.56
20150616,33.2,0.0,38.31
20150617,34.06,0.04,35.84
20150618,35.25,0.37,35.43
20150619,35.37,0.77,38.78
20150620,32.68,13.31,46.0
20150621,33.76,12.62,45.25
20150622,33.15,3.96,43.79
20150623,32.97,8.14,45.71
20150624,33.03,7.19,46.42
20150625,30.23,10.16,51.14
20150626,31.8,0.0,37.12
20150627,32.52,0.01,35.29
20150628,33.75,3.34,35.33
20150629,32.76,9.45,46.9
20150630,31.47,19.2,52.6
20150701,32.44,0.13,44.84
20150702,32.12,0.56,47.04
20150703,33.77,0.21,43.98
20150704,34.08,0.74,47.67
20150705,34.3,10.68,50.63
20150706,28.83,16.48,70.78
20150707,28.9,5.87,71.45
20150708,29.84,15.65,66.41
20150709,30.75,8.28,63.46
20150710,30.62,9.16,63.34
20150711,27.55,42.23,75.8
20150712,28.89,77.67,71.97
20150713,28.86,14.75,72.84
20150714,29.84,0.17,70.33
20150715,31.32,0.74,65.69
20150716,31.52,11.69,65.57
20150717,28.6,68.48,80.72
20150718,27.82,30.95,82.65
20150719,28.0,5.42,80.14
20150720,28.38,0.37,78.01
20150721,29.18,3.76,75.01
20150722,29.03,1.43,76.57
20150723,28.25,5.23,81.97
20150724,28.0,4.62,85.1
20150725,28.32,7.7,83.41
20150726,27.68,10.56,85.43
20150727,27.77,0.84,83.65
20150728,27.74,1.88,81.86
20150729,27.74,0.01,79.92
20150730,28.13,0.11,81.16
20150731,27.8,3.01,81.44
20150801,27.12,9.38,84.58
20150802,26.97,3.24,84.42
20150803,28.08,1.18,78.98
20150804,29.2,0.2,75.65
20150805,29.66,4.08,73.66
20150806,29.58,15.49,74.84
20150807,29.27,6.94,77.69
20150808,28.44,9.16,81.0
20150809,29.43,2.81,72.75
20150810,30.08,1.91,68.35
20150811,29.86,2.56,69.62
20150812,27.73,15.11,80.78
20150813,28.63,7.13,75.52
20150814,29.22,1.69,75.9
20150815,29.08,10.33,80.17
20150816,28.43,5.9,79.92
20150817,28.77,7.55,72.52
20150818,29.29,21.32,70.85
20150819,29.24,5.25,71.51
20150820,28.61,11.49,74.36
20150821,28.03,28.37,77.73
20150822,27.43,15.78,78.4
20150823,27.56,2.13,75.16
20150824,28.25,1.52,72.39
20150825,28.58,0.0,67.28
20150826,28.9,0.0,67.5
20150827,29.26,0.18,65.6
20150828,28.14,0.61,69.35
20150829,29.08,0.09,65.45
20150830,29.55,0.23,63.99
20150831,29.0,1.51,61.29
20150901,28.86,0.03,57.5
20150902,28.79,0.85,54.29
20150903,28.35,0.9,56.27
20150904,28.51,0.0,52.44
20150905,28.99,0.02,50.53
20150906,27.86,0.06,54.04
20150907,28.23,0.0,52.65
20150908,28.33,0.0,52.94
20150909,28.96,0.0,51.56
20150910,28.9,0.0,47.63
20150911,28.97,0.0,45.95
20150912,29.39,0.0,44.97
20150913,29.42,0.0,45.56
20150914,30.21,0.0,45.31
20150915,30.43,0.59,43.02
20150916,29.17,4.46,46.99
20150917,28.84,1.36,49.03
