,T2M,Rain,Humidity
20150101,11.64,0.0,59.48
20150102,12.43,0.0,64.44
20150103,12.46,0.2,75.73
20150104,12.06,2.11,88.57
20150105,10.23,2.14,95.67
20150106,12.5,0.05,65.03
20150107,8.58,0.04,81.22
20150108,9.95,0.05,77.91
20150109,11.57,0.0,63.24
20150110,10.54,0.0,72.1
20150111,11.46,0.0,62.38
20150112,9.33,0.0,71.05
20150113,9.45,0.0,71.76
20150114,8.99,0.0,70.64
20150115,8.39,0.0,81.13
20150116,10.09,0.0,75.37
20150117,10.53,0.0,70.78
20150118,10.06,0.06,69.52
20150119,9.66,0.02,73.86
20150120,9.12,0.0,72.23
20150121,9.86,0.0,63.82
20150122,9.98,0.0,68.34
20150123,9.17,0.11,84.47
20150124,9.26,0.07,83.99
20150125,10.36,0.0,84.93
20150126,11.55,0.0,82.84
20150127,10.92,0.0,84.67
20150128,10.61,0.0,93.07
20150129,10.59,0.31,87.25
20150130,9.36,1.54,91.98
20150131,9.27,0.98,69.97
20150201,8.93,0.01,59.89
20150202,9.11,0.0,56.33
20150203,10.0,0.0,60.78
20150204,8.87,0.0,81.43
20150205,9.99,0.0,82.05
20150206,10.73,0.0,78.48
20150207,10.62,0.0,78.88
20150208,10.0,0.0,79.73
20150209,9.63,0.0,86.24
20150210,9.81,0.0,84.21
20150211,11.73,0.0,75.58
20150212,11.53,3.47,77.99
20150213,10.24,4.45,79.77
20150214,10.0,0.76,79.71
20150215,9.36,0.07,81.51
20150216,10.32,0.04,77.36
20150217,11.08,0.0,72.26
20150218,11.37,0.07,69.87
20150219,7.83,0.72,88.32
20150220,10.73,0.56,81.31
20150221,10.36,0.72,84.46
20150222,11.27,1.22,81.97
20150223,13.44,0.0,73.41
20150224,13.59,0.0,84.41
20150225,13.76,1.01,88.01
20150226,13.84,9.46,92.96
20150227,14.33,3.71,93.34
20150228,14.44,0.26,87.11
20150301,14.01,0.0,88.45
20150302,14.54,0.11,88.16
20150303,13.7,3.25,88.9
20150304,12.91,3.59,87.92
20150305,11.55,3.1,88.66
20150306,11.4,0.71,79.35
20150307,10.46,1.12,84.5
20150308,12.89,0.0,67.57
20150309,13.88,0.02,71.22
20150310,14.77,3.61,70.84
20150311,15.46,0.15,62.85
20150312,15.41,0.0,64.93
20150313,14.45,0.0,76.28
20150314,14.28,0.01,78.56
20150315,14.3,0.0,78.63
20150316,14.42,0.23,84.32
20150317,13.72,0.75,87.46
20150318,14.1,1.97,83.35
20150319,13.09,2.4,76.78
20150320,14.76,0.14,61.97
20150321,15.96,0.0,57.66
20150322,17.15,0.0,58.66
20150323,17.2,0.12,64.52
20150324,14.92,0.04,72.45
20150325,15.89,0.0,75.89
20150326,16.79,0.0,73.95
20150327,16.42,2.91,81.09
20150328,13.49,4.83,89.66
20150329,16.24,0.27,75.96
20150330,15.87,7.01,87.38
20150331,15.55,4.53,86.52
20150401,15.01,17.62,89.48
20150402,12.12,12.79,89.12
20150403,14.37,4.86,78.61
20150404,15.25,25.26,92.76
20150405,15.75,11.1,87.73
20150406,14.75,6.18,88.35
20150407,15.0,0.64,80.77
20150408,12.99,8.25,83.53
20150409,14.45,16.68,89.28
20150410,14.73,3.88,86.86
20150411,12.8,0.56,83.19
20150412,14.75,0.17,77.69
20150413,16.46,0.0,78.75
20150414,16.45,1.51,85.12
20150415,19.35,0.01,73.55
20150416,17.96,5.41,80.66
20150417,17.49,7.89,82.7
20150418,15.93,14.23,92.27
20150419,14.18,11.34,79.28
20150420,15.97,0.0,69.97
20150421,16.12,5.89,81.24
20150422,15.45,9.35,83.1
20150423,13.84,29.73,89.68
20150424,14.38,2.17,83.89
20150425,13.86,2.86,84.23
20150426,15.68,2.13,78.84
20150427,14.73,0.42,79.95
20150428,17.12,0.07,76.26
20150429,16.61,2.23,81.46
20150430,16.64,7.2,74.0
20150501,17.61,0.45,71.19
20150502,15.5,5.28,86.96
20150503,16.06,18.71,91.3
20150504,17.91,14.02,83.86
20150505,16.98,0.68,80.37
20150506,18.0,0.37,76.68
20150507,16.73,0.15,78.68
20150508,19.02,9.08,71.47
20150509,18.71,7.69,79.91
20150510,19.1,2.24,81.38
20150511,19.52,0.33,80.87
20150512,17.35,5.41,84.37
20150513,17.81,5.97,87.84
20150514,17.91,7.66,89.12
20150515,16.68,16.93,88.28
20150516,17.59,21.25,93.77
20150517,18.06,22.42,89.91
20150518,17.71,22.68,84.31
20150519,21.11,1.28,74.61
20150520,20.33,0.74,76.22
20150521,20.3,6.81,84.68
20150522,20.96,15.12,78.48
20150523,19.08,34.76,83.73
20150524,18.02,9.12,83.34
20150525,17.29,7.48,88.05
20150526,19.12,3.64,79.83
20150527,17.81,6.57,82.52
20150528,17.67,28.88,87.54
20150529,18.02,5.12,78.3
20150530,20.81,4.1,76.9
20150531,17.92,32.53,91.8
20150601,18.64,32.79,93.3
20150602,19.45,9.01,85.15
20150603,19.11,0.3,86.53
20150604,19.37,5.88,87.36
20150605,20.01,23.92,90.19
20150606,18.99,33.29,91.72
20150607,18.51,25.81,91.82
20150608,17.83,45.72,91.27
20150609,17.51,65.43,90.28
20150610,18.94,6.9,81.05
20150611,19.05,5.44,83.43
20150612,18.8,27.56,91.38
20150613,18.77,27.26,92.25
20150614,18.97,17.75,92.19
20150615,18.84,8.34,93.3
20150616,20.21,12.92,89.1
20150617,20.27,7.87,88.48
20150618,20.77,8.44,82.97
20150619,21.36,31.35,87.36
20150620,20.58,26.14,90.12
20150621,21.08,22.23,84.75
20150622,20.66,7.62,91.67
20150623,21.53,16.49,89.32
20150624,22.23,14.78,85.21
20150625,23.48,3.98,80.93
20150626,24.11,0.01,81.3
20150627,22.32,5.09,90.31
20150628,21.91,10.12,89.57
20150629,22.51,9.44,87.15
20150630,22.25,18.06,88.25
20150701,20.9,22.48,91.75
20150702,21.18,8.02,89.26
20150703,21.27,9.18,90.42
20150704,20.72,37.89,91.02
20150705,22.74,0.89,80.75
20150706,22.64,0.46,82.02
20150707,23.49,0.77,78.05
20150708,21.46,1.98,82.01
20150709,22.95,1.81,80.4
20150710,21.81,4.33,83.78
20150711,22.81,6.33,77.6
20150712,23.68,6.54,79.27
20150713,23.22,2.73,85.88
20150714,22.6,24.64,86.09
20150715,22.06,17.11,87.7
20150716,21.27,0.36,86.91
20150717,22.11,0.0,77.58
20150718,22.46,0.0,78.71
20150719,22.4,2.68,80.77
20150720,21.6,10.7,83.1
20150721,21.34,15.93,82.95
20150722,20.59,25.82,86.71
20150723,20.48,31.45,92.33
20150724,21.77,10.36,86.77
20150725,23.44,0.05,75.69
20150726,23.21,0.02,78.49
20150727,22.22,0.25,81.92
20150728,22.48,0.55,77.92
20150729,22.48,2.25,80.42
20150730,22.17,0.62,80.09
20150731,21.66,7.18,78.77
20150801,22.23,6.44,78.84
20150802,22.97,5.27,78.62
20150803,22.69,7.87,82.68
20150804,21.93,18.36,88.52
20150805,21.76,39.23,89.42
20150806,21.99,11.23,81.88
20150807,20.92,19.8,86.59
20150808,22.27,3.03,78.71
20150809,22.83,0.46,79.25
20150810,22.59,15.77,82.36
20150811,23.8,4.03,76.94
20150812,23.27,3.87,82.26
20150813,24.93,8.18,76.6
20150814,21.4,17.52,92.49
20150815,22.05,22.25,91.61
20150816,21.16,24.62,95.82
20150817,19.37,28.18,96.33
20150818,20.46,38.53,95.48
20150819,20.27,46.06,95.73
20150820,19.48,68.78,91.62
20150821,17.92,36.25,90.4
20150822,19.7,18.57,86.97
20150823,20.1,20.03,90.05
20150824,20.37,8.23,90.45
20150825,21.84,8.67,86.81
20150826,22.39,19.11,83.54
20150827,21.16,32.66,91.08
20150828,20.05,25.14,93.25
20150829,19.39,98.69,95.79
20150830,18.34,82.37,95.93
20150831,19.55,15.35,95.3
20150901,19.61,18.53,89.49
20150902,18.97,23.48,92.28
20150903,19.72,7.22,89.68
20150904,21.11,14.02,86.57
20150905,22.02,28.14,86.3
20150906,20.39,7.52,89.05
20150907,20.24,4.98,87.54
20150908,20.52,0.63,81.55
20150909,22.2,0.0,76.85
20150910,21.06,8.31,86.05
20150911,21.95,3.13,82.06
20150912,21.7,4.68,81.77
20150913,19.98,4.9,92.62
20150914,19.65,21.95,91.35
20150915,19.94,2.45,90.29
20150916,19.14,12.33,94.68
20150917,19.37,24.2,92.61
20150918,20.12,19.41,86.88
20150919,21.24,20.94,85.03
20150920,19.98,13.07,91.3
20150921,19.55,29.34,93.27
20150922,19.06,18.57,92.31
20150923,19.37,3.95,92.83
20150924,19.33,18.15,92.27
20150925,18.77,9.21,93.71
20150926,20.38,0.24,80.93
20150927,20.42,0.0,77.43
20150928,20.64,0.0,79.35
20150929,21.36,0.0,76.5
20150930,20.51,0.0,75.46
20151001,20.55,0.13,76.69
20151002,19.97,0.45,77.22
20151003,17.39,0.93,88.14
20151004,20.47,0.03,64.33
20151005,18.56,0.0,68.5
20151006,19.29,0.0,74.15
20151007,20.7,1.35,80.31
20151008,18.02,2.86,88.82
20151009,17.14,20.28,90.29
20151010,17.45,11.05,87.6
20151011,16.37,7.95,86.46
20151012,16.73,1.0,80.51
20151013,16.96,0.0,81.31
20151014,17.84,4.15,82.36
20151015,17.25,10.57,82.62
20151016,16.65,0.08,80.03
20151017,16.15,0.31,78.17
20151018,17.25,0.03,73.38
20151019,17.32,0.0,78.69
20151020,17.75,0.0,78.37
20151021,17.32,0.0,79.0
20151022,15.93,0.01,83.86
20151023,14.98,0.83,91.5
20151024,15.34,0.33,87.02
20151025,15.65,0.0,75.0
20151026,15.99,0.0,76.14
20151027,15.72,0.0,79.95
20151028,15.24,0.0,78.23
20151029,15.99,0.0,75.05
20151030,15.87,0.0,73.6
20151031,15.27,0.17,76.49
20151101,15.76,1.33,77.73
20151102,15.09,0.0,86.07
