,T2M,Rain,Humidity
20150101,19.19,1.83,60.14
20150102,19.17,4.27,80.05
20150103,19.97,4.88,84.98
20150104,19.9,0.5,77.29
20150105,15.99,0.0,61.92
20150106,12.97,0.0,61.57
20150107,14.18,0.0,59.66
20150108,14.56,0.0,60.87
20150109,13.71,0.0,61.41
20150110,12.42,0.0,56.14
20150111,12.29,0.0,53.04
20150112,12.63,0.0,51.57
20150113,13.01,0.0,53.71
20150114,14.68,0.0,49.64
20150115,15.03,0.0,52.49
20150116,14.57,0.01,58.22
20150117,13.6,0.0,56.56
20150118,13.69,0.0,61.64
20150119,13.07,0.0,55.34
20150120,12.8,0.0,50.58
20150121,13.44,0.0,48.92
20150122,15.74,0.0,44.33
20150123,17.37,0.0,57.59
20150124,18.09,0.04,67.38
20150125,16.96,0.0,55.62
20150126,17.61,0.0,61.8
20150127,18.43,0.94,72.77
20150128,18.56,2.35,71.28
20150129,18.12,3.25,66.83
20150130,15.37,0.0,52.3
20150131,13.94,0.0,46.35
20150201,14.37,0.0,45.28
20150202,16.89,0.0,42.28
20150203,19.01,0.0,40.63
20150204,19.58,0.0,48.09
20150205,16.78,0.0,46.16
20150206,15.28,0.0,41.32
20150207,16.62,0.0,41.14
20150208,19.41,0.12,51.41
20150209,19.06,0.03,64.26
20150210,18.72,0.0,49.41
20150211,17.24,0.0,43.29
20150212,18.75,0.03,46.12
20150213,18.66,0.0,50.15
20150214,18.97,0.0,40.12
20150215,19.91,0.0,41.88
20150216,19.89,0.26,52.83
20150217,22.39,0.0,51.41
20150218,23.2,0.02,51.97
20150219,23.23,0.14,46.36
20150220,22.74,0.0,42.23
20150221,23.67,0.0,39.7
20150222,23.4,0.73,43.52
20150223,24.77,0.07,35.81
20150224,24.58,0.0,38.61
20150225,24.49,0.0,39.75
20150226,25.44,0.0,38.23
20150227,24.17,0.37,50.39
20150228,25.89,0.08,43.73
20150301,26.45,0.89,46.98
20150302,23.03,0.91,58.17
20150303,21.67,5.74,66.7
20150304,22.44,0.02,46.61
20150305,20.18,0.0,38.4
20150306,20.15,0.0,37.82
20150307,21.71,0.0,40.96
20150308,23.08,0.0,40.88
20150309,24.94,0.0,40.65
20150310,25.08,0.0,39.61
20150311,22.28,0.0,27.76
20150312,22.68,0.0,28.39
20150313,25.13,0.0,36.58
20150314,26.97,0.0,41.25
20150315,26.41,0.0,44.68
20150316,24.75,2.86,51.79
20150317,26.56,0.05,44.38
20150318,26.48,0.0,35.77
20150319,24.01,0.0,34.02
20150320,24.63,0.0,33.88
20150321,25.13,0.0,31.35
20150322,26.85,0.0,32.55
20150323,27.74,0.0,32.9
20150324,29.33,0.53,30.53
20150325,30.67,0.0,29.06
20150326,31.14,0.03,33.11
20150327,29.66,5.3,45.8
20150328,29.49,0.34,49.96
20150329,30.27,0.0,40.14
20150330,26.99,12.45,56.9
20150331,26.02,0.61,59.67
20150401,29.03,0.53,42.08
20150402,29.9,0.0,37.08
20150403,30.37,0.04,38.6
20150404,31.0,0.15,38.19
20150405,29.4,1.59,42.52
20150406,30.29,1.36,40.11
20150407,31.09,0.07,37.49
20150408,29.97,1.1,40.7
20150409,28.94,0.0,28.87
20150410,29.09,0.0,26.01
20150411,31.4,0.0,23.3
20150412,30.59,0.17,30.14
20150413,27.23,8.26,52.13
20150414,28.05,0.12,54.87
20150415,29.64,0.18,47.16
20150416,30.09,0.39,48.7
20150417,30.0,3.43,42.68
20150418,31.47,0.01,37.21
20150419,32.48,2.7,31.54
20150420,32.78,0.0,40.21
20150421,34.41,0.0,29.71
20150422,33.78,0.15,25.98
20150423,33.24,0.38,24.04
20150424,32.89,0.07,38.04
20150425,29.16,0.62,53.31
20150426,28.09,0.08,49.1
20150427,30.25,0.07,45.73
20150428,31.68,1.0,45.52
20150429,31.36,4.25,49.82
20150430,31.78,0.02,41.83
20150501,33.65,0.0,31.76
20150502,33.91,0.01,36.25
20150503,34.57,0.0,29.45
20150504,34.33,0.3,19.92
20150505,35.12,0.0,16.47
20150506,35.33,0.0,15.72
20150507,35.72,0.08,20.36
20150508,34.47,0.06,33.45
20150509,35.2,0.0,36.28
