,T2M,Rain,Humidity
20150101,24.79,1.59,85.97
20150102,25.15,0.19,85.92
20150103,25.15,0.04,84.68
20150104,24.98,0.0,82.34
20150105,24.52,0.0,81.7
20150106,24.18,0.0,80.41
20150107,23.9,0.0,78.95
20150108,24.39,0.0,78.66
20150109,23.64,0.01,79.91
20150110,22.08,0.0,74.19
20150111,21.71,0.0,75.41
20150112,21.77,0.0,73.05
20150113,21.67,0.0,74.82
20150114,21.77,0.0,71.44
20150115,22.24,0.0,77.24
20150116,23.71,0.34,79.57
20150117,23.7,0.12,77.92
20150118,23.11,0.0,74.7
20150119,22.74,0.0,74.52
20150120,22.62,0.0,76.69
20150121,22.45,0.0,75.87
20150122,23.36,0.14,78.65
20150123,24.19,4.3,80.62
20150124,24.24,1.47,80.26
20150125,23.27,0.01,72.92
20150126,23.36,0.13,75.43
20150127,23.89,0.03,75.66
20150128,24.03,0.03,76.58
20150129,24.48,0.02,74.91
20150130,24.35,0.0,73.39
20150131,23.87,0.0,75.12
20150201,23.9,0.03,76.65
20150202,23.65,0.01,75.38
20150203,24.11,0.02,72.88
20150204,24.13,0.02,74.04
20150205,24.4,0.0,71.95
20150206,24.23,0.0,72.31
20150207,23.93,0.0,68.89
20150208,24.36,0.0,69.34
20150209,23.87,0.0,70.66
20150210,23.75,0.05,73.27
20150211,24.84,0.09,76.26
20150212,25.76,0.02,72.49
20150213,25.59,0.0,70.14
20150214,25.48,0.0,68.47
20150215,25.47,0.11,67.58
20150216,25.79,0.0,67.9
20150217,25.56,0.0,65.01
20150218,25.22,0.01,64.57
20150219,25.32,0.0,64.02
20150220,25.16,0.0,67.01
20150221,25.52,0.0,68.03
20150222,25.36,0.0,67.77
20150223,25.13,0.0,65.26
20150224,25.0,0.0,63.75
20150225,26.02,0.0,67.25
20150226,27.38,0.05,69.02
20150227,28.4,0.05,67.1
20150228,27.92,0.26,69.97
20150301,28.22,0.1,66.45
20150302,28.36,0.27,66.57
20150303,28.4,0.56,65.54
20150304,29.11,0.37,61.27
20150305,28.96,0.12,67.76
20150306,29.19,0.13,64.23
20150307,28.9,0.12,63.42
20150308,28.11,0.02,65.25
20150309,28.09,0.01,65.58
20150310,27.26,0.0,62.07
20150311,27.17,0.01,64.78
20150312,28.02,0.09,65.74
20150313,27.97,0.08,64.81
20150314,28.01,0.13,64.14
20150315,27.8,0.14,67.48
20150316,28.01,0.11,64.16
20150317,27.74,0.01,60.32
20150318,28.31,0.0,54.64
20150319,28.42,0.0,57.28
20150320,28.31,0.01,64.08
20150321,28.6,0.0,60.36
20150322,29.56,0.0,57.43
20150323,29.9,0.0,59.13
20150324,29.65,0.01,61.27
20150325,29.31,0.01,62.52
20150326,29.16,0.0,60.75
20150327,29.19,0.02,61.2
20150328,28.99,0.03,64.44
20150329,29.6,0.01,62.01
20150330,29.8,0.02,62.97
20150331,29.2,0.1,66.59
20150401,30.51,0.1,60.19
20150402,31.41,0.06,57.51
20150403,32.5,0.38,55.03
20150404,31.91,0.32,58.06
20150405,32.2,0.22,56.19
20150406,31.35,0.08,59.23
20150407,30.44,0.06,64.04
20150408,29.48,0.41,69.95
20150409,29.45,0.42,68.94
20150410,30.34,0.22,64.26
20150411,30.77,0.99,61.12
20150412,29.14,1.16,67.53
20150413,27.93,11.83,68.36
20150414,27.91,5.75,68.97
20150415,27.4,12.04,75.74
20150416,27.5,6.73,76.67
20150417,28.34,5.77,72.88
20150418,28.92,2.53,70.3
20150419,29.78,0.08,66.47
20150420,29.46,0.37,68.03
20150421,28.58,0.64,74.13
20150422,29.48,0.32,69.62
20150423,30.78,0.58,64.45
