,T2M,Rain,Humidity
20150101,26.21,1.85,83.63
20150102,25.04,0.0,76.75
20150103,24.83,0.0,76.41
20150104,25.28,0.0,81.11
20150105,25.14,0.0,81.27
20150106,24.99,0.0,79.39
20150107,24.43,0.0,79.07
20150108,24.72,0.0,79.11
20150109,24.62,0.0,80.51
20150110,24.2,0.0,74.33
20150111,22.82,0.0,73.35
20150112,22.74,0.0,71.19
20150113,22.86,0.0,71.47
20150114,23.45,0.0,73.86
20150115,23.34,0.0,71.66
20150116,24.34,0.0,78.18
20150117,25.14,0.0,78.19
20150118,24.92,0.0,75.34
20150119,24.39,0.01,71.36
20150120,24.0,0.0,73.55
20150121,23.95,0.02,73.41
20150122,24.68,0.23,73.52
20150123,25.84,0.08,74.84
20150124,25.73,0.04,74.64
20150125,25.87,0.0,68.96
20150126,25.08,0.0,71.02
20150127,25.28,0.0,72.93
20150128,25.89,0.0,73.26
20150129,26.25,0.0,71.54
20150130,26.12,0.0,71.13
20150131,26.02,0.0,65.01
20150201,25.67,0.0,68.77
20150202,25.64,0.0,66.35
20150203,25.96,0.01,66.34
20150204,24.72,1.04,73.32
20150205,26.05,0.19,69.6
20150206,25.95,0.02,68.73
20150207,26.17,0.07,66.8
20150208,26.62,0.0,61.14
20150209,26.75,0.01,65.24
20150210,26.59,0.03,65.21
20150211,27.35,0.01,65.98
20150212,28.15,0.02,65.38
20150213,28.18,0.01,65.4
20150214,27.98,0.0,61.25
20150215,27.38,0.0,57.71
20150216,26.93,0.0,57.71
20150217,26.61,0.0,55.39
20150218,26.55,0.0,53.3
20150219,26.86,0.0,53.42
20150220,26.63,0.0,56.94
20150221,26.86,0.0,61.12
20150222,26.78,0.0,56.96
20150223,27.02,0.0,57.57
20150224,27.72,0.01,58.59
20150225,28.72,0.03,62.84
20150226,29.12,3.41,64.37
20150227,28.71,1.92,68.47
20150228,28.97,0.31,65.93
20150301,29.27,0.02,63.72
20150302,29.83,0.1,63.4
20150303,29.83,0.16,60.36
20150304,29.57,0.01,54.63
20150305,30.21,0.01,58.54
20150306,30.4,0.24,59.56
20150307,30.06,0.87,59.75
20150308,29.31,0.42,59.28
20150309,29.53,0.02,60.0
20150310,29.11,0.0,55.3
20150311,28.46,0.0,58.66
20150312,29.45,0.01,60.26
20150313,29.66,0.04,59.57
20150314,28.93,3.96,62.97
20150315,28.86,2.72,68.91
20150316,28.33,6.06,72.65
20150317,27.97,0.47,66.48
20150318,27.41,0.0,60.64
20150319,28.01,0.0,55.42
20150320,28.8,0.0,58.32
20150321,29.23,0.01,58.97
20150322,29.32,0.0,58.07
20150323,30.26,0.0,55.73
20150324,30.58,0.0,58.96
20150325,29.79,0.0,61.44
20150326,30.13,0.0,57.48
20150327,30.21,0.03,57.74
20150328,30.32,0.71,59.84
20150329,30.66,1.36,61.22
20150330,30.78,0.4,58.02
20150331,30.03,2.92,62.58
20150401,29.3,15.01,71.46
20150402,29.57,4.58,69.51
20150403,31.16,0.04,61.87
20150404,31.45,0.05,62.31
20150405,30.67,0.01,66.31
20150406,30.45,0.06,66.83
20150407,29.78,0.32,69.45
20150408,28.74,1.65,69.03
20150409,28.63,0.82,69.02
20150410,29.48,0.51,69.96
20150411,30.67,3.17,63.18
20150412,29.26,7.39,72.44
20150413,28.36,1.53,68.93
20150414,28.16,1.85,68.01
20150415,27.42,40.71,79.27
20150416,27.94,13.31,79.21
20150417,28.25,24.79,76.43
20150418,28.53,5.24,74.77
20150419,28.91,0.21,74.86
20150420,28.65,7.58,76.47
20150421,28.07,5.64,78.31
20150422,26.85,1.28,83.26
20150423,28.57,0.23,74.42
20150424,28.66,2.19,75.85
20150425,27.26,4.39,74.95
20150426,28.71,0.86,65.66
20150427,28.42,0.15,73.45
20150428,28.92,0.03,72.61
