,T2M,Rain,Humidity
20150101,21.34,11.54,76.16
20150102,21.76,5.9,76.96
20150103,19.93,4.54,85.43
20150104,19.77,0.01,68.8
20150105,17.42,0.0,53.47
20150106,18.05,0.0,41.0
20150107,18.18,0.0,42.38
20150108,17.58,0.0,46.07
20150109,16.35,0.0,45.89
20150110,16.86,0.0,40.91
20150111,16.76,0.0,41.13
20150112,17.4,0.0,40.97
20150113,18.27,0.0,35.98
20150114,19.41,0.0,33.53
20150115,18.69,0.0,37.23
20150116,18.24,0.0,46.18
20150117,18.58,0.0,44.6
20150118,18.15,0.0,37.98
20150119,17.88,0.0,34.88
20150120,18.18,0.0,41.57
20150121,19.38,0.01,46.28
20150122,20.71,0.06,48.98
20150123,21.96,0.23,48.42
20150124,21.95,0.72,55.09
20150125,22.55,0.09,49.77
20150126,22.81,0.03,47.43
20150127,23.28,0.07,44.31
20150128,22.52,0.17,48.14
20150129,21.71,0.14,55.4
20150130,20.36,0.07,45.87
20150131,19.67,0.0,25.35
20150201,20.11,0.0,26.34
20150202,20.76,0.0,34.34
20150203,21.92,0.0,39.28
20150204,23.1,0.0,36.6
20150205,22.81,0.0,42.57
20150206,22.54,0.0,38.49
20150207,23.24,0.0,39.98
20150208,24.57,0.15,41.08
20150209,23.78,0.06,41.81
20150210,24.0,3.3,43.76
20150211,24.0,0.81,50.7
20150212,23.94,0.01,49.93
20150213,23.23,0.0,34.98
20150214,23.29,0.0,27.05
20150215,25.04,0.0,24.82
20150216,24.84,0.0,27.13
20150217,24.99,0.0,24.07
20150218,25.19,0.0,20.96
20150219,24.96,0.0,27.38
20150220,26.08,0.0,29.55
20150221,26.55,1.69,28.07
20150222,26.32,0.0,26.37
20150223,26.32,0.0,25.95
20150224,26.84,0.0,23.71
20150225,27.05,0.0,23.34
20150226,26.59,0.0,26.7
20150227,26.55,0.0,27.42
20150228,26.36,10.73,34.64
20150301,23.23,7.48,73.06
20150302,22.67,15.51,71.21
20150303,22.29,0.02,55.55
20150304,20.72,0.0,42.29
20150305,22.82,0.0,40.91
20150306,24.2,0.0,42.96
20150307,24.96,0.0,40.79
20150308,25.68,0.0,40.07
20150309,25.48,1.98,54.6
20150310,26.39,0.22,48.11
20150311,25.94,0.0,49.15
20150312,26.73,2.85,48.36
20150313,27.64,0.24,45.32
20150314,26.6,2.09,49.03
20150315,26.58,5.48,51.49
20150316,26.51,2.06,60.77
20150317,27.1,0.0,51.73
20150318,26.2,0.0,39.79
20150319,26.55,0.0,36.09
20150320,27.66,0.0,32.08
20150321,28.84,0.0,30.03
20150322,30.13,0.0,30.92
20150323,31.16,0.0,27.62
20150324,31.04,0.0,28.14
20150325,30.63,0.0,22.72
20150326,31.19,0.0,19.93
20150327,31.16,0.0,24.58
20150328,32.23,0.21,27.43
20150329,31.48,3.33,35.88
20150330,29.09,0.36,40.35
20150331,30.11,0.0,38.77
20150401,30.77,0.0,21.79
20150402,30.76,0.0,18.81
20150403,31.13,0.0,23.62
20150404,30.27,0.0,21.05
20150405,30.4,0.0,31.19
20150406,31.28,0.0,24.07
20150407,32.19,0.1,24.7
20150408,32.64,0.16,35.61
20150409,31.88,12.2,39.12
20150410,30.84,1.41,49.43
20150411,28.98,4.06,55.88
20150412,25.69,6.83,62.43
20150413,23.5,12.44,70.98
20150414,24.72,10.16,62.51
20150415,25.17,0.49,62.16
20150416,27.71,0.01,53.64
20150417,29.85,0.0,47.54
20150418,31.34,0.0,43.42
20150419,31.98,0.0,40.79
20150420,32.49,0.0,39.49
20150421,32.96,0.0,37.01
20150422,33.48,0.0,32.0
20150423,32.79,0.03,28.69
20150424,32.55,0.02,21.39
20150425,32.82,0.0,25.0
20150426,33.09,0.28,27.95
20150427,34.16,0.12,32.89
20150428,35.27,0.44,21.81
20150429,35.32,0.0,21.44
20150430,35.28,0.0,18.85
20150501,34.94,0.0,18.19
20150502,35.45,0.0,19.1
20150503,35.35,0.01,17.48
20150504,34.58,3.64,30.91
20150505,34.73,0.0,32.45
20150506,34.96,0.0,23.47
20150507,35.57,0.0,20.12
20150508,36.21,0.0,15.96
20150509,35.55,0.0,18.11
20150510,34.79,0.02,24.14
20150511,35.61,0.17,28.26
20150512,35.6,0.36,32.49
20150513,35.44,0.2,29.72
20150514,34.15,0.29,33.56
20150515,32.09,18.1,47.04
20150516,31.5,5.16,54.88
20150517,32.97,0.0,45.97
20150518,34.68,0.0,40.38
20150519,36.42,0.0,29.29
20150520,37.26,0.0,23.92
20150521,37.25,0.0,21.14
20150522,37.88,0.0,21.61
20150523,37.28,0.0,19.57
20150524,36.87,0.01,25.66
20150525,37.2,0.27,27.96
20150526,37.41,0.0,26.08
20150527,38.23,0.22,24.14
20150528,38.35,0.06,22.3
20150529,39.09,0.16,22.46
20150530,39.51,0.0,19.26
20150531,39.2,0.02,17.99
20150601,37.35,0.09,29.07
20150602,36.64,1.45,30.43
20150603,36.96,0.0,28.35
20150604,37.67,0.02,28.14
20150605,35.92,0.1,34.43
20150606,36.92,1.68,30.9
20150607,35.56,3.02,38.82
20150608,35.59,0.03,37.04
20150609,36.1,0.01,34.9
20150610,36.52,0.28,34.52
20150611,34.88,6.19,43.65
20150612,29.7,13.62,70.66
20150613,28.94,36.93,71.51
20150614,27.58,29.03,78.65
20150615,28.27,5.91,75.08
20150616,28.24,34.09,78.15
20150617,28.53,15.56,79.17
20150618,27.87,39.62,83.08
