,T2M,Rain,Humidity
20150101,22.09,0.21,83.63
20150102,21.07,0.0,79.74
20150103,21.4,0.0,77.36
20150104,21.81,0.0,75.52
20150105,22.42,0.0,74.68
20150106,22.24,0.0,75.74
20150107,22.51,0.0,76.83
20150108,22.21,0.0,77.86
20150109,22.55,0.0,75.84
20150110,22.31,0.0,69.44
20150111,20.49,0.0,52.44
20150112,20.36,0.0,59.73
20150113,20.22,0.0,60.03
20150114,20.6,0.0,60.58
20150115,20.74,0.0,64.44
20150116,21.57,0.0,66.1
20150117,22.3,0.0,69.54
20150118,22.95,0.0,69.21
20150119,22.73,0.0,68.66
20150120,22.48,0.0,68.27
20150121,22.22,0.01,68.33
20150122,22.03,0.02,61.62
20150123,22.03,0.0,65.93
20150124,23.1,0.0,70.21
20150125,23.91,0.0,65.24
20150126,22.58,0.0,55.63
20150127,22.76,0.0,62.36
20150128,23.56,0.0,65.61
20150129,23.89,0.0,68.38
20150130,23.98,0.0,66.86
20150131,24.15,0.0,59.74
20150201,23.56,0.0,60.57
20150202,23.23,0.0,56.53
20150203,22.57,0.0,53.37
20150204,23.09,0.0,55.26
20150205,23.9,0.0,58.21
20150206,24.28,0.0,56.63
20150207,23.96,0.01,59.98
20150208,23.11,0.01,60.55
20150209,23.77,0.01,54.38
20150210,23.35,0.0,54.01
20150211,24.3,0.0,57.02
20150212,24.77,0.01,60.47
20150213,24.88,0.09,61.49
20150214,25.07,0.01,56.81
20150215,24.76,0.0,58.89
20150216,24.36,0.0,54.74
20150217,24.4,0.0,59.98
20150218,24.54,0.0,59.75
20150219,24.89,0.0,63.14
20150220,24.4,0.0,50.72
20150221,23.96,0.0,42.62
20150222,24.21,0.0,41.53
20150223,24.1,0.0,40.78
20150224,24.11,0.0,41.4
20150225,24.85,0.0,54.7
20150226,24.98,0.0,64.08
20150227,25.7,0.01,65.11
20150228,25.14,0.39,66.99
20150301,25.41,0.2,67.35
20150302,25.53,0.72,67.79
20150303,25.3,2.73,68.75
20150304,25.38,0.84,67.19
20150305,26.77,0.02,59.64
20150306,25.58,8.45,70.04
20150307,25.19,1.98,71.21
20150308,24.93,0.86,68.11
20150309,25.29,0.8,65.86
20150310,25.23,0.34,59.71
20150311,25.2,0.01,49.8
20150312,26.06,0.01,54.61
20150313,26.28,0.21,54.9
20150314,26.28,0.68,54.12
20150315,25.15,10.99,72.71
20150316,24.83,8.31,74.77
20150317,25.58,0.36,64.8
20150318,25.95,0.0,63.29
20150319,26.34,0.0,64.22
20150320,25.89,0.0,54.89
20150321,25.81,0.0,51.17
20150322,25.81,0.0,53.49
20150323,27.02,0.0,64.88
20150324,27.57,0.0,61.87
20150325,26.91,0.0,59.32
20150326,26.22,0.0,54.99
20150327,26.36,0.04,48.83
20150328,26.82,0.12,51.13
20150329,27.07,0.25,60.28
20150330,27.18,0.48,62.02
20150331,26.0,1.17,70.55
20150401,25.74,2.46,72.98
20150402,26.27,0.79,72.94
20150403,25.8,3.02,75.8
20150404,27.27,0.82,67.87
20150405,27.14,0.07,66.96
20150406,27.05,0.87,68.98
20150407,26.95,1.98,70.61
20150408,26.29,0.85,69.22
20150409,26.61,4.87,65.24
20150410,25.39,5.61,77.84
