,T2M,Rain,Humidity
20150101,25.58,1.1,76.63
20150102,25.79,0.05,79.79
20150103,25.97,0.31,78.57
20150104,26.46,0.01,73.29
20150105,25.91,0.02,72.07
20150106,25.4,0.03,69.94
20150107,25.4,0.0,66.37
20150108,25.11,0.0,67.95
20150109,24.54,0.0,62.59
20150110,23.76,0.0,55.91
20150111,23.41,0.0,59.62
20150112,23.82,0.0,60.37
20150113,23.86,0.0,66.9
20150114,23.89,0.0,67.25
20150115,24.23,0.0,67.96
20150116,24.35,0.0,64.26
20150117,24.33,0.0,62.92
20150118,24.24,0.0,55.39
20150119,23.72,0.0,59.56
20150120,23.62,0.0,62.54
20150121,23.23,0.0,61.52
20150122,22.94,0.0,63.63
20150123,23.34,0.0,66.43
20150124,23.64,0.0,65.97
20150125,24.44,0.0,67.86
20150126,24.59,0.0,66.93
20150127,24.28,0.0,68.04
20150128,24.61,0.0,72.98
20150129,25.13,0.02,70.56
20150130,25.06,0.0,69.83
20150131,25.02,0.04,71.52
20150201,24.78,0.72,75.47
20150202,24.66,0.0,69.22
20150203,24.42,0.0,64.65
20150204,24.1,0.0,63.24
20150205,24.59,0.0,62.32
20150206,24.39,0.0,64.62
20150207,25.15,0.0,65.05
20150208,25.14,0.0,61.28
20150209,25.28,0.0,64.08
20150210,24.96,0.01,71.06
20150211,25.19,0.0,68.61
20150212,25.51,0.0,69.86
20150213,25.95,0.0,68.51
20150214,26.53,0.0,66.26
20150215,26.64,0.0,67.15
20150216,26.41,0.0,69.92
20150217,26.36,0.0,68.54
20150218,26.36,0.0,66.96
20150219,26.62,0.0,67.27
20150220,26.26,0.15,67.8
20150221,26.83,0.01,58.65
20150222,27.12,0.0,54.97
20150223,26.68,0.0,55.48
20150224,26.31,0.0,61.31
20150225,26.64,0.0,61.39
20150226,26.26,0.0,59.36
20150227,26.06,0.0,61.36
20150228,26.01,0.0,67.42
20150301,26.34,0.2,69.84
20150302,27.35,0.03,67.62
20150303,27.38,0.04,70.53
20150304,27.77,0.12,72.05
20150305,28.19,0.06,68.28
20150306,27.87,0.04,68.39
20150307,27.98,0.2,66.92
20150308,27.85,0.43,68.62
20150309,28.0,0.04,66.29
20150310,27.97,0.0,56.47
20150311,27.62,0.0,59.88
20150312,27.9,0.0,63.68
20150313,28.45,0.0,60.1
20150314,28.58,0.0,61.71
20150315,28.42,0.0,63.45
20150316,28.11,0.0,62.43
20150317,28.79,0.0,57.89
20150318,29.1,0.0,58.5
20150319,29.53,0.0,57.21
20150320,29.79,0.0,57.93
20150321,30.47,0.0,54.07
20150322,30.58,0.0,54.76
20150323,30.13,0.0,60.38
20150324,29.95,0.06,65.36
20150325,29.51,0.15,66.93
20150326,29.11,0.1,66.65
20150327,29.21,0.02,64.14
20150328,29.06,0.05,67.7
20150329,29.39,0.11,67.5
20150330,29.0,0.14,68.93
20150331,29.41,0.46,68.97
20150401,29.62,0.05,67.86
20150402,29.79,0.01,69.27
20150403,30.71,0.02,68.48
20150404,31.1,0.03,68.51
20150405,30.97,0.02,67.43
20150406,30.4,0.13,69.26
20150407,29.7,0.05,69.8
20150408,29.7,0.07,70.02
20150409,29.76,0.01,67.29
20150410,30.18,0.03,61.37
20150411,30.17,0.04,61.46
20150412,29.53,1.13,62.94
20150413,28.66,1.95,61.37
20150414,28.8,2.45,63.44
20150415,28.6,2.21,66.27
20150416,28.88,1.54,68.13
20150417,29.02,1.22,68.01
20150418,30.3,0.33,64.29
20150419,30.5,0.04,65.72
20150420,30.58,0.04,68.49
20150421,30.7,0.15,71.6
20150422,31.23,0.37,69.58
20150423,30.74,0.8,71.8
20150424,29.65,2.93,74.49
20150425,30.25,0.44,65.86
20150426,29.61,0.7,67.32
20150427,30.14,0.64,69.04
20150428,30.36,1.28,69.61
20150429,30.36,3.5,71.38
20150430,30.02,3.24,75.35
20150501,29.99,0.69,76.14
20150502,30.41,0.56,72.06
20150503,30.4,0.31,70.59
20150504,29.9,0.15,73.35
20150505,29.85,0.1,69.06
20150506,30.75,0.25,66.77
20150507,30.9,0.11,67.89
20150508,31.67,0.22,65.53
20150509,31.1,0.3,69.39
20150510,30.86,0.31,68.97
20150511,31.25,0.19,64.62
20150512,32.01,0.13,62.52
20150513,31.21,0.36,66.6
20150514,31.03,0.45,69.21
20150515,30.8,0.6,71.13
20150516,30.07,4.82,69.9
