,T2M,Rain,Humidity
20150101,18.01,0.0,73.87
20150102,20.04,0.0,74.8
20150103,20.16,1.1,81.32
20150104,19.28,7.86,88.76
20150105,17.18,0.21,81.39
20150106,15.54,0.0,77.29
20150107,16.02,0.0,80.76
20150108,16.77,0.1,75.97
20150109,16.11,0.26,82.61
20150110,16.12,0.0,73.5
20150111,15.49,0.0,76.26
20150112,16.07,0.0,77.96
20150113,17.43,0.0,70.21
20150114,18.2,0.0,69.76
20150115,18.43,0.0,70.61
20150116,18.23,0.03,69.59
20150117,18.31,0.24,72.23
20150118,16.97,0.28,77.77
20150119,16.38,0.0,72.24
20150120,15.82,0.0,77.26
20150121,16.94,0.0,73.95
20150122,18.14,0.0,74.82
20150123,18.21,0.0,76.44
20150124,17.37,0.0,69.71
20150125,17.07,0.0,70.63
20150126,16.54,0.0,66.15
20150127,17.08,0.0,66.02
20150128,18.56,0.0,72.26
20150129,18.01,0.0,71.3
20150130,16.76,0.62,76.15
20150131,14.32,0.0,69.06
20150201,14.69,0.0,65.6
20150202,16.89,0.0,63.74
20150203,17.99,0.0,66.62
20150204,18.42,0.0,65.62
20150205,18.13,0.0,62.12
20150206,16.3,0.0,60.16
20150207,16.18,0.0,59.78
20150208,17.09,0.0,65.32
20150209,17.81,0.0,65.1
20150210,18.02,0.0,69.09
20150211,17.81,0.0,63.27
20150212,17.39,0.0,56.93
20150213,17.39,0.0,57.51
20150214,17.58,0.08,64.25
20150215,18.02,0.02,64.39
20150216,19.01,0.0,66.46
20150217,19.84,0.01,67.18
20150218,19.87,4.41,66.17
20150219,19.24,0.37,67.49
20150220,19.22,0.06,74.32
20150221,20.45,2.54,72.09
20150222,20.91,0.27,68.95
20150223,21.44,0.0,68.58
20150224,22.45,0.0,63.16
20150225,22.79,0.06,63.89
20150226,22.8,3.15,69.8
20150227,22.99,3.13,67.33
20150228,23.52,0.0,64.76
20150301,23.04,0.0,70.62
20150302,24.01,0.02,67.69
20150303,22.81,0.02,59.3
20150304,21.49,1.92,60.65
20150305,20.39,0.04,59.23
20150306,18.92,0.07,50.9
20150307,19.79,0.11,55.83
20150308,20.56,0.0,56.77
20150309,22.02,0.0,54.4
20150310,22.53,0.0,45.22
20150311,21.6,0.0,41.51
20150312,22.16,0.0,45.56
20150313,22.59,0.0,40.9
20150314,23.81,0.0,44.26
20150315,24.82,0.0,49.41
20150316,25.28,0.0,43.97
20150317,25.49,0.0,47.89
20150318,24.84,0.0,48.51
20150319,23.43,0.0,46.64
20150320,22.34,0.0,42.99
20150321,23.82,0.0,48.27
20150322,24.41,0.0,45.3
20150323,25.89,0.0,46.49
20150324,25.27,0.0,54.74
20150325,26.28,0.17,55.67
20150326,25.87,0.22,58.59
20150327,24.29,12.07,68.01
20150328,23.84,1.61,71.77
20150329,25.52,0.02,66.52
20150330,26.25,2.7,62.69
20150331,24.49,0.47,68.65
20150401,25.37,2.71,61.19
20150402,25.02,18.2,67.02
20150403,25.68,3.03,68.64
20150404,25.39,17.2,73.61
20150405,24.17,13.19,76.43
20150406,24.01,4.36,72.48
20150407,24.92,0.02,65.64
20150408,25.11,2.13,68.68
20150409,25.73,1.0,63.28
20150410,25.78,0.79,61.9
20150411,25.89,1.26,63.44
20150412,25.72,0.03,64.71
20150413,24.59,0.26,70.83
20150414,26.57,0.03,62.07
20150415,25.95,0.17,62.7
20150416,26.07,0.0,61.37
20150417,26.95,2.51,55.56
20150418,24.61,32.52,73.39
20150419,25.68,8.82,71.36
20150420,26.49,7.78,68.2
20150421,25.13,28.94,82.78
20150422,25.8,8.29,77.53
20150423,26.82,11.09,74.38
20150424,25.04,11.04,78.51
20150425,22.9,5.09,84.17
20150426,22.57,0.87,82.71
20150427,24.16,0.17,74.1
20150428,24.32,5.92,76.33
20150429,24.68,7.33,76.15
20150430,25.16,3.02,73.39
20150501,26.4,8.09,70.98
20150502,26.27,6.8,73.62
20150503,26.64,4.55,73.61
20150504,27.0,7.04,70.91
20150505,26.72,0.8,67.24
20150506,27.27,6.84,70.23
20150507,27.3,7.2,71.25
20150508,25.31,1.14,79.03
20150509,27.17,0.54,70.06
20150510,27.62,7.5,73.65
20150511,27.01,0.92,76.52
20150512,26.34,2.38,77.28
20150513,27.0,6.19,74.89
20150514,27.65,29.14,76.55
20150515,28.19,12.72,76.15
20150516,26.28,8.45,84.84
20150517,25.56,6.33,80.87
20150518,26.8,15.94,76.49
20150519,28.6,0.19,72.23
20150520,27.69,0.0,78.87
20150521,29.22,6.73,72.92
20150522,28.81,10.63,72.66
20150523,28.31,19.77,75.97
20150524,27.87,20.23,78.69
20150525,27.73,26.3,78.63
20150526,28.08,5.73,74.65
20150527,27.11,12.55,80.01
20150528,27.52,30.0,80.38
20150529,27.52,10.46,81.35
20150530,28.21,20.13,81.11
20150531,27.96,13.26,80.87
20150601,27.82,6.15,81.34
20150602,28.14,12.25,79.6
20150603,27.86,20.66,83.26
20150604,28.51,6.58,80.35
20150605,28.42,2.92,79.11
20150606,28.35,6.41,79.34
20150607,28.1,15.06,81.01
20150608,28.65,24.18,78.87
20150609,28.61,14.9,79.5
20150610,27.74,50.36,84.03
20150611,26.42,27.75,88.97
20150612,26.95,13.28,83.36
20150613,26.9,10.59,82.24
20150614,27.25,1.97,83.31
20150615,26.94,15.76,86.6
20150616,26.65,21.38,86.44
20150617,28.15,3.98,80.06
20150618,28.58,4.73,78.7
20150619,29.9,1.47,73.62
20150620,27.64,1.89,87.97
20150621,28.52,10.83,81.5
20150622,27.87,12.42,83.29
20150623,28.1,13.53,84.38
20150624,28.27,5.16,86.45
20150625,28.97,6.94,85.05
20150626,27.27,10.75,90.65
20150627,27.79,11.8,84.11
20150628,28.02,5.18,80.24
20150629,28.62,0.32,78.66
20150630,28.65,4.66,79.09
20150701,28.41,4.11,82.36
20150702,29.19,9.13,78.57
20150703,28.93,4.38,81.06
20150704,29.04,10.32,81.12
20150705,28.29,13.91,86.68
20150706,27.79,10.5,89.83
20150707,27.08,2.58,90.02
20150708,26.79,1.99,90.55
20150709,27.14,1.92,88.72
20150710,27.23,10.43,83.48
20150711,28.15,9.91,82.95
20150712,28.73,2.83,80.33
20150713,29.95,7.18,78.72
20150714,28.59,32.17,88.26
20150715,27.02,32.72,92.78
20150716,26.82,5.48,91.33
20150717,26.68,4.45,86.62
20150718,27.05,1.45,84.4
20150719,26.21,20.43,87.37
20150720,26.36,12.62,87.15
20150721,27.28,6.9,88.29
20150722,26.23,10.97,93.51
20150723,26.71,7.37,88.99
20150724,27.31,26.27,86.51
20150725,27.0,7.89,85.19
20150726,27.62,0.03,79.12
20150727,27.44,0.45,81.01
20150728,27.62,0.15,81.09
20150729,27.9,0.25,85.06
20150730,27.05,0.96,87.64
20150731,24.94,9.52,92.73
20150801,25.87,4.59,89.05
20150802,27.78,1.17,80.88
20150803,26.97,1.62,81.92
20150804,27.24,8.17,84.77
20150805,27.23,0.39,85.28
20150806,27.49,2.0,83.26
20150807,26.72,9.79,91.36
20150808,28.01,15.59,80.45
20150809,29.32,3.58,78.78
20150810,27.07,12.42,87.88
20150811,28.12,2.3,83.21
20150812,28.82,24.38,82.65
20150813,28.74,7.34,81.81
20150814,28.31,4.48,84.09
20150815,27.77,2.96,88.33
20150816,28.09,3.1,84.02
20150817,27.72,18.83,85.48
20150818,26.86,23.52,88.97
20150819,27.36,22.77,89.88
20150820,26.9,30.99,92.84
20150821,26.36,7.82,92.05
20150822,27.3,4.62,85.8
20150823,26.59,4.68,91.5
20150824,27.85,12.11,85.08
20150825,28.77,6.61,83.43
20150826,27.18,1.03,90.07
20150827,27.42,27.66,89.09
20150828,26.96,7.22,86.35
20150829,26.45,32.17,91.77
20150830,26.74,28.19,91.59
20150831,26.29,38.86,94.71
20150901,27.24,5.92,86.96
20150902,26.74,10.89,86.96
20150903,25.9,13.09,92.02
20150904,25.33,23.75,94.12
20150905,26.8,3.45,86.24
20150906,27.75,0.69,80.98
20150907,27.1,1.17,84.73
20150908,27.52,4.73,82.25
20150909,27.37,0.6,84.07
20150910,28.12,4.23,84.26
20150911,27.25,12.38,86.71
20150912,27.46,6.37,86.63
20150913,27.29,1.66,86.83
20150914,25.91,15.71,95.01
20150915,26.49,6.78,90.08
20150916,28.34,0.06,81.46
20150917,27.9,0.0,85.7
20150918,27.18,0.21,89.35
20150919,27.01,5.0,88.25
20150920,25.32,9.95,90.61
20150921,26.36,14.64,88.65
20150922,26.48,8.36,91.62
20150923,26.81,42.18,88.94
20150924,26.15,15.34,92.02
20150925,26.87,0.41,84.45
20150926,26.52,0.0,80.54
20150927,26.54,0.0,76.6
20150928,26.83,0.0,79.37
20150929,27.52,0.0,79.8
20150930,27.97,0.0,80.1
20151001,27.44,0.51,83.06
20151002,26.34,3.0,90.2
20151003,27.08,1.7,82.81
20151004,26.66,0.0,79.85
20151005,25.78,2.52,83.54
20151006,26.15,6.73,84.21
20151007,26.44,1.23,82.9
20151008,25.41,5.02,91.37
20151009,25.69,3.02,88.02
20151010,26.2,8.11,76.83
20151011,24.82,10.46,85.51
20151012,23.94,0.27,83.96
20151013,23.08,1.92,86.48
20151014,22.67,2.11,87.24
20151015,24.11,0.35,82.28
20151016,23.41,1.31,87.66
20151017,24.64,0.37,84.4
20151018,24.51,0.01,81.42
20151019,25.63,0.0,77.64
20151020,24.71,0.0,84.85
20151021,25.55,0.0,79.12
20151022,25.43,6.01,80.98
20151023,24.57,5.51,81.96
20151024,23.3,0.03,83.05
20151025,23.53,0.0,80.93
20151026,24.0,0.0,76.21
20151027,23.54,0.0,78.51
20151028,23.0,0.0,80.25
20151029,22.95,0.0,82.75
20151030,23.18,0.0,82.02
20151031,21.74,1.72,89.61
20151101,21.57,0.57,84.53
20151102,22.68,0.07,82.07
20151103,22.61,6.75,87.52
20151104,21.97,8.01,86.35
20151105,21.47,2.34,83.06
20151106,22.04,0.0,79.31
20151107,22.01,0.0,75.83
20151108,20.79,0.0,83.34
20151109,20.49,0.0,83.48
20151110,21.72,0.0,78.94
20151111,21.33,0.0,82.36
20151112,21.93,0.0,80.7
20151113,21.39,0.0,82.13
20151114,21.41,0.0,81.76
20151115,21.76,0.0,81.59
20151116,20.96,0.0,81.83
20151117,20.84,0.0,81.88
20151118,20.51,0.0,85.91
20151119,19.79,0.0,81.95
20151120,19.59,0.0,83.41
20151121,19.92,0.0,82.85
20151122,20.3,0.0,82.17
20151123,20.32,0.0,77.42
20151124,19.73,0.0,76.02
20151125,19.87,0.0,78.8
20151126,20.64,0.0,81.46
20151127,20.27,0.0,84.24
20151128,20.56,0.0,81.71
20151129,20.52,0.0,82.52
20151130,20.85,0.0,79.86
20151201,20.52,0.0,86.03
20151202,20.58,0.0,83.39
20151203,19.7,25.84,86.11
20151204,19.16,2.38,84.78
20151205,17.98,0.0,87.52
20151206,17.89,0.0,86.57
20151207,18.51,0.41,82.04
20151208,18.9,0.38,79.0
20151209,18.96,0.0,78.21
20151210,18.15,0.0,84.99
20151211,17.66,0.02,82.9
20151212,17.49,0.38,84.07
20151213,18.41,0.36,87.07
20151214,16.44,0.31,83.39
20151215,15.06,0.12,79.26
20151216,14.91,0.0,80.5
20151217,15.75,0.0,75.29
20151218,14.22,0.64,80.62
20151219,14.33,0.06,76.26
20151220,14.36,0.0,81.04
20151221,14.15,0.0,72.55
20151222,14.05,0.0,79.04
20151223,14.54,0.0,73.99
20151224,15.14,0.0,70.46
20151225,14.58,0.0,73.6
20151226,14.33,0.0,77.8
20151227,15.39,0.0,71.48
20151228,16.13,0.0,73.92
