,T2M,Rain,Humidity
20150101,14.57,0.0,65.52
20150102,17.49,0.09,68.13
20150103,16.87,1.72,84.51
20150104,15.49,6.32,89.91
20150105,12.48,0.39,86.58
20150106,11.79,0.0,76.99
20150107,11.77,0.0,78.81
20150108,12.11,0.0,76.84
20150109,12.52,0.0,74.6
20150110,11.63,0.0,72.95
20150111,11.69,0.0,78.07
20150112,12.18,0.0,83.58
20150113,12.68,0.0,82.41
20150114,14.34,0.0,75.8
20150115,14.42,0.0,78.67
20150116,13.76,0.01,72.7
20150117,14.3,1.99,68.34
20150118,12.96,0.65,70.56
20150119,12.17,0.0,68.26
20150120,11.85,0.0,75.81
20150121,12.67,0.0,83.25
20150122,13.76,0.0,78.78
20150123,13.49,0.0,73.78
20150124,12.64,0.0,71.65
20150125,13.11,0.0,66.32
20150126,13.75,0.0,53.92
20150127,13.84,0.0,63.64
20150128,13.63,0.0,80.55
20150129,13.45,0.0,75.76
20150130,11.66,0.56,84.52
20150131,10.65,0.0,53.8
20150201,11.2,0.0,60.43
20150202,12.68,0.0,66.23
20150203,14.35,0.0,66.34
20150204,14.07,0.0,64.79
20150205,14.16,0.0,58.53
20150206,12.8,0.0,50.34
20150207,14.1,0.0,46.0
20150208,14.24,0.0,56.86
20150209,13.55,0.0,67.37
20150210,13.84,0.0,68.25
20150211,14.54,0.0,51.3
20150212,13.63,0.0,49.1
20150213,12.87,0.0,64.53
20150214,13.05,0.35,64.94
20150215,14.37,0.04,60.42
20150216,15.62,0.0,62.38
20150217,16.36,0.58,63.68
20150218,16.23,7.08,66.23
20150219,14.49,6.16,82.9
20150220,15.17,0.01,80.83
20150221,15.68,5.21,79.75
20150222,16.08,0.46,77.44
20150223,16.89,0.0,75.95
20150224,17.6,0.02,71.18
20150225,17.81,0.0,74.88
20150226,17.02,6.05,83.54
20150227,17.04,0.5,81.73
20150228,17.64,0.0,75.07
20150301,19.69,0.0,71.76
20150302,19.25,0.03,75.78
20150303,17.16,0.08,69.91
20150304,15.09,5.05,79.29
20150305,14.77,0.08,67.37
20150306,14.28,0.0,51.43
20150307,15.28,0.0,54.5
20150308,16.8,0.0,53.51
20150309,18.26,0.0,49.51
20150310,17.45,0.0,48.24
20150311,16.69,0.0,45.24
20150312,18.37,0.0,40.58
20150313,17.7,0.0,46.51
20150314,18.27,0.0,58.68
20150315,18.59,0.0,60.66
20150316,18.48,0.0,64.0
20150317,17.78,0.0,69.64
20150318,18.23,0.0,64.85
20150319,17.77,0.0,54.59
20150320,17.98,0.0,43.05
20150321,19.47,0.0,52.45
20150322,20.65,0.0,43.52
20150323,21.83,0.0,48.91
20150324,21.1,0.0,58.13
20150325,21.84,0.01,59.63
20150326,20.33,0.01,70.98
20150327,18.83,15.44,78.01
20150328,18.55,2.9,85.26
20150329,19.45,0.16,81.76
20150330,19.58,6.18,81.61
20150331,19.16,1.51,82.27
20150401,19.38,9.12,78.4
20150402,19.69,25.06,87.16
20150403,20.23,14.87,84.4
20150404,20.73,28.39,85.82
20150405,19.84,30.1,89.84
20150406,18.84,3.28,83.26
20150407,20.01,0.06,72.27
20150408,19.53,4.03,84.0
20150409,19.47,3.11,83.13
20150410,19.52,0.18,77.19
20150411,19.41,8.49,80.94
20150412,20.67,0.52,76.15
20150413,19.87,0.17,79.28
20150414,22.11,0.0,63.34
20150415,21.16,0.0,67.23
20150416,20.28,0.0,76.28
20150417,20.0,0.79,76.46
20150418,19.63,39.51,87.58
20150419,20.29,32.75,87.57
20150420,20.69,25.99,86.38
20150421,21.57,31.93,90.17
20150422,21.99,23.08,90.48
20150423,21.68,20.09,89.75
20150424,19.83,13.25,90.95
20150425,19.91,6.34,79.1
20150426,18.46,0.27,87.69
20150427,19.17,0.11,81.5
20150428,19.59,8.51,84.16
20150429,19.6,12.98,86.65
20150430,20.48,8.67,79.17
20150501,20.34,13.54,86.5
20150502,20.95,15.55,91.07
20150503,21.55,5.89,87.6
20150504,21.61,5.96,86.08
20150505,21.17,10.95,86.67
20150506,21.32,4.5,87.33
20150507,21.58,8.21,85.63
20150508,20.53,4.27,88.01
20150509,21.66,0.86,78.39
20150510,21.68,32.47,89.81
20150511,21.22,3.61,92.09
20150512,21.03,3.37,92.55
20150513,21.61,9.32,88.73
20150514,22.34,39.48,91.24
20150515,22.8,21.3,91.45
20150516,21.28,13.04,93.56
20150517,20.99,12.71,90.89
20150518,21.47,3.0,87.42
20150519,22.36,0.01,86.3
20150520,23.2,0.24,84.71
20150521,23.28,10.36,87.33
20150522,23.18,7.7,88.28
20150523,23.46,16.02,88.28
20150524,23.33,20.82,89.44
20150525,22.91,27.62,90.46
20150526,22.72,20.78,88.07
20150527,22.55,28.97,91.77
20150528,23.07,25.85,91.29
20150529,23.44,20.1,90.7
20150530,23.53,34.91,91.8
20150531,23.21,23.59,92.59
20150601,23.14,13.52,93.61
20150602,23.1,8.42,92.45
20150603,23.2,17.45,92.02
20150604,23.29,2.95,91.76
20150605,23.16,0.2,90.61
20150606,23.16,5.97,92.59
20150607,23.3,9.11,93.57
20150608,23.77,10.98,92.23
20150609,23.93,30.9,92.93
20150610,23.34,91.03,94.45
20150611,22.74,75.72,94.27
20150612,22.68,37.53,95.26
20150613,22.18,34.53,95.0
