,T2M,Rain,Humidity
20150101,13.86,0.0,65.38
20150102,14.64,0.0,66.17
20150103,14.9,0.31,74.43
20150104,13.99,3.34,89.83
20150105,12.71,1.36,91.66
20150106,13.07,0.11,82.41
20150107,11.21,0.01,80.44
20150108,12.43,0.01,80.59
20150109,12.42,0.0,76.99
20150110,11.78,0.0,79.5
20150111,11.57,0.0,72.93
20150112,10.83,0.0,78.03
20150113,11.17,0.0,74.73
20150114,10.44,0.0,76.98
20150115,11.26,0.0,76.63
20150116,11.92,0.0,77.16
20150117,12.84,0.0,72.51
20150118,12.14,0.0,70.24
20150119,10.07,0.0,82.35
20150120,11.42,0.0,70.84
20150121,12.66,0.0,63.99
20150122,12.25,0.0,71.23
20150123,11.9,0.22,84.36
20150124,12.13,0.05,83.95
20150125,13.05,0.0,83.38
20150126,13.66,0.0,83.05
20150127,13.2,0.0,84.49
20150128,12.63,0.0,88.16
20150129,12.89,0.32,85.31
20150130,11.11,1.32,88.77
20150131,10.96,0.62,74.78
20150201,11.62,0.02,60.51
20150202,12.25,0.0,59.6
20150203,12.86,0.0,62.18
20150204,12.63,0.0,75.79
20150205,13.19,0.0,78.14
20150206,12.74,0.0,75.37
20150207,13.01,0.0,73.38
20150208,12.67,0.0,76.58
20150209,12.79,0.0,79.92
20150210,13.09,0.03,81.51
20150211,14.59,0.0,73.77
20150212,13.41,3.85,77.08
20150213,12.46,3.62,78.26
20150214,11.75,1.8,81.5
20150215,12.2,0.02,79.89
20150216,11.62,0.01,79.69
20150217,14.69,0.0,66.22
20150218,14.13,0.3,69.1
20150219,10.39,1.05,84.51
20150220,12.27,0.58,81.65
20150221,12.67,1.3,87.54
20150222,13.72,1.7,79.83
20150223,15.14,0.0,80.03
20150224,15.92,0.0,81.65
20150225,16.28,2.57,83.82
20150226,16.1,11.65,88.91
20150227,16.12,3.09,87.79
20150228,16.44,0.18,81.6
20150301,16.62,0.0,80.96
20150302,16.8,0.17,83.27
20150303,15.6,3.39,83.89
20150304,14.44,4.41,82.4
20150305,13.4,3.22,82.26
20150306,13.23,2.81,77.48
20150307,13.25,1.88,80.56
20150308,14.96,0.0,70.19
20150309,16.51,0.0,65.32
20150310,17.0,1.97,64.99
20150311,16.86,0.08,65.98
20150312,17.77,0.0,63.92
20150313,18.19,0.0,68.07
20150314,16.29,0.14,72.8
20150315,16.92,0.01,71.89
20150316,17.08,0.04,75.0
20150317,16.21,0.37,78.31
20150318,16.79,1.94,73.54
20150319,15.93,1.09,68.13
20150320,17.26,0.01,56.84
20150321,18.65,0.0,56.33
20150322,19.79,0.0,55.22
20150323,20.31,0.04,58.48
20150324,17.16,0.01,69.33
20150325,18.49,0.0,68.66
20150326,19.12,0.0,72.1
20150327,17.67,3.72,85.62
20150328,15.89,3.8,91.82
20150329,18.18,0.38,76.07
20150330,18.43,7.06,83.34
20150331,17.58,4.77,85.23
20150401,17.46,19.28,86.33
20150402,14.68,19.37,88.71
20150403,16.27,8.56,77.72
20150404,17.77,31.47,87.31
20150405,17.81,10.35,88.26
20150406,17.1,4.77,84.93
20150407,17.46,0.52,79.86
20150408,15.96,10.26,81.09
20150409,18.19,18.35,85.0
20150410,17.9,3.4,82.79
