,T2M,Rain,Humidity
20150101,20.0,0.21,74.49
20150102,23.21,0.01,72.49
20150103,23.69,0.06,72.61
20150104,22.13,1.26,80.84
20150105,19.71,0.06,74.74
20150106,17.89,0.0,65.38
20150107,16.93,0.0,64.95
20150108,17.3,0.0,63.26
20150109,17.54,0.01,63.24
20150110,17.11,0.0,66.74
20150111,16.9,0.0,60.53
20150112,17.61,0.0,60.51
20150113,19.16,0.0,62.8
20150114,20.19,0.0,64.29
20150115,20.39,0.0,58.81
20150116,20.53,0.0,47.53
20150117,20.44,2.76,58.33
20150118,17.61,0.13,65.72
20150119,17.1,0.0,62.29
20150120,17.39,0.0,63.08
20150121,18.27,0.0,58.94
20150122,19.21,0.0,58.75
20150123,19.63,0.0,56.31
20150124,19.71,0.0,57.17
20150125,19.4,0.0,58.13
20150126,18.78,0.0,49.71
20150127,19.95,0.0,51.58
20150128,21.48,0.0,62.65
20150129,21.09,0.0,61.72
20150130,19.6,0.0,67.76
20150131,16.77,0.0,51.21
20150201,16.53,0.0,50.45
20150202,18.05,0.0,50.76
20150203,20.99,0.0,47.52
20150204,21.6,0.0,47.52
20150205,22.41,0.0,43.76
20150206,20.09,0.0,46.31
20150207,18.81,0.0,41.72
20150208,19.5,0.0,44.97
20150209,20.59,0.0,49.22
20150210,22.01,0.0,51.68
20150211,20.14,0.0,47.69
20150212,20.08,0.0,39.46
20150213,21.12,0.0,45.47
20150214,21.25,0.0,52.87
20150215,21.84,0.95,51.73
20150216,22.71,0.0,49.28
20150217,23.43,0.0,44.84
20150218,23.02,0.19,51.79
20150219,22.21,15.5,71.88
20150220,23.33,0.13,61.52
20150221,24.05,0.05,56.51
20150222,23.83,14.07,63.48
20150223,24.33,0.0,60.54
20150224,25.22,0.0,63.6
20150225,24.88,0.0,63.6
20150226,24.95,0.0,68.18
20150227,25.42,0.02,68.0
20150228,26.07,0.0,63.47
20150301,26.81,0.0,58.93
20150302,27.4,0.0,53.04
20150303,25.61,0.0,50.19
20150304,22.08,12.02,65.47
20150305,23.35,0.17,55.27
20150306,21.95,0.0,41.87
20150307,22.31,0.0,41.95
20150308,23.69,0.0,40.83
20150309,25.11,0.0,39.45
20150310,25.49,0.0,36.85
20150311,24.16,0.0,35.49
20150312,23.68,0.0,32.16
20150313,24.7,0.0,33.58
20150314,26.73,0.0,42.96
20150315,27.94,0.0,43.66
20150316,27.9,0.0,42.43
20150317,27.85,0.0,45.07
20150318,28.09,0.0,46.08
20150319,27.81,0.0,40.74
20150320,26.39,0.0,31.42
20150321,26.34,0.0,34.64
20150322,27.44,0.0,31.91
20150323,28.85,0.0,33.71
20150324,28.59,0.0,51.82
20150325,28.85,0.06,57.05
20150326,28.33,0.19,57.16
20150327,28.83,0.01,54.06
20150328,27.61,4.82,61.82
20150329,28.72,0.92,56.47
20150330,28.89,0.29,58.05
20150331,26.84,4.8,70.9
20150401,27.87,3.76,65.45
20150402,26.48,41.13,78.76
20150403,27.75,18.9,76.66
20150404,27.88,14.63,75.25
20150405,26.45,40.7,84.14
20150406,26.32,33.46,80.82
20150407,27.04,2.97,76.71
20150408,27.27,5.22,75.08
20150409,27.38,1.08,71.13
20150410,28.05,0.39,71.13
20150411,27.91,6.89,72.72
20150412,27.36,11.47,75.77
20150413,27.38,0.05,71.79
20150414,27.76,0.03,67.28
20150415,27.8,0.0,67.12
20150416,27.99,0.0,64.33
20150417,27.44,0.07,62.96
20150418,26.65,19.39,75.78
20150419,27.4,27.98,79.5
20150420,27.93,12.26,77.92
20150421,28.01,21.61,82.01
20150422,27.43,28.64,85.46
20150423,26.92,25.69,87.26
20150424,25.83,5.46,87.66
20150425,25.08,9.46,85.78
20150426,24.97,1.94,81.75
20150427,26.21,0.7,77.95
20150428,26.21,0.52,78.74
20150429,26.16,2.16,83.07
20150430,26.79,5.82,83.31
20150501,27.58,16.72,82.71
20150502,26.93,7.92,85.97
20150503,27.45,1.44,82.23
20150504,28.63,0.61,77.71
20150505,28.04,0.19,79.16
20150506,28.1,5.16,80.15
20150507,27.94,8.03,81.39
20150508,26.83,14.32,82.82
20150509,27.77,0.27,80.23
20150510,27.87,22.39,87.28
20150511,27.03,27.31,90.98
20150512,27.65,7.92,88.27
20150513,28.18,0.74,82.26
20150514,28.93,1.3,83.41
20150515,28.57,21.74,86.06
20150516,27.3,12.33,88.43
20150517,27.55,13.1,87.76
20150518,27.9,4.81,82.31
20150519,28.54,0.04,80.66
20150520,29.19,0.0,79.48
20150521,29.01,1.74,81.49
20150522,29.4,6.77,82.9
20150523,29.42,11.12,84.61
20150524,27.86,24.38,90.82
20150525,28.09,6.63,86.65
20150526,27.88,13.32,87.58
20150527,27.58,23.7,90.12
20150528,28.1,12.72,88.79
20150529,28.67,2.98,87.02
20150530,28.6,25.23,90.08
20150531,28.35,12.7,89.22
20150601,28.36,3.83,88.95
20150602,28.8,3.06,86.41
20150603,28.89,11.13,87.16
20150604,28.84,0.43,85.69
20150605,29.43,0.6,83.09
20150606,28.83,0.22,86.32
20150607,28.24,1.39,89.3
20150608,28.99,0.89,86.81
20150609,28.94,4.73,86.77
20150610,28.33,37.6,91.29
20150611,27.79,38.94,93.41
20150612,27.56,26.55,93.48
20150613,27.28,35.45,89.71
20150614,27.67,11.24,88.51
20150615,27.02,7.65,92.51
20150616,27.2,6.24,91.88
20150617,27.63,1.81,89.12
20150618,27.69,1.82,84.22
20150619,28.98,12.63,85.0
20150620,28.29,13.2,89.31
20150621,28.22,8.18,89.6
20150622,28.18,17.69,89.78
20150623,28.14,15.41,91.07
20150624,29.03,11.17,89.2
20150625,29.01,37.52,89.01
20150626,27.62,30.89,93.87
20150627,27.22,15.65,91.52
20150628,27.71,6.69,88.98
20150629,27.42,3.91,87.82
20150630,28.07,2.44,87.89
20150701,28.03,3.24,87.48
20150702,28.34,5.87,88.2
20150703,29.0,4.7,88.08
20150704,29.08,1.89,88.02
20150705,28.78,6.17,88.5
20150706,28.36,9.52,91.32
20150707,28.9,22.59,87.12
20150708,28.17,54.85,93.02
20150709,27.47,51.1,92.62
20150710,28.03,22.72,85.37
20150711,27.49,31.18,89.72
20150712,28.53,2.37,88.11
20150713,28.94,6.69,87.43
20150714,29.09,18.75,90.09
20150715,28.28,41.48,93.31
20150716,27.82,72.74,93.19
20150717,26.91,23.3,94.19
20150718,26.82,46.84,95.85
20150719,26.73,64.81,93.08
20150720,27.68,17.43,90.21
20150721,27.53,13.81,92.1
20150722,27.31,11.13,91.9
20150723,27.41,14.51,92.52
20150724,26.83,23.98,94.92
20150725,26.45,18.2,93.15
20150726,26.38,7.14,94.33
20150727,26.36,17.3,94.25
20150728,27.3,10.16,91.05
20150729,28.54,1.33,86.7
20150730,27.21,16.13,92.86
20150731,26.54,38.94,95.52
20150801,26.58,22.84,93.14
20150802,26.43,0.7,89.62
20150803,26.85,6.07,89.11
20150804,27.49,16.91,89.7
20150805,27.87,5.31,89.24
20150806,28.55,1.46,87.39
20150807,27.78,9.88,91.53
20150808,28.09,0.71,89.15
20150809,28.22,5.75,88.66
20150810,28.25,16.57,85.17
20150811,29.01,7.22,85.89
20150812,28.61,5.46,88.58
20150813,28.19,5.74,90.81
20150814,28.62,7.04,89.54
20150815,28.17,4.16,91.19
