,T2M,Rain,Humidity
20150101,25.26,0.89,55.43
20150102,24.83,0.71,59.82
20150103,25.13,0.58,55.96
20150104,24.2,0.0,58.36
20150105,23.87,0.0,51.37
20150106,23.55,0.0,42.93
20150107,23.06,0.0,36.11
20150108,22.08,0.0,33.96
20150109,21.04,0.0,26.55
20150110,19.79,0.0,25.53
20150111,19.59,0.0,23.89
20150112,19.58,0.0,26.01
20150113,20.14,0.0,28.94
20150114,20.41,0.0,38.07
20150115,21.05,0.0,51.2
20150116,21.83,0.0,47.79
20150117,21.51,0.0,38.78
20150118,21.96,0.0,37.54
20150119,22.12,0.0,42.38
20150120,22.96,0.0,53.61
20150121,22.94,0.0,57.68
20150122,22.38,0.0,45.45
20150123,22.86,0.0,47.72
20150124,22.89,0.0,47.25
20150125,23.18,0.0,44.63
20150126,23.38,0.0,49.06
20150127,23.29,0.0,47.36
20150128,23.27,0.0,50.74
20150129,23.9,0.0,52.16
20150130,24.25,0.0,49.4
20150131,23.94,0.0,42.82
20150201,23.92,0.0,47.16
20150202,23.88,0.0,48.95
20150203,23.46,0.0,49.94
20150204,22.91,0.0,47.24
20150205,23.67,0.0,35.17
20150206,23.21,0.0,37.46
20150207,23.79,0.0,41.79
20150208,23.62,0.0,43.03
20150209,24.05,0.0,49.05
20150210,24.14,0.0,48.66
20150211,24.11,0.0,47.71
20150212,24.97,0.0,41.2
20150213,25.69,0.0,34.71
20150214,25.82,0.0,26.92
20150215,26.41,0.0,25.3
20150216,25.68,0.0,29.4
20150217,26.27,0.0,29.84
20150218,26.45,0.0,22.45
20150219,26.14,0.0,25.63
20150220,26.17,0.0,32.39
20150221,26.2,0.0,39.51
20150222,26.55,0.0,30.29
20150223,26.08,0.0,30.39
20150224,25.99,0.0,29.97
20150225,25.79,0.0,25.61
20150226,25.95,0.0,21.28
20150227,27.33,0.0,28.69
20150228,25.92,0.91,39.5
20150301,26.42,1.27,55.23
20150302,27.4,2.15,50.8
20150303,25.85,0.0,42.69
20150304,26.12,0.08,34.38
20150305,27.92,0.0,33.18
20150306,28.08,7.83,50.79
20150307,27.05,0.6,57.4
20150308,27.91,2.05,54.26
20150309,26.51,8.93,63.88
20150310,26.33,0.13,62.66
20150311,26.4,0.0,48.53
20150312,26.13,0.0,48.43
20150313,27.28,0.0,47.4
20150314,27.3,0.0,40.44
20150315,28.35,0.0,48.78
20150316,30.37,0.0,38.11
20150317,29.84,0.0,33.54
20150318,29.54,0.0,29.29
20150319,29.65,0.0,27.74
20150320,28.64,0.0,30.41
20150321,29.53,0.0,29.41
20150322,30.62,0.0,26.17
20150323,31.15,0.0,27.49
20150324,32.28,0.0,25.74
20150325,31.59,0.0,30.73
20150326,31.42,0.0,35.81
20150327,30.74,0.0,34.69
20150328,30.72,0.0,29.47
20150329,30.41,0.0,34.44
