,T2M,Rain,Humidity
20150101,16.07,0.01,40.55
20150102,16.46,2.05,51.74
20150103,13.5,13.58,78.01
20150104,13.01,0.41,62.6
20150105,13.02,0.0,43.19
20150106,13.39,0.0,48.13
20150107,12.25,0.0,50.22
20150108,12.07,0.0,47.31
20150109,11.39,0.0,43.06
20150110,11.2,0.0,43.39
20150111,11.82,0.0,39.19
20150112,12.48,0.0,37.99
20150113,13.21,0.0,38.74
20150114,11.16,3.82,62.51
20150115,12.24,0.0,62.94
20150116,13.1,0.0,62.46
20150117,12.45,0.0,51.7
20150118,12.85,0.0,45.01
20150119,13.2,0.0,44.47
20150120,12.52,0.0,45.34
20150121,13.17,1.11,49.24
20150122,12.4,3.59,79.07
20150123,13.13,0.98,71.74
20150124,13.9,0.0,59.44
20150125,12.94,0.0,50.01
20150126,13.27,3.76,49.43
20150127,13.17,0.11,61.16
20150128,11.6,0.0,53.16
20150129,11.28,0.0,43.84
20150130,12.08,0.0,43.17
20150131,12.42,0.0,42.75
20150201,15.0,0.0,39.44
20150202,16.31,0.86,45.55
20150203,15.81,5.95,62.41
20150204,15.49,0.09,56.67
20150205,14.53,0.0,49.4
20150206,14.36,0.0,42.81
20150207,16.25,0.0,37.53
20150208,17.22,0.0,41.2
20150209,16.53,0.0,47.67
20150210,16.1,0.0,43.75
20150211,15.59,0.0,42.53
20150212,15.46,0.0,40.55
20150213,15.46,0.0,40.75
20150214,18.93,0.0,40.43
20150215,19.68,0.0,42.42
20150216,19.04,0.01,43.59
20150217,20.27,0.0,44.99
20150218,20.19,0.0,46.31
20150219,21.74,0.04,40.84
20150220,21.55,8.16,47.64
20150221,21.31,0.0,46.82
20150222,21.35,0.0,46.72
20150223,20.85,0.0,48.87
20150224,21.06,0.01,45.83
20150225,20.9,3.43,51.69
20150226,15.93,1.51,42.9
20150227,16.08,1.53,30.7
20150228,17.88,0.12,32.88
20150301,15.36,45.91,81.02
20150302,14.97,49.39,87.43
20150303,14.81,9.93,75.84
20150304,14.62,0.05,68.94
20150305,16.24,0.29,64.63
20150306,17.65,0.13,58.52
20150307,18.47,0.75,58.26
20150308,18.86,3.78,65.19
20150309,15.6,4.15,63.89
20150310,16.91,0.0,56.4
20150311,18.3,0.0,51.84
20150312,19.33,0.0,49.04
20150313,21.39,0.0,43.2
20150314,20.59,4.36,57.72
20150315,18.88,2.91,68.78
20150316,18.47,3.33,74.83
20150317,19.27,0.06,64.93
20150318,18.82,0.0,64.36
20150319,20.1,0.0,58.39
20150320,21.37,0.0,51.7
20150321,22.84,0.0,49.44
20150322,23.6,0.0,52.18
20150323,24.16,0.0,53.94
20150324,25.18,0.0,49.85
20150325,26.54,0.0,44.6
20150326,26.51,0.0,41.47
20150327,26.62,0.0,40.11
20150328,26.39,0.0,34.73
20150329,22.42,6.25,49.94
20150330,20.58,8.24,68.22
20150331,22.9,0.0,56.66
20150401,24.15,2.85,56.34
20150402,25.44,0.47,51.43
20150403,23.11,20.51,60.55
20150404,21.69,3.73,69.18
20150405,22.17,0.17,63.12
20150406,23.57,0.02,48.69
20150407,23.88,1.88,46.35
20150408,23.46,0.69,50.21
20150409,24.03,0.03,50.01
20150410,25.29,0.0,47.54
20150411,27.12,0.01,38.52
20150412,26.82,0.31,40.49
20150413,25.01,0.23,52.31
20150414,24.49,4.69,63.43
20150415,25.98,8.02,59.32
20150416,25.32,1.88,59.1
20150417,26.36,0.01,51.48
20150418,28.39,0.0,43.94
20150419,30.95,0.01,35.33
20150420,30.6,0.58,37.36
20150421,30.1,0.0,33.1
20150422,28.84,0.0,31.58
20150423,29.88,0.0,30.53
20150424,31.08,0.0,24.7
20150425,30.59,0.12,26.63
20150426,27.76,0.46,46.82
20150427,29.44,0.76,43.42
20150428,31.04,0.56,40.6
20150429,30.24,0.12,33.51
20150430,30.91,1.02,31.26
20150501,30.4,4.95,34.04
20150502,29.14,0.01,30.38
20150503,29.64,0.0,25.86
20150504,30.06,0.0,25.23
20150505,31.23,0.0,27.01
20150506,32.65,0.0,27.61
20150507,32.82,0.0,29.03
20150508,33.17,0.0,26.33
20150509,33.72,0.0,26.37
20150510,34.03,0.03,28.9
20150511,34.21,0.74,31.54
20150512,33.62,1.58,31.19
20150513,32.85,0.14,30.9
20150514,31.5,0.21,33.54
20150515,31.83,0.18,37.16
20150516,32.62,0.24,33.45
20150517,33.06,0.0,29.79
20150518,34.97,0.0,27.86
20150519,35.95,0.02,23.68
20150520,34.04,0.05,19.46
20150521,34.57,0.0,18.23
20150522,35.26,0.0,16.03
20150523,35.93,0.0,16.15
20150524,36.68,0.0,14.26
20150525,36.68,0.0,12.41
20150526,35.72,0.0,11.67
20150527,34.53,0.04,10.45
20150528,34.69,0.0,10.57
20150529,35.72,0.02,15.22
20150530,36.19,0.0,18.79
20150531,36.02,0.0,18.1
20150601,35.4,0.17,16.59
20150602,34.18,0.22,24.6
20150603,34.75,0.04,22.19
20150604,34.6,0.68,23.91
20150605,34.7,0.76,28.46
20150606,34.85,0.0,23.74
20150607,35.75,0.0,20.42
20150608,37.7,0.03,16.73
20150609,38.29,0.0,17.21
20150610,36.21,0.0,28.8
20150611,37.47,0.0,25.61
20150612,37.04,0.0,23.48
20150613,35.94,5.64,29.98
20150614,32.85,1.75,42.96
20150615,33.79,0.01,38.48
20150616,34.87,0.04,35.15
20150617,35.84,1.09,31.58
20150618,36.03,1.65,31.69
20150619,36.65,9.26,32.4
20150620,34.38,2.68,43.83
20150621,35.02,7.86,42.26
20150622,34.58,1.37,42.45
20150623,34.82,2.72,40.89
20150624,33.14,4.12,50.89
20150625,29.46,26.42,67.55
20150626,31.91,0.06,43.09
20150627,32.78,0.23,43.62
20150628,33.7,5.73,42.22
20150629,32.06,37.07,56.39
20150630,31.86,3.83,54.98
20150701,32.45,2.07,51.06
20150702,32.07,4.86,52.48
20150703,33.5,0.69,48.99
20150704,33.1,15.15,56.01
20150705,32.69,21.74,62.2
20150706,31.62,40.12,68.6
20150707,29.02,15.94,76.3
20150708,30.02,5.46,71.32
20150709,30.44,3.1,68.92
20150710,28.51,35.5,78.88
20150711,27.5,69.27,81.99
20150712,28.8,19.29,76.7
20150713,28.31,21.38,81.9
20150714,28.91,7.5,80.6
20150715,29.33,4.89,77.99
20150716,29.51,11.28,78.83
20150717,29.16,13.45,81.08
20150718,28.93,6.51,82.26
20150719,29.19,0.92,80.17
20150720,29.16,1.32,78.03
20150721,29.68,10.83,77.36
20150722,28.83,6.77,83.66
20150723,28.47,3.37,85.61
20150724,28.51,0.79,83.66
20150725,29.24,35.27,80.02
20150726,28.25,5.86,84.89
20150727,27.99,3.78,84.74
20150728,27.7,10.61,82.15
20150729,27.21,0.0,82.58
20150730,28.06,1.16,82.92
20150731,28.01,14.23,83.47
20150801,27.57,26.1,84.34
20150802,27.87,0.82,79.65
20150803,28.44,0.16,78.64
20150804,29.26,0.09,76.99
20150805,29.65,1.6,76.72
20150806,29.21,16.57,80.11
20150807,27.21,32.64,90.88
20150808,28.45,44.73,84.97
20150809,28.85,9.98,81.56
20150810,29.55,4.27,76.1
20150811,28.87,12.11,79.85
20150812,28.32,3.84,85.64
20150813,29.07,9.99,79.31
20150814,29.39,2.71,80.41
20150815,28.92,16.44,84.75
20150816,28.05,10.86,86.36
20150817,28.16,18.64,83.42
20150818,28.68,5.09,79.88
20150819,27.67,7.23,82.49
20150820,27.2,60.88,85.17
20150821,27.27,18.24,84.94
20150822,27.08,18.09,82.88
20150823,27.31,29.75,81.58
20150824,26.99,2.84,84.9
20150825,26.83,0.0,83.2
20150826,26.94,1.14,82.45
20150827,27.77,4.21,78.88
20150828,27.59,2.02,80.17
20150829,27.82,2.6,80.21
20150830,27.74,11.89,79.63
20150831,26.28,2.24,78.57
20150901,26.27,0.92,75.78
20150902,26.73,11.9,71.92
20150903,26.91,2.47,71.29
20150904,26.39,0.1,70.0
20150905,25.59,0.0,72.3
20150906,25.49,0.0,72.25
20150907,25.79,0.0,69.7
20150908,25.9,0.0,70.54
20150909,25.88,0.0,73.19
20150910,25.81,0.0,70.72
20150911,25.88,0.0,69.03
20150912,27.38,0.0,61.46
20150913,27.29,0.0,59.69
20150914,27.93,0.0,59.47
20150915,28.07,4.49,60.92
20150916,28.59,0.8,57.67
20150917,28.37,0.0,60.01
20150918,27.8,4.86,64.77
20150919,27.58,9.17,76.1
20150920,28.65,11.03,75.83
20150921,28.69,0.99,73.77
20150922,27.61,9.19,80.22
20150923,25.12,1.87,83.77
20150924,24.44,0.0,75.17
20150925,24.78,0.0,67.45
20150926,26.06,0.1,62.88
20150927,26.11,0.01,62.45
20150928,24.91,0.03,67.63
20150929,25.35,0.0,64.52
20150930,24.98,0.0,64.11
20151001,25.13,0.0,58.56
20151002,25.15,0.0,57.01
20151003,25.08,0.0,58.6
20151004,26.08,0.0,54.73
20151005,26.49,0.0,52.7
20151006,25.47,0.0,55.4
20151007,26.2,0.0,56.39
20151008,26.19,0.0,56.98
20151009,26.56,0.0,54.03
20151010,26.47,0.0,51.21
20151011,26.31,0.0,53.2
20151012,26.45,3.86,57.18
20151013,25.81,1.91,64.68
20151014,24.73,6.16,69.63
20151015,24.98,1.11,66.09
20151016,24.73,0.05,63.47
20151017,25.05,0.0,57.73
20151018,26.04,0.0,50.7
20151019,25.67,0.0,52.14
20151020,25.87,0.0,51.4
20151021,24.12,0.0,48.78
20151022,22.64,0.0,47.57
20151023,22.29,0.0,47.61
20151024,24.79,0.0,37.07
20151025,24.42,0.11,38.39
20151026,23.01,1.06,47.0
20151027,22.0,2.0,51.16
20151028,19.91,0.04,59.07
20151029,20.23,0.26,57.88
20151030,20.1,0.03,51.28
20151031,21.73,0.0,46.15
20151101,22.04,0.0,47.37
20151102,22.3,0.0,48.33
20151103,21.57,0.0,50.26
20151104,22.87,0.02,44.9
20151105,23.45,1.48,46.15
20151106,21.91,0.02,46.33
20151107,21.21,0.0,43.28
20151108,22.05,0.07,46.57
20151109,22.77,0.0,46.0
20151110,22.33,0.0,46.92
20151111,20.77,0.0,48.27
20151112,20.26,0.0,51.07
20151113,22.08,0.0,49.62
20151114,22.15,0.0,49.18
20151115,21.34,0.0,41.7
20151116,20.66,0.01,44.45
20151117,18.93,0.0,40.98
20151118,18.18,0.0,41.73
20151119,18.96,0.0,39.22
20151120,19.78,0.0,39.69
20151121,20.06,0.0,42.14
20151122,19.91,0.0,41.59
20151123,19.14,0.0,40.73
20151124,19.52,0.0,38.01
20151125,18.71,0.0,39.57
20151126,19.94,0.63,44.47
20151127,20.83,0.35,56.27
20151128,20.01,0.48,56.78
20151129,19.1,0.0,52.11
20151130,20.24,0.0,49.09
20151201,20.01,0.0,45.89
20151202,18.4,0.0,47.17
20151203,17.46,0.0,49.82
20151204,16.48,0.0,45.63
20151205,16.94,0.0,43.61
20151206,16.84,0.0,42.4
20151207,17.01,0.0,39.85
20151208,17.34,0.0,40.13
20151209,16.14,0.05,43.07
20151210,18.61,0.07,40.57
20151211,15.88,5.84,57.05
20151212,14.79,0.74,61.59
20151213,13.67,0.0,50.2
20151214,13.38,0.0,44.33
20151215,12.7,0.0,43.57
20151216,14.76,0.0,37.42
20151217,13.22,0.0,37.1
20151218,12.21,0.0,39.95
20151219,12.93,0.0,36.77
20151220,12.74,0.0,38.74
20151221,12.69,0.0,39.54
20151222,12.9,0.0,39.52
20151223,12.16,0.0,37.97
20151224,11.6,0.0,42.09
20151225,10.33,0.0,40.42
20151226,13.23,0.0,34.64
20151227,15.92,0.0,37.68
20151228,16.53,0.0,45.29
20151229,16.02,0.0,45.48
20151230,15.69,0.0,41.1
20151231,15.25,0.0,34.65
20160101,15.11,0.0,32.36
20160102,14.75,0.0,32.56
20160103,14.8,0.0,34.01
20160104,14.75,0.03,37.54
20160105,17.61,0.01,37.77
20160106,17.83,0.0,40.97
20160107,17.57,0.18,44.23
20160108,15.89,0.26,48.96
20160109,14.08,0.0,49.25
20160110,14.3,0.0,42.4
20160111,15.31,0.0,39.98
20160112,16.39,0.0,37.68
20160113,15.71,0.12,40.85
20160114,14.19,0.0,46.84
20160115,13.21,0.0,49.51
20160116,12.93,0.0,49.34
20160117,13.78,0.0,42.85
20160118,13.79,0.0,39.78
20160119,13.35,0.01,36.71
20160120,11.42,0.03,43.39
20160121,10.58,0.0,36.58
20160122,10.9,0.0,31.51
20160123,12.32,0.0,28.28
20160124,12.12,0.0,30.23
20160125,12.04,0.0,30.07
20160126,13.87,0.0,30.09
20160127,14.49,0.0,33.31
20160128,16.25,0.0,42.6
20160129,17.96,0.86,37.61
20160130,18.96,0.23,39.97
20160131,16.81,0.0,41.91
20160201,14.87,0.0,34.8
20160202,13.92,0.0,34.46
20160203,14.47,0.0,37.0
20160204,14.74,0.0,35.15
20160205,16.35,0.0,30.79
20160206,17.18,0.0,26.02
20160207,16.17,12.04,47.12
20160208,15.69,0.0,53.32
20160209,16.7,0.0,46.41
20160210,17.51,0.0,37.18
20160211,15.97,0.0,35.67
20160212,15.95,0.0,25.56
20160213,16.14,5.76,31.18
20160214,15.7,0.38,38.57
20160215,15.0,0.0,36.34
20160216,16.0,0.0,32.22
20160217,18.9,0.0,26.4
20160218,21.98,0.11,33.15
20160219,22.69,0.03,41.3
20160220,20.66,5.01,58.25
20160221,19.53,0.0,48.74
20160222,19.38,0.0,31.3
20160223,19.12,0.0,29.23
20160224,20.6,0.0,22.87
20160225,19.69,0.0,24.42
20160226,20.5,0.0,25.31
20160227,20.38,0.0,25.43
20160228,20.48,0.0,25.74
20160229,21.1,0.09,27.24
20160301,22.22,0.0,27.28
20160302,22.43,0.0,30.3
20160303,23.95,0.0,27.4
20160304,24.7,0.0,26.94
20160305,23.84,0.5,32.48
