,T2M,Rain,Humidity
20150101,25.45,1.87,85.39
20150102,25.68,0.05,82.54
20150103,25.88,0.17,80.86
20150104,25.85,0.0,78.84
20150105,25.58,0.04,77.51
20150106,25.48,0.03,71.82
20150107,25.35,0.0,69.42
20150108,24.86,0.0,72.64
20150109,24.91,0.0,68.06
20150110,24.88,0.0,59.99
20150111,24.68,0.0,63.77
20150112,24.84,0.0,64.93
20150113,24.65,0.0,69.67
20150114,24.78,0.0,69.68
20150115,25.01,0.02,73.27
20150116,25.03,0.0,67.61
20150117,25.05,0.0,64.46
20150118,24.95,0.0,58.38
20150119,24.61,0.0,63.09
20150120,24.42,0.0,65.65
20150121,24.17,0.0,65.74
20150122,23.84,0.0,68.73
20150123,24.29,0.0,68.99
20150124,24.7,0.0,66.83
20150125,25.09,0.0,71.96
20150126,25.23,0.0,69.28
20150127,24.7,0.0,72.75
20150128,24.79,0.01,77.77
20150129,25.03,0.08,75.86
20150130,25.09,0.0,74.85
20150131,25.05,0.04,76.92
20150201,24.46,1.44,81.5
20150202,24.65,0.0,75.26
20150203,25.05,0.0,69.42
20150204,24.96,0.0,67.97
20150205,25.36,0.0,67.18
20150206,25.4,0.0,69.67
20150207,25.65,0.0,68.56
20150208,25.59,0.0,65.95
20150209,25.52,0.0,69.54
20150210,25.19,0.01,76.08
20150211,25.39,0.0,73.42
20150212,25.32,0.0,73.49
20150213,25.32,0.0,74.59
20150214,26.12,0.0,72.39
20150215,26.07,0.0,73.41
20150216,26.06,0.0,74.75
20150217,25.96,0.0,72.87
20150218,26.09,0.0,72.46
20150219,26.04,0.01,74.41
20150220,25.59,0.26,75.19
20150221,26.15,0.02,64.36
20150222,26.61,0.0,59.97
20150223,26.31,0.0,61.65
20150224,25.99,0.0,68.66
20150225,26.1,0.0,69.65
20150226,26.1,0.0,66.85
20150227,26.02,0.0,65.68
20150228,25.72,0.0,73.95
20150301,25.82,0.4,76.11
20150302,26.27,0.02,74.39
20150303,26.05,0.02,78.41
20150304,26.93,0.21,79.42
20150305,27.05,0.22,75.7
20150306,26.78,0.14,79.78
20150307,26.95,0.54,74.63
